ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
81094,81094,100,39,10,0,49,0.7959183673469388,0.20408163265306123,0.0,Ruth H. Thompson,0.7959183673469388
81095,81095,100,6,5,0,11,0.5454545454545454,0.45454545454545453,0.0,Ruth H. Thompson,0.5454545454545454
81096,81096,100,25,7,0,32,0.78125,0.21875,0.0,Ruth H. Thompson,0.78125
81097,81097,100,42,15,1,58,0.7241379310344828,0.25862068965517243,0.017241379310344827,Ruth H. Thompson,0.7241379310344828
81098,81098,100,28,9,0,37,0.7567567567567568,0.24324324324324326,0.0,Ruth H. Thompson,0.7567567567567568
81099,81099,100,38,18,1,57,0.6666666666666666,0.3157894736842105,0.017543859649122806,Ruth H. Thompson,0.6666666666666666
81100,81100,100,17,7,1,25,0.68,0.28,0.04,Ruth H. Thompson,0.68
81105,81105,100,0,0,0,0,0,0,0,n/a,0
82054,82054,100,3,1,0,4,0.75,0.25,0.0,Ruth H. Thompson,0.75
82065,82065,100,74,13,0,87,0.8505747126436781,0.14942528735632185,0.0,Ruth H. Thompson,0.8505747126436781
82066,82066,100,69,14,1,84,0.8214285714285714,0.16666666666666666,0.011904761904761904,Ruth H. Thompson,0.8214285714285714
82067,82067,100,73,15,0,88,0.8295454545454546,0.17045454545454544,0.0,Ruth H. Thompson,0.8295454545454546
82068,82068,100,62,12,0,74,0.8378378378378378,0.16216216216216217,0.0,Ruth H. Thompson,0.8378378378378378
82069,82069,100,63,12,0,75,0.84,0.16,0.0,Ruth H. Thompson,0.84
82070,82070,100,45,10,0,55,0.8181818181818182,0.18181818181818182,0.0,Ruth H. Thompson,0.8181818181818182
82071,82071,100,72,8,1,81,0.8888888888888888,0.09876543209876543,0.012345679012345678,Ruth H. Thompson,0.8888888888888888
82072,82072,100,73,14,0,87,0.8390804597701149,0.16091954022988506,0.0,Ruth H. Thompson,0.8390804597701149
82073,82073,100,58,17,0,75,0.7733333333333333,0.22666666666666666,0.0,Ruth H. Thompson,0.7733333333333333
82074,82074,100,67,12,0,79,0.8481012658227848,0.1518987341772152,0.0,Ruth H. Thompson,0.8481012658227848
82075,82075,100,52,13,0,65,0.8,0.2,0.0,Ruth H. Thompson,0.8
82076,82076,100,65,10,0,75,0.8666666666666667,0.13333333333333333,0.0,Ruth H. Thompson,0.8666666666666667
82077,82077,100,81,8,0,89,0.9101123595505618,0.0898876404494382,0.0,Ruth H. Thompson,0.9101123595505618
82078,82078,100,71,10,0,81,0.8765432098765432,0.12345679012345678,0.0,Ruth H. Thompson,0.8765432098765432
82079,82079,100,65,10,0,75,0.8666666666666667,0.13333333333333333,0.0,Ruth H. Thompson,0.8666666666666667
82080,82080,100,65,10,0,75,0.8666666666666667,0.13333333333333333,0.0,Ruth H. Thompson,0.8666666666666667
82081,82081,100,57,7,0,64,0.890625,0.109375,0.0,Ruth H. Thompson,0.890625
