ED,Reported As,Reporting,Amy Kalm,David W. Silverstone,Mary D'Elia,Charles S. Bayor,Sylvia E. Di Pietro,Charlotte E. Davidson,Emily J. Goodman,William Pawson,Thomas M. Greico,Michael J. Spillane,Paul J. Groncki,David Warren,Seth J. Weissman,Evelyn Suarez,Scattered,Francine Haselkorn,Allen N. Roskoff,Ronnie M. Eldridge,Judy Richheimer,Carol Demech,Kristen E. Kaufman,Lisa A. Padilla,Total Votes,p_Amy Kalm,p_David W. Silverstone,p_Mary D'Elia,p_Charles S. Bayor,p_Sylvia E. Di Pietro,p_Charlotte E. Davidson,p_Emily J. Goodman,p_William Pawson,p_Thomas M. Greico,p_Michael J. Spillane,p_Paul J. Groncki,p_David Warren,p_Seth J. Weissman,p_Evelyn Suarez,p_Scattered,p_Francine Haselkorn,p_Allen N. Roskoff,p_Ronnie M. Eldridge,p_Judy Richheimer,p_Carol Demech,p_Kristen E. Kaufman,p_Lisa A. Padilla,winner,winner_p
75011,75011,100,20,20,25,13,25,23,28,11,17,14,17,20,18,28,3,19,17,21,26,20,19,29,433,0.046189376443418015,0.046189376443418015,0.057736720554272515,0.03002309468822171,0.057736720554272515,0.053117782909930716,0.06466512702078522,0.025404157043879907,0.03926096997690531,0.03233256351039261,0.03926096997690531,0.046189376443418015,0.04157043879907621,0.06466512702078522,0.006928406466512702,0.04387990762124711,0.03926096997690531,0.04849884526558892,0.06004618937644342,0.046189376443418015,0.04387990762124711,0.06697459584295612,Lisa A. Padilla,0.06697459584295612
75012,75012,100,18,9,20,16,14,13,22,17,16,15,12,12,14,24,0,10,14,19,13,14,17,16,325,0.055384615384615386,0.027692307692307693,0.06153846153846154,0.04923076923076923,0.043076923076923075,0.04,0.06769230769230769,0.052307692307692305,0.04923076923076923,0.046153846153846156,0.036923076923076927,0.036923076923076927,0.043076923076923075,0.07384615384615385,0.0,0.03076923076923077,0.043076923076923075,0.05846153846153846,0.04,0.043076923076923075,0.052307692307692305,0.04923076923076923,Evelyn Suarez,0.07384615384615385
75013,75013,100,10,6,12,7,12,12,17,6,6,7,5,8,5,15,1,9,7,11,12,10,15,11,204,0.049019607843137254,0.029411764705882353,0.058823529411764705,0.03431372549019608,0.058823529411764705,0.058823529411764705,0.08333333333333333,0.029411764705882353,0.029411764705882353,0.03431372549019608,0.024509803921568627,0.0392156862745098,0.024509803921568627,0.07352941176470588,0.004901960784313725,0.04411764705882353,0.03431372549019608,0.05392156862745098,0.058823529411764705,0.049019607843137254,0.07352941176470588,0.05392156862745098,Emily J. Goodman,0.08333333333333333
75014,75014,100,10,7,9,8,10,13,18,5,9,12,9,8,7,13,0,6,6,8,12,9,13,16,208,0.04807692307692308,0.03365384615384615,0.04326923076923077,0.038461538461538464,0.04807692307692308,0.0625,0.08653846153846154,0.02403846153846154,0.04326923076923077,0.057692307692307696,0.04326923076923077,0.038461538461538464,0.03365384615384615,0.0625,0.0,0.028846153846153848,0.028846153846153848,0.038461538461538464,0.057692307692307696,0.04326923076923077,0.0625,0.07692307692307693,Emily J. Goodman,0.08653846153846154
75015,75015,100,18,8,19,11,18,12,25,14,16,15,8,9,17,20,0,12,17,21,20,11,22,19,332,0.05421686746987952,0.024096385542168676,0.0572289156626506,0.03313253012048193,0.05421686746987952,0.03614457831325301,0.07530120481927711,0.04216867469879518,0.04819277108433735,0.045180722891566265,0.024096385542168676,0.02710843373493976,0.05120481927710843,0.060240963855421686,0.0,0.03614457831325301,0.05120481927710843,0.06325301204819277,0.060240963855421686,0.03313253012048193,0.06626506024096386,0.0572289156626506,Emily J. Goodman,0.07530120481927711
75016,75016,100,34,15,39,21,30,25,37,22,24,22,18,13,22,28,1,22,20,21,29,23,37,30,533,0.06378986866791744,0.028142589118198873,0.07317073170731707,0.039399624765478425,0.05628517823639775,0.04690431519699812,0.06941838649155722,0.04127579737335835,0.0450281425891182,0.04127579737335835,0.03377110694183865,0.024390243902439025,0.04127579737335835,0.0525328330206379,0.001876172607879925,0.04127579737335835,0.0375234521575985,0.039399624765478425,0.054409005628517824,0.043151969981238276,0.06941838649155722,0.05628517823639775,Mary D'Elia,0.07317073170731707
75017,75017,100,13,10,12,6,17,18,20,9,10,9,13,13,11,16,0,15,10,13,16,14,15,18,278,0.046762589928057555,0.03597122302158273,0.04316546762589928,0.02158273381294964,0.06115107913669065,0.06474820143884892,0.07194244604316546,0.03237410071942446,0.03597122302158273,0.03237410071942446,0.046762589928057555,0.046762589928057555,0.039568345323741004,0.05755395683453238,0.0,0.0539568345323741,0.03597122302158273,0.046762589928057555,0.05755395683453238,0.050359712230215826,0.0539568345323741,0.06474820143884892,Emily J. Goodman,0.07194244604316546
75018,75018,100,10,5,8,4,7,7,13,7,9,8,4,6,5,9,0,5,10,12,9,5,9,8,160,0.0625,0.03125,0.05,0.025,0.04375,0.04375,0.08125,0.04375,0.05625,0.05,0.025,0.0375,0.03125,0.05625,0.0,0.03125,0.0625,0.075,0.05625,0.03125,0.05625,0.05,Emily J. Goodman,0.08125
75019,75019,100,26,13,23,16,18,15,30,13,13,18,13,9,20,20,1,17,18,17,20,15,24,19,378,0.06878306878306878,0.03439153439153439,0.06084656084656084,0.042328042328042326,0.047619047619047616,0.03968253968253968,0.07936507936507936,0.03439153439153439,0.03439153439153439,0.047619047619047616,0.03439153439153439,0.023809523809523808,0.05291005291005291,0.05291005291005291,0.0026455026455026454,0.04497354497354497,0.047619047619047616,0.04497354497354497,0.05291005291005291,0.03968253968253968,0.06349206349206349,0.05026455026455026,Emily J. Goodman,0.07936507936507936
75020,75020,100,39,25,45,26,33,26,46,27,36,34,25,21,40,27,0,33,33,34,36,27,43,33,689,0.05660377358490566,0.036284470246734396,0.06531204644412192,0.03773584905660377,0.047895500725689405,0.03773584905660377,0.06676342525399129,0.03918722786647315,0.05224963715529753,0.04934687953555878,0.036284470246734396,0.030478955007256895,0.05805515239477504,0.03918722786647315,0.0,0.047895500725689405,0.047895500725689405,0.04934687953555878,0.05224963715529753,0.03918722786647315,0.062409288824383166,0.047895500725689405,Emily J. Goodman,0.06676342525399129
75021,75021,100,7,11,9,7,12,11,8,7,8,7,12,12,6,13,0,10,8,10,13,10,7,12,200,0.035,0.055,0.045,0.035,0.06,0.055,0.04,0.035,0.04,0.035,0.06,0.06,0.03,0.065,0.0,0.05,0.04,0.05,0.065,0.05,0.035,0.06,Tie,0.065
75022,75022,100,13,7,12,11,14,14,15,7,11,7,9,10,9,18,4,12,8,12,16,15,12,14,250,0.052,0.028,0.048,0.044,0.056,0.056,0.06,0.028,0.044,0.028,0.036,0.04,0.036,0.072,0.016,0.048,0.032,0.048,0.064,0.06,0.048,0.056,Evelyn Suarez,0.072
75023,75023,100,16,15,14,17,17,13,27,13,13,12,13,13,21,17,0,14,18,25,18,16,19,21,352,0.045454545454545456,0.04261363636363636,0.03977272727272727,0.048295454545454544,0.048295454545454544,0.036931818181818184,0.07670454545454546,0.036931818181818184,0.036931818181818184,0.03409090909090909,0.036931818181818184,0.036931818181818184,0.05965909090909091,0.048295454545454544,0.0,0.03977272727272727,0.05113636363636364,0.07102272727272728,0.05113636363636364,0.045454545454545456,0.05397727272727273,0.05965909090909091,Emily J. Goodman,0.07670454545454546
75024,75024,100,17,20,22,15,24,23,26,13,13,12,16,18,14,23,1,23,15,20,37,19,23,25,419,0.0405727923627685,0.0477326968973747,0.05250596658711217,0.03579952267303103,0.057279236276849645,0.05489260143198091,0.06205250596658711,0.031026252983293555,0.031026252983293555,0.028639618138424822,0.03818615751789976,0.04295942720763723,0.03341288782816229,0.05489260143198091,0.002386634844868735,0.05489260143198091,0.03579952267303103,0.0477326968973747,0.0883054892601432,0.045346062052505964,0.05489260143198091,0.059665871121718374,Judy Richheimer,0.0883054892601432
75025,75025,100,36,14,32,25,24,22,44,23,26,29,15,17,27,27,4,23,24,36,35,25,39,25,572,0.06293706293706294,0.024475524475524476,0.055944055944055944,0.043706293706293704,0.04195804195804196,0.038461538461538464,0.07692307692307693,0.04020979020979021,0.045454545454545456,0.050699300699300696,0.026223776223776224,0.02972027972027972,0.0472027972027972,0.0472027972027972,0.006993006993006993,0.04020979020979021,0.04195804195804196,0.06293706293706294,0.06118881118881119,0.043706293706293704,0.06818181818181818,0.043706293706293704,Emily J. Goodman,0.07692307692307693
75026,75026,100,37,27,35,27,49,42,47,17,26,28,35,34,25,47,1,33,34,40,54,44,40,45,767,0.048239895697522815,0.035202086049543675,0.04563233376792699,0.035202086049543675,0.06388526727509779,0.054758800521512385,0.061277705345501955,0.02216427640156454,0.03389830508474576,0.03650586701434159,0.04563233376792699,0.04432855280312908,0.03259452411994785,0.061277705345501955,0.001303780964797914,0.04302477183833116,0.04432855280312908,0.05215123859191656,0.07040417209908735,0.05736636245110821,0.05215123859191656,0.05867014341590613,Judy Richheimer,0.07040417209908735
75027,75027,100,49,29,43,34,36,32,56,34,35,40,24,24,45,42,2,32,41,45,49,35,47,38,812,0.0603448275862069,0.03571428571428571,0.05295566502463054,0.04187192118226601,0.04433497536945813,0.03940886699507389,0.06896551724137931,0.04187192118226601,0.04310344827586207,0.04926108374384237,0.029556650246305417,0.029556650246305417,0.05541871921182266,0.05172413793103448,0.0024630541871921183,0.03940886699507389,0.050492610837438424,0.05541871921182266,0.0603448275862069,0.04310344827586207,0.05788177339901478,0.046798029556650245,Emily J. Goodman,0.06896551724137931
75028,75028,100,35,19,35,13,38,34,47,9,13,18,14,22,12,44,1,31,13,25,34,36,34,42,569,0.061511423550087874,0.033391915641476276,0.061511423550087874,0.022847100175746926,0.06678383128295255,0.05975395430579965,0.08260105448154657,0.015817223198594025,0.022847100175746926,0.03163444639718805,0.02460456942003515,0.03866432337434095,0.0210896309314587,0.0773286467486819,0.0017574692442882249,0.054481546572934976,0.022847100175746926,0.043936731107205626,0.05975395430579965,0.0632688927943761,0.05975395430579965,0.07381370826010544,Emily J. Goodman,0.08260105448154657
75029,75029,100,2,4,2,3,4,3,3,3,3,2,4,4,3,4,0,3,3,2,3,5,4,5,69,0.028985507246376812,0.057971014492753624,0.028985507246376812,0.043478260869565216,0.057971014492753624,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.028985507246376812,0.057971014492753624,0.057971014492753624,0.043478260869565216,0.057971014492753624,0.0,0.043478260869565216,0.043478260869565216,0.028985507246376812,0.043478260869565216,0.07246376811594203,0.057971014492753624,0.07246376811594203,Tie,0.07246376811594203
75030,75030,100,16,12,15,7,17,14,23,8,7,5,4,4,11,20,0,12,10,11,21,15,18,16,266,0.06015037593984962,0.045112781954887216,0.05639097744360902,0.02631578947368421,0.06390977443609022,0.05263157894736842,0.08646616541353383,0.03007518796992481,0.02631578947368421,0.018796992481203006,0.015037593984962405,0.015037593984962405,0.041353383458646614,0.07518796992481203,0.0,0.045112781954887216,0.03759398496240601,0.041353383458646614,0.07894736842105263,0.05639097744360902,0.06766917293233082,0.06015037593984962,Emily J. Goodman,0.08646616541353383
75031,75031,100,19,14,18,9,23,21,21,9,6,13,12,18,12,29,3,21,8,12,26,20,17,25,356,0.05337078651685393,0.03932584269662921,0.05056179775280899,0.025280898876404494,0.06460674157303371,0.05898876404494382,0.05898876404494382,0.025280898876404494,0.016853932584269662,0.03651685393258427,0.033707865168539325,0.05056179775280899,0.033707865168539325,0.08146067415730338,0.008426966292134831,0.05898876404494382,0.02247191011235955,0.033707865168539325,0.07303370786516854,0.056179775280898875,0.047752808988764044,0.0702247191011236,Evelyn Suarez,0.08146067415730338
75032,75032,100,18,8,15,8,17,17,25,6,10,10,3,9,11,17,0,14,9,15,18,12,19,19,280,0.06428571428571428,0.02857142857142857,0.05357142857142857,0.02857142857142857,0.060714285714285714,0.060714285714285714,0.08928571428571429,0.02142857142857143,0.03571428571428571,0.03571428571428571,0.010714285714285714,0.03214285714285714,0.039285714285714285,0.060714285714285714,0.0,0.05,0.03214285714285714,0.05357142857142857,0.06428571428571428,0.04285714285714286,0.06785714285714285,0.06785714285714285,Emily J. Goodman,0.08928571428571429
