ED,Reported As,Reporting,William H. Miles,Gabriel McQueen,Anthony T. Jones,Barry Cooper,Daniel Goodine,Scattered,Lamont Carolina,Total Votes,p_William H. Miles,p_Gabriel McQueen,p_Anthony T. Jones,p_Barry Cooper,p_Daniel Goodine,p_Scattered,p_Lamont Carolina,winner,winner_p
55073,55073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55074,55074,100,3,9,20,4,5,0,9,50,0.06,0.18,0.4,0.08,0.1,0.0,0.18,Anthony T. Jones,0.4
55075,55075,100,2,5,20,8,13,0,3,51,0.0392156862745098,0.09803921568627451,0.39215686274509803,0.1568627450980392,0.2549019607843137,0.0,0.058823529411764705,Anthony T. Jones,0.39215686274509803
55076,55076,100,3,5,16,5,17,0,2,48,0.0625,0.10416666666666667,0.3333333333333333,0.10416666666666667,0.3541666666666667,0.0,0.041666666666666664,Daniel Goodine,0.3541666666666667
55077,55077,100,3,3,5,0,0,0,2,13,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.0,0.0,0.0,0.15384615384615385,Anthony T. Jones,0.38461538461538464
55078,55078,100,3,5,42,13,13,0,7,83,0.03614457831325301,0.060240963855421686,0.5060240963855421,0.1566265060240964,0.1566265060240964,0.0,0.08433734939759036,Anthony T. Jones,0.5060240963855421
55079,55079,100,2,7,19,5,6,1,2,42,0.047619047619047616,0.16666666666666666,0.4523809523809524,0.11904761904761904,0.14285714285714285,0.023809523809523808,0.047619047619047616,Anthony T. Jones,0.4523809523809524
55080,55080,100,1,5,13,5,6,0,6,36,0.027777777777777776,0.1388888888888889,0.3611111111111111,0.1388888888888889,0.16666666666666666,0.0,0.16666666666666666,Anthony T. Jones,0.3611111111111111
55081,55081,100,1,11,13,4,4,0,4,37,0.02702702702702703,0.2972972972972973,0.35135135135135137,0.10810810810810811,0.10810810810810811,0.0,0.10810810810810811,Anthony T. Jones,0.35135135135135137
55082,55082,100,3,7,5,9,4,1,3,32,0.09375,0.21875,0.15625,0.28125,0.125,0.03125,0.09375,Barry Cooper,0.28125
55083,55083,100,0,4,9,6,6,0,1,26,0.0,0.15384615384615385,0.34615384615384615,0.23076923076923078,0.23076923076923078,0.0,0.038461538461538464,Anthony T. Jones,0.34615384615384615
55084,55084,100,5,10,18,7,7,0,4,51,0.09803921568627451,0.19607843137254902,0.35294117647058826,0.13725490196078433,0.13725490196078433,0.0,0.0784313725490196,Anthony T. Jones,0.35294117647058826
55085,55085,100,4,27,15,7,11,0,4,68,0.058823529411764705,0.39705882352941174,0.22058823529411764,0.10294117647058823,0.16176470588235295,0.0,0.058823529411764705,Gabriel McQueen,0.39705882352941174
55086,55086,100,3,3,8,2,4,0,2,22,0.13636363636363635,0.13636363636363635,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,Anthony T. Jones,0.36363636363636365
55087,55087,100,3,19,20,7,8,0,7,64,0.046875,0.296875,0.3125,0.109375,0.125,0.0,0.109375,Anthony T. Jones,0.3125
