ED,Reported As,Reporting,Steven Hasty,Michael Berger,James Maleady,Sara Shoener,William H. Smith,Courtney DeDona,Thomas F. Smith,David Niederman,Scattered,Eileen M. Cavaliere,Erin Drinkwater,Ramona Vergara,Total Votes,p_Steven Hasty,p_Michael Berger,p_James Maleady,p_Sara Shoener,p_William H. Smith,p_Courtney DeDona,p_Thomas F. Smith,p_David Niederman,p_Scattered,p_Eileen M. Cavaliere,p_Erin Drinkwater,p_Ramona Vergara,winner,winner_p
50027,50027,100,34,31,31,49,20,39,21,24,4,46,53,37,389,0.08740359897172237,0.07969151670951156,0.07969151670951156,0.12596401028277635,0.05141388174807198,0.10025706940874037,0.05398457583547558,0.061696658097686374,0.010282776349614395,0.11825192802056556,0.13624678663239073,0.09511568123393316,Erin Drinkwater,0.13624678663239073
50028,50028,100,15,15,14,34,6,30,2,6,4,30,36,28,220,0.06818181818181818,0.06818181818181818,0.06363636363636363,0.15454545454545454,0.02727272727272727,0.13636363636363635,0.00909090909090909,0.02727272727272727,0.01818181818181818,0.13636363636363635,0.16363636363636364,0.12727272727272726,Erin Drinkwater,0.16363636363636364
50029,50029,100,23,23,22,34,10,16,4,6,12,18,29,22,219,0.1050228310502283,0.1050228310502283,0.1004566210045662,0.1552511415525114,0.045662100456621,0.0730593607305936,0.0182648401826484,0.0273972602739726,0.0547945205479452,0.0821917808219178,0.1324200913242009,0.1004566210045662,Sara Shoener,0.1552511415525114
50030,50030,100,15,14,11,17,6,14,3,6,6,13,17,15,137,0.10948905109489052,0.10218978102189781,0.08029197080291971,0.12408759124087591,0.043795620437956206,0.10218978102189781,0.021897810218978103,0.043795620437956206,0.043795620437956206,0.0948905109489051,0.12408759124087591,0.10948905109489052,Tie,0.12408759124087591
50031,50031,100,25,23,17,29,9,16,8,16,6,18,29,19,215,0.11627906976744186,0.10697674418604651,0.07906976744186046,0.13488372093023257,0.04186046511627907,0.07441860465116279,0.037209302325581395,0.07441860465116279,0.027906976744186046,0.08372093023255814,0.13488372093023257,0.08837209302325581,Tie,0.13488372093023257
50032,50032,100,19,18,19,35,15,23,11,14,0,27,35,24,240,0.07916666666666666,0.075,0.07916666666666666,0.14583333333333334,0.0625,0.09583333333333334,0.04583333333333333,0.058333333333333334,0.0,0.1125,0.14583333333333334,0.1,Tie,0.14583333333333334
50033,50033,100,20,24,18,29,18,33,21,18,0,35,31,36,283,0.0706713780918728,0.08480565371024736,0.0636042402826855,0.10247349823321555,0.0636042402826855,0.1166077738515901,0.07420494699646643,0.0636042402826855,0.0,0.12367491166077739,0.10954063604240283,0.127208480565371,Ramona Vergara,0.127208480565371
50034,50034,100,18,25,21,26,6,18,6,7,4,21,30,13,195,0.09230769230769231,0.1282051282051282,0.1076923076923077,0.13333333333333333,0.03076923076923077,0.09230769230769231,0.03076923076923077,0.035897435897435895,0.020512820512820513,0.1076923076923077,0.15384615384615385,0.06666666666666667,Erin Drinkwater,0.15384615384615385
50035,50035,100,22,26,24,40,14,25,8,13,1,24,43,30,270,0.08148148148148149,0.0962962962962963,0.08888888888888889,0.14814814814814814,0.05185185185185185,0.09259259259259259,0.02962962962962963,0.04814814814814815,0.003703703703703704,0.08888888888888889,0.15925925925925927,0.1111111111111111,Erin Drinkwater,0.15925925925925927
50036,50036,100,1,1,2,3,1,2,2,1,0,1,3,2,19,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.10526315789473684,Tie,0.15789473684210525
50037,50037,100,8,11,8,14,4,11,4,7,1,11,11,12,102,0.0784313725490196,0.10784313725490197,0.0784313725490196,0.13725490196078433,0.0392156862745098,0.10784313725490197,0.0392156862745098,0.06862745098039216,0.00980392156862745,0.10784313725490197,0.10784313725490197,0.11764705882352941,Sara Shoener,0.13725490196078433
50038,50038,100,11,11,11,19,5,13,2,4,2,15,21,16,130,0.08461538461538462,0.08461538461538462,0.08461538461538462,0.14615384615384616,0.038461538461538464,0.1,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.11538461538461539,0.16153846153846155,0.12307692307692308,Erin Drinkwater,0.16153846153846155
50040,50040,100,8,11,7,12,7,9,6,8,2,10,8,13,101,0.07920792079207921,0.10891089108910891,0.06930693069306931,0.1188118811881188,0.06930693069306931,0.0891089108910891,0.0594059405940594,0.07920792079207921,0.019801980198019802,0.09900990099009901,0.07920792079207921,0.12871287128712872,Ramona Vergara,0.12871287128712872
50041,50041,100,15,13,13,24,4,18,7,4,7,15,21,13,154,0.09740259740259741,0.08441558441558442,0.08441558441558442,0.15584415584415584,0.025974025974025976,0.11688311688311688,0.045454545454545456,0.025974025974025976,0.045454545454545456,0.09740259740259741,0.13636363636363635,0.08441558441558442,Sara Shoener,0.15584415584415584
50042,50042,100,18,13,17,30,10,25,6,3,6,24,32,23,207,0.08695652173913043,0.06280193236714976,0.0821256038647343,0.14492753623188406,0.04830917874396135,0.12077294685990338,0.028985507246376812,0.014492753623188406,0.028985507246376812,0.11594202898550725,0.15458937198067632,0.1111111111111111,Erin Drinkwater,0.15458937198067632
50043,50043,100,5,6,7,12,3,9,3,4,2,10,14,9,84,0.05952380952380952,0.07142857142857142,0.08333333333333333,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.047619047619047616,0.023809523809523808,0.11904761904761904,0.16666666666666666,0.10714285714285714,Erin Drinkwater,0.16666666666666666
50044,50044,100,14,8,13,25,6,22,8,10,3,25,25,26,185,0.07567567567567568,0.043243243243243246,0.07027027027027027,0.13513513513513514,0.032432432432432434,0.11891891891891893,0.043243243243243246,0.05405405405405406,0.016216216216216217,0.13513513513513514,0.13513513513513514,0.14054054054054055,Ramona Vergara,0.14054054054054055
50045,50045,100,0,1,2,4,1,5,0,2,0,6,3,4,28,0.0,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.17857142857142858,0.0,0.07142857142857142,0.0,0.21428571428571427,0.10714285714285714,0.14285714285714285,Eileen M. Cavaliere,0.21428571428571427
50046,50046,100,4,4,2,13,1,9,1,3,0,8,12,12,69,0.057971014492753624,0.057971014492753624,0.028985507246376812,0.18840579710144928,0.014492753623188406,0.13043478260869565,0.014492753623188406,0.043478260869565216,0.0,0.11594202898550725,0.17391304347826086,0.17391304347826086,Sara Shoener,0.18840579710144928
50047,50047,100,8,10,9,18,2,11,6,7,2,11,16,12,112,0.07142857142857142,0.08928571428571429,0.08035714285714286,0.16071428571428573,0.017857142857142856,0.09821428571428571,0.05357142857142857,0.0625,0.017857142857142856,0.09821428571428571,0.14285714285714285,0.10714285714285714,Sara Shoener,0.16071428571428573
50048,50048,100,5,5,2,12,6,8,4,15,0,9,9,11,86,0.05813953488372093,0.05813953488372093,0.023255813953488372,0.13953488372093023,0.06976744186046512,0.09302325581395349,0.046511627906976744,0.1744186046511628,0.0,0.10465116279069768,0.10465116279069768,0.12790697674418605,David Niederman,0.1744186046511628
50049,50049,100,11,15,10,21,7,12,6,9,0,14,18,19,142,0.07746478873239436,0.1056338028169014,0.07042253521126761,0.14788732394366197,0.04929577464788732,0.08450704225352113,0.04225352112676056,0.06338028169014084,0.0,0.09859154929577464,0.1267605633802817,0.13380281690140844,Sara Shoener,0.14788732394366197
50050,50050,100,12,7,11,20,17,16,8,14,2,20,16,27,170,0.07058823529411765,0.041176470588235294,0.06470588235294118,0.11764705882352941,0.1,0.09411764705882353,0.047058823529411764,0.08235294117647059,0.011764705882352941,0.11764705882352941,0.09411764705882353,0.1588235294117647,Ramona Vergara,0.1588235294117647
50051,50051,100,14,21,14,19,13,10,11,9,0,13,16,21,161,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.11801242236024845,0.08074534161490683,0.062111801242236024,0.06832298136645963,0.055900621118012424,0.0,0.08074534161490683,0.09937888198757763,0.13043478260869565,Tie,0.13043478260869565
50052,50052,100,14,13,15,21,11,11,5,13,0,15,16,39,173,0.08092485549132948,0.07514450867052024,0.08670520231213873,0.12138728323699421,0.06358381502890173,0.06358381502890173,0.028901734104046242,0.07514450867052024,0.0,0.08670520231213873,0.09248554913294797,0.2254335260115607,Ramona Vergara,0.2254335260115607
50053,50053,100,5,3,2,7,4,6,4,4,2,4,8,10,59,0.0847457627118644,0.05084745762711865,0.03389830508474576,0.11864406779661017,0.06779661016949153,0.1016949152542373,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.06779661016949153,0.13559322033898305,0.1694915254237288,Ramona Vergara,0.1694915254237288
50054,50054,100,4,2,4,5,4,8,4,7,0,6,6,8,58,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.08620689655172414,0.06896551724137931,0.13793103448275862,0.06896551724137931,0.1206896551724138,0.0,0.10344827586206896,0.10344827586206896,0.13793103448275862,Tie,0.13793103448275862
50055,50055,100,4,5,4,9,3,4,4,6,0,6,9,5,59,0.06779661016949153,0.0847457627118644,0.06779661016949153,0.15254237288135594,0.05084745762711865,0.06779661016949153,0.06779661016949153,0.1016949152542373,0.0,0.1016949152542373,0.15254237288135594,0.0847457627118644,Tie,0.15254237288135594
50057,50057,100,7,9,8,12,8,3,3,17,6,4,6,11,94,0.07446808510638298,0.09574468085106383,0.0851063829787234,0.1276595744680851,0.0851063829787234,0.031914893617021274,0.031914893617021274,0.18085106382978725,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.11702127659574468,David Niederman,0.18085106382978725
50058,50058,100,4,7,5,10,6,6,8,29,0,7,10,15,107,0.037383177570093455,0.06542056074766354,0.04672897196261682,0.09345794392523364,0.056074766355140186,0.056074766355140186,0.07476635514018691,0.27102803738317754,0.0,0.06542056074766354,0.09345794392523364,0.14018691588785046,David Niederman,0.27102803738317754
50059,50059,100,3,6,5,11,7,9,6,27,0,6,5,12,97,0.030927835051546393,0.061855670103092786,0.05154639175257732,0.1134020618556701,0.07216494845360824,0.09278350515463918,0.061855670103092786,0.27835051546391754,0.0,0.061855670103092786,0.05154639175257732,0.12371134020618557,David Niederman,0.27835051546391754
50060,50060,100,18,21,12,15,21,16,20,47,6,22,8,32,238,0.07563025210084033,0.08823529411764706,0.05042016806722689,0.06302521008403361,0.08823529411764706,0.06722689075630252,0.08403361344537816,0.19747899159663865,0.025210084033613446,0.09243697478991597,0.03361344537815126,0.13445378151260504,David Niederman,0.19747899159663865
50061,50061,100,14,9,11,17,17,12,10,39,5,11,10,21,176,0.07954545454545454,0.05113636363636364,0.0625,0.09659090909090909,0.09659090909090909,0.06818181818181818,0.056818181818181816,0.2215909090909091,0.028409090909090908,0.0625,0.056818181818181816,0.11931818181818182,David Niederman,0.2215909090909091
50062,50062,100,12,16,14,22,8,14,8,26,3,11,16,27,177,0.06779661016949153,0.0903954802259887,0.07909604519774012,0.12429378531073447,0.04519774011299435,0.07909604519774012,0.04519774011299435,0.14689265536723164,0.01694915254237288,0.062146892655367235,0.0903954802259887,0.15254237288135594,Ramona Vergara,0.15254237288135594
50063,50063,100,7,12,8,15,12,12,9,33,1,12,12,16,149,0.04697986577181208,0.08053691275167785,0.053691275167785234,0.10067114093959731,0.08053691275167785,0.08053691275167785,0.06040268456375839,0.2214765100671141,0.006711409395973154,0.08053691275167785,0.08053691275167785,0.10738255033557047,David Niederman,0.2214765100671141
50064,50064,100,3,3,3,6,9,9,9,43,4,9,3,12,113,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.05309734513274336,0.07964601769911504,0.07964601769911504,0.07964601769911504,0.3805309734513274,0.035398230088495575,0.07964601769911504,0.02654867256637168,0.10619469026548672,David Niederman,0.3805309734513274
50065,50065,100,3,7,2,5,10,9,9,41,1,10,2,12,111,0.02702702702702703,0.06306306306306306,0.018018018018018018,0.04504504504504504,0.09009009009009009,0.08108108108108109,0.08108108108108109,0.36936936936936937,0.009009009009009009,0.09009009009009009,0.018018018018018018,0.10810810810810811,David Niederman,0.36936936936936937
50066,50066,100,5,11,5,7,13,9,8,50,0,7,8,7,130,0.038461538461538464,0.08461538461538462,0.038461538461538464,0.05384615384615385,0.1,0.06923076923076923,0.06153846153846154,0.38461538461538464,0.0,0.05384615384615385,0.06153846153846154,0.05384615384615385,David Niederman,0.38461538461538464
50067,50067,100,4,9,2,6,16,11,14,38,3,13,5,11,132,0.030303030303030304,0.06818181818181818,0.015151515151515152,0.045454545454545456,0.12121212121212122,0.08333333333333333,0.10606060606060606,0.2878787878787879,0.022727272727272728,0.09848484848484848,0.03787878787878788,0.08333333333333333,David Niederman,0.2878787878787879
50068,50068,100,5,6,6,6,11,9,9,43,1,9,8,10,123,0.04065040650406504,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.08943089430894309,0.07317073170731707,0.07317073170731707,0.34959349593495936,0.008130081300813009,0.07317073170731707,0.06504065040650407,0.08130081300813008,David Niederman,0.34959349593495936
50069,50069,100,9,10,8,14,14,19,12,62,1,19,9,22,199,0.04522613065326633,0.05025125628140704,0.04020100502512563,0.07035175879396985,0.07035175879396985,0.09547738693467336,0.06030150753768844,0.31155778894472363,0.005025125628140704,0.09547738693467336,0.04522613065326633,0.11055276381909548,David Niederman,0.31155778894472363
50070,50070,100,5,9,3,7,13,11,11,46,1,9,3,10,128,0.0390625,0.0703125,0.0234375,0.0546875,0.1015625,0.0859375,0.0859375,0.359375,0.0078125,0.0703125,0.0234375,0.078125,David Niederman,0.359375
50071,50071,100,0,4,0,1,3,2,5,25,0,2,1,2,45,0.0,0.08888888888888889,0.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.1111111111111111,0.5555555555555556,0.0,0.044444444444444446,0.022222222222222223,0.044444444444444446,David Niederman,0.5555555555555556
50072,50072,100,5,11,3,6,8,6,9,30,7,9,5,7,106,0.04716981132075472,0.10377358490566038,0.02830188679245283,0.05660377358490566,0.07547169811320754,0.05660377358490566,0.08490566037735849,0.2830188679245283,0.0660377358490566,0.08490566037735849,0.04716981132075472,0.0660377358490566,David Niederman,0.2830188679245283
50073,50073,100,3,1,2,2,8,7,8,36,3,8,1,7,86,0.03488372093023256,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.09302325581395349,0.08139534883720931,0.09302325581395349,0.4186046511627907,0.03488372093023256,0.09302325581395349,0.011627906976744186,0.08139534883720931,David Niederman,0.4186046511627907
50074,50074,100,2,10,2,4,22,21,20,46,2,20,3,21,173,0.011560693641618497,0.057803468208092484,0.011560693641618497,0.023121387283236993,0.12716763005780346,0.12138728323699421,0.11560693641618497,0.2658959537572254,0.011560693641618497,0.11560693641618497,0.017341040462427744,0.12138728323699421,David Niederman,0.2658959537572254
50075,50075,100,0,8,0,2,11,10,11,55,2,9,1,12,121,0.0,0.06611570247933884,0.0,0.01652892561983471,0.09090909090909091,0.08264462809917356,0.09090909090909091,0.45454545454545453,0.01652892561983471,0.0743801652892562,0.008264462809917356,0.09917355371900827,David Niederman,0.45454545454545453
50076,50076,100,5,11,5,13,20,17,20,69,9,21,4,23,217,0.02304147465437788,0.05069124423963134,0.02304147465437788,0.059907834101382486,0.09216589861751152,0.07834101382488479,0.09216589861751152,0.31797235023041476,0.041474654377880185,0.0967741935483871,0.018433179723502304,0.10599078341013825,David Niederman,0.31797235023041476
50077,50077,100,7,11,7,10,18,14,17,66,0,16,6,15,187,0.0374331550802139,0.058823529411764705,0.0374331550802139,0.053475935828877004,0.0962566844919786,0.0748663101604278,0.09090909090909091,0.35294117647058826,0.0,0.0855614973262032,0.03208556149732621,0.08021390374331551,David Niederman,0.35294117647058826
50078,50078,100,2,11,3,7,18,15,16,65,2,16,4,15,174,0.011494252873563218,0.06321839080459771,0.017241379310344827,0.040229885057471264,0.10344827586206896,0.08620689655172414,0.09195402298850575,0.3735632183908046,0.011494252873563218,0.09195402298850575,0.022988505747126436,0.08620689655172414,David Niederman,0.3735632183908046
50079,50079,100,5,3,6,6,14,12,11,48,27,15,5,16,168,0.02976190476190476,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.08333333333333333,0.07142857142857142,0.06547619047619048,0.2857142857142857,0.16071428571428573,0.08928571428571429,0.02976190476190476,0.09523809523809523,David Niederman,0.2857142857142857
50080,50080,100,1,2,3,4,18,19,17,51,17,19,5,20,176,0.005681818181818182,0.011363636363636364,0.017045454545454544,0.022727272727272728,0.10227272727272728,0.10795454545454546,0.09659090909090909,0.2897727272727273,0.09659090909090909,0.10795454545454546,0.028409090909090908,0.11363636363636363,David Niederman,0.2897727272727273
50081,50081,100,1,1,1,1,1,0,0,1,0,0,2,0,8,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.25,0.0,Erin Drinkwater,0.25
50082,50082,100,3,6,6,6,9,8,9,25,2,9,4,9,96,0.03125,0.0625,0.0625,0.0625,0.09375,0.08333333333333333,0.09375,0.2604166666666667,0.020833333333333332,0.09375,0.041666666666666664,0.09375,David Niederman,0.2604166666666667
50083,50083,100,3,5,3,11,7,6,7,19,1,6,9,6,83,0.03614457831325301,0.060240963855421686,0.03614457831325301,0.13253012048192772,0.08433734939759036,0.07228915662650602,0.08433734939759036,0.2289156626506024,0.012048192771084338,0.07228915662650602,0.10843373493975904,0.07228915662650602,David Niederman,0.2289156626506024
50084,50084,100,3,2,1,4,1,2,0,2,1,1,4,5,26,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.19230769230769232,Ramona Vergara,0.19230769230769232
50085,50085,100,2,3,0,7,2,7,2,4,1,6,6,6,46,0.043478260869565216,0.06521739130434782,0.0,0.15217391304347827,0.043478260869565216,0.15217391304347827,0.043478260869565216,0.08695652173913043,0.021739130434782608,0.13043478260869565,0.13043478260869565,0.13043478260869565,Tie,0.15217391304347827
50086,50084,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50087,50087,100,1,2,3,5,2,4,1,1,0,6,5,6,36,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.0,0.16666666666666666,0.1388888888888889,0.16666666666666666,Tie,0.16666666666666666
50088,50088,100,0,0,0,0,1,1,1,1,0,1,0,1,6,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,Tie,0.16666666666666666
