ED,Reported As,Reporting,S.J. Jung,Toby Ann Stavisky,Scattered,Total Votes,p_S.J. Jung,p_Toby Ann Stavisky,p_Scattered,winner,winner_p
35007,35007,100,30,21,0,51,0.5882352941176471,0.4117647058823529,0.0,S.J. Jung,0.5882352941176471
35008,35008,100,29,14,1,44,0.6590909090909091,0.3181818181818182,0.022727272727272728,S.J. Jung,0.6590909090909091
35009,35009,100,17,29,0,46,0.3695652173913043,0.6304347826086957,0.0,Toby Ann Stavisky,0.6304347826086957
35010,35010,100,20,34,0,54,0.37037037037037035,0.6296296296296297,0.0,Toby Ann Stavisky,0.6296296296296297
35023,35023,100,10,66,1,77,0.12987012987012986,0.8571428571428571,0.012987012987012988,Toby Ann Stavisky,0.8571428571428571
35024,35024,100,8,47,0,55,0.14545454545454545,0.8545454545454545,0.0,Toby Ann Stavisky,0.8545454545454545
35026,35026,100,30,24,0,54,0.5555555555555556,0.4444444444444444,0.0,S.J. Jung,0.5555555555555556
35027,35027,100,8,40,0,48,0.16666666666666666,0.8333333333333334,0.0,Toby Ann Stavisky,0.8333333333333334
35029,35029,100,0,1,0,1,0.0,1.0,0.0,Toby Ann Stavisky,1.0
35030,35030,100,6,20,0,26,0.23076923076923078,0.7692307692307693,0.0,Toby Ann Stavisky,0.7692307692307693
35031,35030,100,0,0,0,0,0,0,0,n/a,0
35033,35033,100,27,27,0,54,0.5,0.5,0.0,Tie,0.5
35034,35034,100,4,23,0,27,0.14814814814814814,0.8518518518518519,0.0,Toby Ann Stavisky,0.8518518518518519
35054,35026,100,0,0,0,0,0,0,0,n/a,0
35055,35026,100,0,0,0,0,0,0,0,n/a,0
35062,35026,100,0,0,0,0,0,0,0,n/a,0
39022,39022,100,2,2,0,4,0.5,0.5,0.0,Tie,0.5
39023,39023,100,18,10,0,28,0.6428571428571429,0.35714285714285715,0.0,S.J. Jung,0.6428571428571429
39024,39024,100,14,7,0,21,0.6666666666666666,0.3333333333333333,0.0,S.J. Jung,0.6666666666666666
39027,39027,100,6,20,0,26,0.23076923076923078,0.7692307692307693,0.0,Toby Ann Stavisky,0.7692307692307693
39029,39029,100,18,18,0,36,0.5,0.5,0.0,Tie,0.5
39030,39030,100,22,24,0,46,0.4782608695652174,0.5217391304347826,0.0,Toby Ann Stavisky,0.5217391304347826
39031,39031,100,27,9,0,36,0.75,0.25,0.0,S.J. Jung,0.75
39034,39034,100,28,25,0,53,0.5283018867924528,0.4716981132075472,0.0,S.J. Jung,0.5283018867924528
39035,39035,100,40,9,0,49,0.8163265306122449,0.1836734693877551,0.0,S.J. Jung,0.8163265306122449
