ED,Reported As,Reporting,Charles Barron,Christopher W. Banks,Scattered,Total Votes,p_Charles Barron,p_Christopher W. Banks,p_Scattered,winner,winner_p
60054,60054,100,51,44,0,95,0.5368421052631579,0.4631578947368421,0.0,Charles Barron,0.5368421052631579
60055,60055,100,13,46,0,59,0.22033898305084745,0.7796610169491526,0.0,Christopher W. Banks,0.7796610169491526
60056,60056,100,37,25,1,63,0.5873015873015873,0.3968253968253968,0.015873015873015872,Charles Barron,0.5873015873015873
60057,60057,100,65,9,0,74,0.8783783783783784,0.12162162162162163,0.0,Charles Barron,0.8783783783783784
60058,60058,100,44,19,0,63,0.6984126984126984,0.30158730158730157,0.0,Charles Barron,0.6984126984126984
60059,60059,100,46,20,0,66,0.696969696969697,0.30303030303030304,0.0,Charles Barron,0.696969696969697
60060,60060,100,32,11,0,43,0.7441860465116279,0.2558139534883721,0.0,Charles Barron,0.7441860465116279
60061,60061,100,45,13,0,58,0.7758620689655172,0.22413793103448276,0.0,Charles Barron,0.7758620689655172
60062,60062,100,58,34,0,92,0.6304347826086957,0.3695652173913043,0.0,Charles Barron,0.6304347826086957
60063,60063,100,72,49,1,122,0.5901639344262295,0.4016393442622951,0.00819672131147541,Charles Barron,0.5901639344262295
60064,60064,100,67,64,0,131,0.5114503816793893,0.48854961832061067,0.0,Charles Barron,0.5114503816793893
60065,60065,100,60,72,1,133,0.45112781954887216,0.5413533834586466,0.007518796992481203,Christopher W. Banks,0.5413533834586466
60066,60066,100,39,18,0,57,0.6842105263157895,0.3157894736842105,0.0,Charles Barron,0.6842105263157895
60067,60067,100,41,21,0,62,0.6612903225806451,0.3387096774193548,0.0,Charles Barron,0.6612903225806451
60068,60068,100,50,25,0,75,0.6666666666666666,0.3333333333333333,0.0,Charles Barron,0.6666666666666666
60069,60069,100,8,3,0,11,0.7272727272727273,0.2727272727272727,0.0,Charles Barron,0.7272727272727273
60070,60070,100,19,7,0,26,0.7307692307692307,0.2692307692307692,0.0,Charles Barron,0.7307692307692307
60071,60071,100,50,14,0,64,0.78125,0.21875,0.0,Charles Barron,0.78125
60072,60072,100,36,20,1,57,0.631578947368421,0.3508771929824561,0.017543859649122806,Charles Barron,0.631578947368421
60073,60073,100,39,8,0,47,0.8297872340425532,0.1702127659574468,0.0,Charles Barron,0.8297872340425532
60074,60074,100,94,122,0,216,0.4351851851851852,0.5648148148148148,0.0,Christopher W. Banks,0.5648148148148148
60075,60075,100,51,47,1,99,0.5151515151515151,0.47474747474747475,0.010101010101010102,Charles Barron,0.5151515151515151
60076,60076,100,44,32,0,76,0.5789473684210527,0.42105263157894735,0.0,Charles Barron,0.5789473684210527
60077,60077,100,58,35,0,93,0.6236559139784946,0.3763440860215054,0.0,Charles Barron,0.6236559139784946
60078,60078,100,58,30,0,88,0.6590909090909091,0.3409090909090909,0.0,Charles Barron,0.6590909090909091
60079,60079,100,44,20,0,64,0.6875,0.3125,0.0,Charles Barron,0.6875
60080,60080,100,66,41,0,107,0.616822429906542,0.38317757009345793,0.0,Charles Barron,0.616822429906542
60081,60081,100,70,42,0,112,0.625,0.375,0.0,Charles Barron,0.625
60082,60082,100,104,80,0,184,0.5652173913043478,0.43478260869565216,0.0,Charles Barron,0.5652173913043478
60083,60083,100,92,80,0,172,0.5348837209302325,0.46511627906976744,0.0,Charles Barron,0.5348837209302325
60084,60084,100,26,11,0,37,0.7027027027027027,0.2972972972972973,0.0,Charles Barron,0.7027027027027027
60085,60085,100,40,40,0,80,0.5,0.5,0.0,Tie,0.5
60086,60086,100,22,11,0,33,0.6666666666666666,0.3333333333333333,0.0,Charles Barron,0.6666666666666666
