ED,Reported As,Reporting,Ann T. Wilkinson,Sabine French,Scattered,Total Votes,p_Ann T. Wilkinson,p_Sabine French,p_Scattered,winner,winner_p
33061,33061,100,33,20,0,53,0.6226415094339622,0.37735849056603776,0.0,Ann T. Wilkinson,0.6226415094339622
33062,33062,100,61,29,1,91,0.6703296703296703,0.31868131868131866,0.01098901098901099,Ann T. Wilkinson,0.6703296703296703
33063,33063,100,50,29,0,79,0.6329113924050633,0.3670886075949367,0.0,Ann T. Wilkinson,0.6329113924050633
33064,33064,100,45,33,0,78,0.5769230769230769,0.4230769230769231,0.0,Ann T. Wilkinson,0.5769230769230769
33065,33065,100,73,58,0,131,0.5572519083969466,0.44274809160305345,0.0,Ann T. Wilkinson,0.5572519083969466
33066,33066,100,74,36,1,111,0.6666666666666666,0.32432432432432434,0.009009009009009009,Ann T. Wilkinson,0.6666666666666666
33067,33067,100,62,36,0,98,0.6326530612244898,0.3673469387755102,0.0,Ann T. Wilkinson,0.6326530612244898
33068,33068,100,75,47,0,122,0.6147540983606558,0.38524590163934425,0.0,Ann T. Wilkinson,0.6147540983606558
33069,33069,100,50,28,0,78,0.6410256410256411,0.358974358974359,0.0,Ann T. Wilkinson,0.6410256410256411
33070,33070,100,47,19,0,66,0.7121212121212122,0.2878787878787879,0.0,Ann T. Wilkinson,0.7121212121212122
33071,33071,100,44,23,0,67,0.6567164179104478,0.34328358208955223,0.0,Ann T. Wilkinson,0.6567164179104478
33072,33072,100,53,17,0,70,0.7571428571428571,0.24285714285714285,0.0,Ann T. Wilkinson,0.7571428571428571
33073,33073,100,43,17,0,60,0.7166666666666667,0.2833333333333333,0.0,Ann T. Wilkinson,0.7166666666666667
