ED,Reported As,Reporting,Roberta C. Gelb,Thomas McManus,Noah Pfefferblit,Thomas Duane,James Simpson,Lucille Ognibene,Hugh Weinberg,Lydia Hummel,Burt Lazarin,Denisse M. Frand,Anthony J. Setteducate,Patricia Goff,Raanan Geberer,Scattered,Valerie Miller,Roberto B. English,Ernest Modarelli,Jay Marcus,Craig L. Slutzkin,Tracy Westmoreland,Total Votes,p_Roberta C. Gelb,p_Thomas McManus,p_Noah Pfefferblit,p_Thomas Duane,p_James Simpson,p_Lucille Ognibene,p_Hugh Weinberg,p_Lydia Hummel,p_Burt Lazarin,p_Denisse M. Frand,p_Anthony J. Setteducate,p_Patricia Goff,p_Raanan Geberer,p_Scattered,p_Valerie Miller,p_Roberto B. English,p_Ernest Modarelli,p_Jay Marcus,p_Craig L. Slutzkin,p_Tracy Westmoreland,winner,winner_p
75096,75096,100,23,18,16,33,17,25,16,24,10,26,9,25,12,0,28,14,9,20,12,23,360,0.06388888888888888,0.05,0.044444444444444446,0.09166666666666666,0.04722222222222222,0.06944444444444445,0.044444444444444446,0.06666666666666667,0.027777777777777776,0.07222222222222222,0.025,0.06944444444444445,0.03333333333333333,0.0,0.07777777777777778,0.03888888888888889,0.025,0.05555555555555555,0.03333333333333333,0.06388888888888888,Thomas Duane,0.09166666666666666
75097,75097,100,36,17,16,35,11,21,22,29,21,19,15,21,16,0,27,14,10,23,18,21,392,0.09183673469387756,0.04336734693877551,0.04081632653061224,0.08928571428571429,0.02806122448979592,0.05357142857142857,0.05612244897959184,0.07397959183673469,0.05357142857142857,0.04846938775510204,0.03826530612244898,0.05357142857142857,0.04081632653061224,0.0,0.06887755102040816,0.03571428571428571,0.025510204081632654,0.058673469387755105,0.04591836734693878,0.05357142857142857,Roberta C. Gelb,0.09183673469387756
75098,75098,100,17,5,6,19,6,11,13,15,10,11,10,17,10,1,12,11,9,6,8,12,209,0.08133971291866028,0.023923444976076555,0.028708133971291867,0.09090909090909091,0.028708133971291867,0.05263157894736842,0.06220095693779904,0.07177033492822966,0.04784688995215311,0.05263157894736842,0.04784688995215311,0.08133971291866028,0.04784688995215311,0.004784688995215311,0.05741626794258373,0.05263157894736842,0.0430622009569378,0.028708133971291867,0.03827751196172249,0.05741626794258373,Thomas Duane,0.09090909090909091
75099,75099,100,27,20,15,44,16,30,18,29,21,25,15,32,18,3,26,15,19,16,13,24,426,0.06338028169014084,0.046948356807511735,0.035211267605633804,0.10328638497652583,0.03755868544600939,0.07042253521126761,0.04225352112676056,0.06807511737089202,0.04929577464788732,0.05868544600938967,0.035211267605633804,0.07511737089201878,0.04225352112676056,0.007042253521126761,0.06103286384976526,0.035211267605633804,0.04460093896713615,0.03755868544600939,0.03051643192488263,0.056338028169014086,Thomas Duane,0.10328638497652583
75100,75100,100,20,17,11,28,12,20,11,19,11,17,10,22,7,0,17,12,11,13,12,19,289,0.06920415224913495,0.058823529411764705,0.03806228373702422,0.09688581314878893,0.04152249134948097,0.06920415224913495,0.03806228373702422,0.0657439446366782,0.03806228373702422,0.058823529411764705,0.03460207612456748,0.07612456747404844,0.02422145328719723,0.0,0.058823529411764705,0.04152249134948097,0.03806228373702422,0.04498269896193772,0.04152249134948097,0.0657439446366782,Thomas Duane,0.09688581314878893
75101,75100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75102,75102,100,12,6,10,10,6,10,7,7,5,11,4,10,5,0,11,6,3,7,6,11,147,0.08163265306122448,0.04081632653061224,0.06802721088435375,0.06802721088435375,0.04081632653061224,0.06802721088435375,0.047619047619047616,0.047619047619047616,0.034013605442176874,0.07482993197278912,0.027210884353741496,0.06802721088435375,0.034013605442176874,0.0,0.07482993197278912,0.04081632653061224,0.02040816326530612,0.047619047619047616,0.04081632653061224,0.07482993197278912,Roberta C. Gelb,0.08163265306122448
75103,75103,100,10,9,8,13,10,8,10,10,13,9,10,9,8,4,8,13,10,13,6,11,192,0.052083333333333336,0.046875,0.041666666666666664,0.06770833333333333,0.052083333333333336,0.041666666666666664,0.052083333333333336,0.052083333333333336,0.06770833333333333,0.046875,0.052083333333333336,0.046875,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.06770833333333333,0.052083333333333336,0.06770833333333333,0.03125,0.057291666666666664,Tie,0.06770833333333333
75200,75200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75201,75201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75202,75201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75203,75203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75204,75203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75205,75205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
