ED,Reported As,Reporting,Melanie Hidalgo,Mayobanex Villalona,Manny De Los Santos,Guillermo Linares,Scattered,Francesca M. Castellanos,Total Votes,p_Melanie Hidalgo,p_Mayobanex Villalona,p_Manny De Los Santos,p_Guillermo Linares,p_Scattered,p_Francesca M. Castellanos,winner,winner_p
72071,72071,100,13,0,29,30,0,9,81,0.16049382716049382,0.0,0.35802469135802467,0.37037037037037035,0.0,0.1111111111111111,Guillermo Linares,0.37037037037037035
72072,72072,100,24,5,32,59,0,11,131,0.183206106870229,0.03816793893129771,0.24427480916030533,0.45038167938931295,0.0,0.08396946564885496,Guillermo Linares,0.45038167938931295
72073,72073,100,0,0,9,14,0,0,23,0.0,0.0,0.391304347826087,0.6086956521739131,0.0,0.0,Guillermo Linares,0.6086956521739131
72074,72074,100,12,0,25,39,0,5,81,0.14814814814814814,0.0,0.30864197530864196,0.48148148148148145,0.0,0.06172839506172839,Guillermo Linares,0.48148148148148145
72075,72075,100,15,1,20,95,0,4,135,0.1111111111111111,0.007407407407407408,0.14814814814814814,0.7037037037037037,0.0,0.02962962962962963,Guillermo Linares,0.7037037037037037
72076,72076,100,15,0,22,34,0,2,73,0.2054794520547945,0.0,0.3013698630136986,0.4657534246575342,0.0,0.0273972602739726,Guillermo Linares,0.4657534246575342
72200,71086,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72201,71086,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72202,71086,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72203,71086,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72204,72204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72205,72205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
