ED,Reported As,Reporting,Charles Barron,David M. Best,Scattered,Total Votes,p_Charles Barron,p_David M. Best,p_Scattered,winner,winner_p
60076,60076,100,54,15,0,69,0.782608695652174,0.21739130434782608,0.0,Charles Barron,0.782608695652174
60077,60077,100,61,19,0,80,0.7625,0.2375,0.0,Charles Barron,0.7625
60078,60078,100,61,15,0,76,0.8026315789473685,0.19736842105263158,0.0,Charles Barron,0.8026315789473685
60079,60079,100,46,8,1,55,0.8363636363636363,0.14545454545454545,0.01818181818181818,Charles Barron,0.8363636363636363
60080,60080,100,80,14,0,94,0.851063829787234,0.14893617021276595,0.0,Charles Barron,0.851063829787234
60081,60081,100,76,18,0,94,0.8085106382978723,0.19148936170212766,0.0,Charles Barron,0.8085106382978723
60082,60082,100,118,46,0,164,0.7195121951219512,0.2804878048780488,0.0,Charles Barron,0.7195121951219512
60083,60083,100,117,44,0,161,0.7267080745341615,0.2732919254658385,0.0,Charles Barron,0.7267080745341615
60084,60084,100,27,8,0,35,0.7714285714285715,0.22857142857142856,0.0,Charles Barron,0.7714285714285715
60085,60085,100,40,26,0,66,0.6060606060606061,0.3939393939393939,0.0,Charles Barron,0.6060606060606061
60086,60086,100,20,6,0,26,0.7692307692307693,0.23076923076923078,0.0,Charles Barron,0.7692307692307693
