ED,Reported As,Reporting,William R. Moore,Scattered,Marcos A. Crespo,Total Votes,p_William R. Moore,p_Scattered,p_Marcos A. Crespo,winner,winner_p
85068,85068,100,14,0,86,100,0.14,0.0,0.86,Marcos A. Crespo,0.86
85069,85069,100,12,0,38,50,0.24,0.0,0.76,Marcos A. Crespo,0.76
85070,85070,100,3,0,28,31,0.0967741935483871,0.0,0.9032258064516129,Marcos A. Crespo,0.9032258064516129
85071,85071,100,0,0,0,0,0,0,0,n/a,0
85072,85035,100,0,0,0,0,0,0,0,n/a,0
85073,85035,100,0,0,0,0,0,0,0,n/a,0
85074,85035,100,0,0,0,0,0,0,0,n/a,0
85075,85035,100,0,0,0,0,0,0,0,n/a,0
85076,85076,100,0,0,0,0,0,0,0,n/a,0
85077,85035,100,0,0,0,0,0,0,0,n/a,0
85078,85035,100,0,0,0,0,0,0,0,n/a,0
85079,85035,100,0,0,0,0,0,0,0,n/a,0
