ED,Reported As,Reporting,Ruth C. Halberg,Pauline Dana-Bashian,Scattered,Total Votes,p_Ruth C. Halberg,p_Pauline Dana-Bashian,p_Scattered,winner,winner_p
76088,76088,100,24,17,0,41,0.5853658536585366,0.4146341463414634,0.0,Ruth C. Halberg,0.5853658536585366
76089,76089,100,21,14,0,35,0.6,0.4,0.0,Ruth C. Halberg,0.6
76090,76090,100,32,12,0,44,0.7272727272727273,0.2727272727272727,0.0,Ruth C. Halberg,0.7272727272727273
76200,76200,100,0,0,0,0,0,0,0,n/a,0
76201,76200,100,0,0,0,0,0,0,0,n/a,0
76202,76200,100,0,0,0,0,0,0,0,n/a,0
76203,76200,100,0,0,0,0,0,0,0,n/a,0
76204,76200,100,0,0,0,0,0,0,0,n/a,0
76205,76200,100,0,0,0,0,0,0,0,n/a,0
76206,76200,100,0,0,0,0,0,0,0,n/a,0
76207,76087,100,0,0,0,0,0,0,0,n/a,0
