Bronx_Judge_of_the_Civil_Court_-_County_Bronx
Bronx_Judge_of_the_Civil_Court_-_District_2nd_Municipal_Court_District_-_Bronx
Bronx_Justice_of_the_Supreme_Court_12th_Judicial_District
Bronx_Member_of_the_Assembly_77th_Assembly_District
Bronx_Member_of_the_Assembly_78th_Assembly_District
Bronx_Member_of_the_Assembly_79th_Assembly_District
Bronx_Member_of_the_Assembly_80th_Assembly_District
Bronx_Member_of_the_Assembly_81st_Assembly_District
Bronx_Member_of_the_Assembly_82nd_Assembly_District
Bronx_Member_of_the_Assembly_83rd_Assembly_District
Bronx_Member_of_the_Assembly_84th_Assembly_District
Bronx_Member_of_the_Assembly_85th_Assembly_District
Bronx_Member_of_the_Assembly_86th_Assembly_District
Bronx_Member_of_the_Assembly_87th_Assembly_District
Bronx_Representative_in_Congress_15th_Congressional_District
Bronx_Representative_in_Congress_16th_Congressional_District
Bronx_State_Senator_32nd_Senatorial_District
Bronx_State_Senator_33rd_Senatorial_District
Bronx_State_Senator_34th_Senatorial_District
Bronx_State_Senator_36th_Senatorial_District
Citywide_Attorney_General_Citywide
Citywide_GovernorLieutenant_Governor_Citywide
Citywide_Permitting_Electronic_Distribution_of_State_Legislative_Bills_Citywide
Citywide_State_Comptroller_Citywide
Citywide_The_SMART_SCHOOLS_BOND_ACT_OF_2014_Citywide
Crossover_Member_of_the_Assembly_64th_Assembly_District
Crossover_Representative_in_Congress_10th_Congressional_District
Crossover_Representative_in_Congress_11th_Congressional_District
Crossover_Representative_in_Congress_12th_Congressional_District
Crossover_Representative_in_Congress_13th_Congressional_District
Crossover_Representative_in_Congress_14th_Congressional_District
Crossover_Representative_in_Congress_7th_Congressional_District
Crossover_Representative_in_Congress_8th_Congressional_District
Crossover_State_Senator_23rd_Senatorial_District
Crossover_State_Senator_26th_Senatorial_District
Crossover_State_Senator_29th_Senatorial_District
Kings_Judge_of_the_Civil_Court_-_County_Kings
Kings_Judge_of_the_Civil_Court_-_District_2nd_Municipal_Court_District_-_Kings
Kings_Judge_of_the_Civil_Court_-_District_3rd_Municipal_Court_District_-_Kings
Kings_Judge_of_the_Civil_Court_-_District_6th_Municipal_Court_District_-_Kings
Kings_Judge_of_the_Civil_Court_-_District_7th_Municipal_Court_District_-_Kings
Kings_Judge_of_the_Civil_Court_-_District_8th_Municipal_Court_District_-_Kings
Kings_Justice_of_the_Supreme_Court_2nd_Judicial_District
Kings_Member_of_the_Assembly_41st_Assembly_District
Kings_Member_of_the_Assembly_42nd_Assembly_District
Kings_Member_of_the_Assembly_43rd_Assembly_District
Kings_Member_of_the_Assembly_44th_Assembly_District
Kings_Member_of_the_Assembly_45th_Assembly_District
Kings_Member_of_the_Assembly_46th_Assembly_District
Kings_Member_of_the_Assembly_47th_Assembly_District
Kings_Member_of_the_Assembly_48th_Assembly_District
Kings_Member_of_the_Assembly_49th_Assembly_District
Kings_Member_of_the_Assembly_50th_Assembly_District
Kings_Member_of_the_Assembly_51st_Assembly_District
Kings_Member_of_the_Assembly_52nd_Assembly_District
Kings_Member_of_the_Assembly_53rd_Assembly_District
Kings_Member_of_the_Assembly_54th_Assembly_District
Kings_Member_of_the_Assembly_55th_Assembly_District
Kings_Member_of_the_Assembly_56th_Assembly_District
Kings_Member_of_the_Assembly_57th_Assembly_District
Kings_Member_of_the_Assembly_58th_Assembly_District
Kings_Member_of_the_Assembly_59th_Assembly_District
