ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
34062,34062,99.00,2,0,2,1.0,0.0,Yes,1.0
34063,34063,83.33,212,58,270,0.7851851851851852,0.21481481481481482,Yes,0.7851851851851852
34064,34064,99.00,0,0,0,0,0,n/a,0
34065,34065,99.00,149,24,173,0.861271676300578,0.13872832369942195,Yes,0.861271676300578
34066,34066,99.00,181,42,223,0.8116591928251121,0.18834080717488788,Yes,0.8116591928251121
34067,34067,99.00,68,23,91,0.7472527472527473,0.25274725274725274,Yes,0.7472527472527473
34068,34068,99.00,10,1,11,0.9090909090909091,0.09090909090909091,Yes,0.9090909090909091
34069,34069,99.00,140,47,187,0.7486631016042781,0.25133689839572193,Yes,0.7486631016042781
34070,34070,99.00,1,0,1,1.0,0.0,Yes,1.0
34071,34071,99.00,0,0,0,0,0,n/a,0
34072,34072,99.00,292,63,355,0.8225352112676056,0.17746478873239438,Yes,0.8225352112676056
34073,34073,99.00,3,0,3,1.0,0.0,Yes,1.0
35001,35001,99.00,0,0,0,0,0,n/a,0
35002,35002,99.00,71,21,92,0.7717391304347826,0.22826086956521738,Yes,0.7717391304347826
35003,35003,99.00,132,26,158,0.8354430379746836,0.16455696202531644,Yes,0.8354430379746836
35004,35004,99.00,88,17,105,0.8380952380952381,0.1619047619047619,Yes,0.8380952380952381
35005,35005,99.00,86,33,119,0.7226890756302521,0.2773109243697479,Yes,0.7226890756302521
35006,35006,0.00,2,3,5,0.4,0.6,No,0.6
35007,35007,99.00,118,25,143,0.8251748251748252,0.17482517482517482,Yes,0.8251748251748252
35008,35008,99.00,3,0,3,1.0,0.0,Yes,1.0
35009,35009,99.00,133,26,159,0.8364779874213837,0.16352201257861634,Yes,0.8364779874213837
35010,35010,99.00,1,0,1,1.0,0.0,Yes,1.0
35011,35011,99.00,64,6,70,0.9142857142857143,0.08571428571428572,Yes,0.9142857142857143
35012,35012,99.00,152,25,177,0.8587570621468926,0.14124293785310735,Yes,0.8587570621468926
35013,35013,99.00,57,17,74,0.7702702702702703,0.22972972972972974,Yes,0.7702702702702703
35014,35014,99.00,1,2,3,0.3333333333333333,0.6666666666666666,No,0.6666666666666666
35015,35015,99.00,96,21,117,0.8205128205128205,0.1794871794871795,Yes,0.8205128205128205
35016,35016,99.00,89,12,101,0.8811881188118812,0.1188118811881188,Yes,0.8811881188118812
35017,35017,99.00,96,18,114,0.8421052631578947,0.15789473684210525,Yes,0.8421052631578947
35018,35018,99.00,147,25,172,0.8546511627906976,0.14534883720930233,Yes,0.8546511627906976
35019,35019,99.00,3,0,3,1.0,0.0,Yes,1.0
35020,35020,55.56,157,30,187,0.839572192513369,0.16042780748663102,Yes,0.839572192513369
35021,35021,99.00,102,21,123,0.8292682926829268,0.17073170731707318,Yes,0.8292682926829268
35022,35022,99.00,101,12,113,0.8938053097345132,0.10619469026548672,Yes,0.8938053097345132
35023,35023,99.00,2,0,2,1.0,0.0,Yes,1.0
35024,35024,99.00,134,57,191,0.7015706806282722,0.29842931937172773,Yes,0.7015706806282722
35025,35025,99.00,114,15,129,0.8837209302325582,0.11627906976744186,Yes,0.8837209302325582
35026,35026,99.00,1,1,2,0.5,0.5,Tie,0.5
35027,35027,99.00,144,43,187,0.7700534759358288,0.22994652406417113,Yes,0.7700534759358288
35028,35028,99.00,40,8,48,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
35029,35029,99.00,0,0,0,0,0,n/a,0
35030,35030,99.00,0,0,0,0,0,n/a,0
35031,35031,99.00,0,0,0,0,0,n/a,0
35032,35032,99.00,78,20,98,0.7959183673469388,0.20408163265306123,Yes,0.7959183673469388
35033,35033,0.00,2,2,4,0.5,0.5,Tie,0.5
35034,35034,99.00,0,0,0,0,0,n/a,0
35035,35035,99.00,2,0,2,1.0,0.0,Yes,1.0
35036,35036,99.00,0,0,0,0,0,n/a,0
