ED,Reported As,Reporting,Toby Ann Stavisky (Independence),Toby Ann Stavisky (Working Families),Toby Ann Stavisky (Democratic),Scattered,Total Votes,Toby Ann Stavisky RECAP,Scattered RECAP,p_Toby Ann Stavisky (Independence),p_Toby Ann Stavisky (Working Families),p_Toby Ann Stavisky (Democratic),p_Scattered,p_Toby Ann Stavisky RECAP,p_Scattered RECAP,winner,winner_p
28055,28055,100,3,1,34,0,38,38,0,0.07894736842105263,0.02631578947368421,0.8947368421052632,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
28056,28056,100,4,12,119,1,136,135,1,0.029411764705882353,0.08823529411764706,0.875,0.007352941176470588,0.9926470588235294,0.007352941176470588,Toby Ann Stavisky RECAP,0.9926470588235294
28057,28057,100,6,10,85,2,103,101,2,0.05825242718446602,0.0970873786407767,0.8252427184466019,0.019417475728155338,0.9805825242718447,0.019417475728155338,Toby Ann Stavisky RECAP,0.9805825242718447
28058,28058,100,5,14,108,1,128,127,1,0.0390625,0.109375,0.84375,0.0078125,0.9921875,0.0078125,Toby Ann Stavisky RECAP,0.9921875
28059,28059,100,0,1,10,0,11,11,0,0.0,0.09090909090909091,0.9090909090909091,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
30001,30001,100,1,2,52,0,55,55,0,0.01818181818181818,0.03636363636363636,0.9454545454545454,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
30002,30002,100,7,12,114,0,133,133,0,0.05263157894736842,0.09022556390977443,0.8571428571428571,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
30030,30030,100,6,11,77,5,99,94,5,0.06060606060606061,0.1111111111111111,0.7777777777777778,0.050505050505050504,0.9494949494949495,0.050505050505050504,Toby Ann Stavisky RECAP,0.9494949494949495
30031,30031,100,4,7,47,2,60,58,2,0.06666666666666667,0.11666666666666667,0.7833333333333333,0.03333333333333333,0.9666666666666667,0.03333333333333333,Toby Ann Stavisky RECAP,0.9666666666666667
30032,30032,100,0,4,22,1,27,26,1,0.0,0.14814814814814814,0.8148148148148148,0.037037037037037035,0.9629629629629629,0.037037037037037035,Toby Ann Stavisky RECAP,0.9629629629629629
30034,30034,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
30054,30054,100,0,2,21,0,23,23,0,0.0,0.08695652173913043,0.9130434782608695,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
30070,30070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
34031,34031,100,0,6,41,0,47,47,0,0.0,0.1276595744680851,0.8723404255319149,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
34032,34032,100,1,3,22,0,26,26,0,0.038461538461538464,0.11538461538461539,0.8461538461538461,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
34033,34033,100,0,1,15,0,16,16,0,0.0,0.0625,0.9375,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
34045,34045,100,2,26,136,5,169,164,5,0.011834319526627219,0.15384615384615385,0.8047337278106509,0.029585798816568046,0.9704142011834319,0.029585798816568046,Toby Ann Stavisky RECAP,0.9704142011834319
34046,34046,100,3,10,44,2,59,57,2,0.05084745762711865,0.1694915254237288,0.7457627118644068,0.03389830508474576,0.9661016949152542,0.03389830508474576,Toby Ann Stavisky RECAP,0.9661016949152542
34057,34057,100,0,2,29,0,31,31,0,0.0,0.06451612903225806,0.9354838709677419,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
34058,34057,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
34061,34061,100,0,0,8,0,8,8,0,0.0,0.0,1.0,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35001,35001,100,0,3,26,2,31,29,2,0.0,0.0967741935483871,0.8387096774193549,0.06451612903225806,0.9354838709677419,0.06451612903225806,Toby Ann Stavisky RECAP,0.9354838709677419
