ED,Reported As,Reporting,Michael J. Eginton (Republican),Michael R. Benedetto (Democratic),William E. Britt Jr. (Conservative),Scattered,Total Votes,Michael J. Eginton RECAP,Michael R. Benedetto RECAP,William E. Britt Jr. RECAP,Scattered RECAP,p_Michael J. Eginton (Republican),p_Michael R. Benedetto (Democratic),p_William E. Britt Jr. (Conservative),p_Scattered,p_Michael J. Eginton RECAP,p_Michael R. Benedetto RECAP,p_William E. Britt Jr. RECAP,p_Scattered RECAP,winner,winner_p
82080,82080,100,6,196,3,1,206,6,196,3,1,0.02912621359223301,0.9514563106796117,0.014563106796116505,0.0048543689320388345,0.02912621359223301,0.9514563106796117,0.014563106796116505,0.0048543689320388345,Michael R. Benedetto RECAP,0.9514563106796117
82081,82081,100,11,161,0,0,172,11,161,0,0,0.06395348837209303,0.936046511627907,0.0,0.0,0.06395348837209303,0.936046511627907,0.0,0.0,Michael R. Benedetto RECAP,0.936046511627907
82082,82082,100,9,145,2,0,156,9,145,2,0,0.057692307692307696,0.9294871794871795,0.01282051282051282,0.0,0.057692307692307696,0.9294871794871795,0.01282051282051282,0.0,Michael R. Benedetto RECAP,0.9294871794871795
82083,82083,100,6,140,3,0,149,6,140,3,0,0.040268456375838924,0.9395973154362416,0.020134228187919462,0.0,0.040268456375838924,0.9395973154362416,0.020134228187919462,0.0,Michael R. Benedetto RECAP,0.9395973154362416
82084,82084,100,5,157,1,0,163,5,157,1,0,0.03067484662576687,0.9631901840490797,0.006134969325153374,0.0,0.03067484662576687,0.9631901840490797,0.006134969325153374,0.0,Michael R. Benedetto RECAP,0.9631901840490797
82085,82085,100,10,191,2,0,203,10,191,2,0,0.04926108374384237,0.9408866995073891,0.009852216748768473,0.0,0.04926108374384237,0.9408866995073891,0.009852216748768473,0.0,Michael R. Benedetto RECAP,0.9408866995073891
82086,82086,100,3,149,1,0,153,3,149,1,0,0.0196078431372549,0.9738562091503268,0.006535947712418301,0.0,0.0196078431372549,0.9738562091503268,0.006535947712418301,0.0,Michael R. Benedetto RECAP,0.9738562091503268
82087,82087,100,7,173,5,0,185,7,173,5,0,0.03783783783783784,0.9351351351351351,0.02702702702702703,0.0,0.03783783783783784,0.9351351351351351,0.02702702702702703,0.0,Michael R. Benedetto RECAP,0.9351351351351351
82088,82088,100,3,191,2,0,196,3,191,2,0,0.015306122448979591,0.9744897959183674,0.01020408163265306,0.0,0.015306122448979591,0.9744897959183674,0.01020408163265306,0.0,Michael R. Benedetto RECAP,0.9744897959183674
82089,82089,100,11,213,2,0,226,11,213,2,0,0.048672566371681415,0.9424778761061947,0.008849557522123894,0.0,0.048672566371681415,0.9424778761061947,0.008849557522123894,0.0,Michael R. Benedetto RECAP,0.9424778761061947
82090,82090,100,7,195,1,0,203,7,195,1,0,0.034482758620689655,0.9605911330049262,0.0049261083743842365,0.0,0.034482758620689655,0.9605911330049262,0.0049261083743842365,0.0,Michael R. Benedetto RECAP,0.9605911330049262
