ED,Reported As,Reporting,Ruben Diaz Sr. (Democratic),Ruben Diaz Sr. (Republican),Jasmine Marte (Conservative),Scattered,Total Votes,Ruben Diaz Sr. RECAP,Jasmine Marte RECAP,Scattered RECAP,p_Ruben Diaz Sr. (Democratic),p_Ruben Diaz Sr. (Republican),p_Jasmine Marte (Conservative),p_Scattered,p_Ruben Diaz Sr. RECAP,p_Jasmine Marte RECAP,p_Scattered RECAP,winner,winner_p
79043,79043,100,102,10,3,0,115,112,3,0,0.8869565217391304,0.08695652173913043,0.02608695652173913,0.0,0.9739130434782609,0.02608695652173913,0.0,Ruben Diaz Sr. RECAP,0.9739130434782609
79044,79044,100,120,7,3,0,130,127,3,0,0.9230769230769231,0.05384615384615385,0.023076923076923078,0.0,0.9769230769230769,0.023076923076923078,0.0,Ruben Diaz Sr. RECAP,0.9769230769230769
79045,79045,100,101,3,3,0,107,104,3,0,0.9439252336448598,0.028037383177570093,0.028037383177570093,0.0,0.9719626168224299,0.028037383177570093,0.0,Ruben Diaz Sr. RECAP,0.9719626168224299
79046,79046,100,162,2,2,0,166,164,2,0,0.9759036144578314,0.012048192771084338,0.012048192771084338,0.0,0.9879518072289156,0.012048192771084338,0.0,Ruben Diaz Sr. RECAP,0.9879518072289156
79047,79047,100,180,3,2,0,185,183,2,0,0.972972972972973,0.016216216216216217,0.010810810810810811,0.0,0.9891891891891892,0.010810810810810811,0.0,Ruben Diaz Sr. RECAP,0.9891891891891892
79048,79048,100,138,3,1,0,142,141,1,0,0.971830985915493,0.02112676056338028,0.007042253521126761,0.0,0.9929577464788732,0.007042253521126761,0.0,Ruben Diaz Sr. RECAP,0.9929577464788732
79049,79049,100,95,1,0,0,96,96,0,0,0.9895833333333334,0.010416666666666666,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
79050,79050,100,121,5,1,0,127,126,1,0,0.952755905511811,0.03937007874015748,0.007874015748031496,0.0,0.9921259842519685,0.007874015748031496,0.0,Ruben Diaz Sr. RECAP,0.9921259842519685
79051,79051,100,207,4,5,0,216,211,5,0,0.9583333333333334,0.018518518518518517,0.023148148148148147,0.0,0.9768518518518519,0.023148148148148147,0.0,Ruben Diaz Sr. RECAP,0.9768518518518519
79052,79052,100,175,9,6,0,190,184,6,0,0.9210526315789473,0.04736842105263158,0.031578947368421054,0.0,0.968421052631579,0.031578947368421054,0.0,Ruben Diaz Sr. RECAP,0.968421052631579
79053,79053,100,135,4,1,0,140,139,1,0,0.9642857142857143,0.02857142857142857,0.007142857142857143,0.0,0.9928571428571429,0.007142857142857143,0.0,Ruben Diaz Sr. RECAP,0.9928571428571429
79054,79054,100,85,3,3,0,91,88,3,0,0.9340659340659341,0.03296703296703297,0.03296703296703297,0.0,0.967032967032967,0.03296703296703297,0.0,Ruben Diaz Sr. RECAP,0.967032967032967
79055,79055,100,32,1,5,2,40,33,5,2,0.8,0.025,0.125,0.05,0.825,0.125,0.05,Ruben Diaz Sr. RECAP,0.825
79056,79056,100,195,13,11,1,220,208,11,1,0.8863636363636364,0.05909090909090909,0.05,0.004545454545454545,0.9454545454545454,0.05,0.004545454545454545,Ruben Diaz Sr. RECAP,0.9454545454545454
79057,79057,100,244,6,14,1,265,250,14,1,0.9207547169811321,0.022641509433962263,0.052830188679245285,0.0037735849056603774,0.9433962264150944,0.052830188679245285,0.0037735849056603774,Ruben Diaz Sr. RECAP,0.9433962264150944
79058,79058,100,123,7,5,0,135,130,5,0,0.9111111111111111,0.05185185185185185,0.037037037037037035,0.0,0.9629629629629629,0.037037037037037035,0.0,Ruben Diaz Sr. RECAP,0.9629629629629629
79059,79059,100,114,10,7,0,131,124,7,0,0.8702290076335878,0.07633587786259542,0.05343511450381679,0.0,0.9465648854961832,0.05343511450381679,0.0,Ruben Diaz Sr. RECAP,0.9465648854961832
79060,79060,100,81,0,1,0,82,81,1,0,0.9878048780487805,0.0,0.012195121951219513,0.0,0.9878048780487805,0.012195121951219513,0.0,Ruben Diaz Sr. RECAP,0.9878048780487805
79061,79061,100,186,3,6,0,195,189,6,0,0.9538461538461539,0.015384615384615385,0.03076923076923077,0.0,0.9692307692307692,0.03076923076923077,0.0,Ruben Diaz Sr. RECAP,0.9692307692307692
79062,79062,100,115,3,5,0,123,118,5,0,0.9349593495934959,0.024390243902439025,0.04065040650406504,0.0,0.959349593495935,0.04065040650406504,0.0,Ruben Diaz Sr. RECAP,0.959349593495935
79063,79063,100,133,6,5,0,144,139,5,0,0.9236111111111112,0.041666666666666664,0.034722222222222224,0.0,0.9652777777777778,0.034722222222222224,0.0,Ruben Diaz Sr. RECAP,0.9652777777777778
79064,79064,100,74,0,2,0,76,74,2,0,0.9736842105263158,0.0,0.02631578947368421,0.0,0.9736842105263158,0.02631578947368421,0.0,Ruben Diaz Sr. RECAP,0.9736842105263158
79065,79065,100,126,1,2,0,129,127,2,0,0.9767441860465116,0.007751937984496124,0.015503875968992248,0.0,0.9844961240310077,0.015503875968992248,0.0,Ruben Diaz Sr. RECAP,0.9844961240310077
79066,79066,100,147,4,2,0,153,151,2,0,0.9607843137254902,0.026143790849673203,0.013071895424836602,0.0,0.9869281045751634,0.013071895424836602,0.0,Ruben Diaz Sr. RECAP,0.9869281045751634
79068,79068,100,304,4,15,0,323,308,15,0,0.9411764705882353,0.01238390092879257,0.04643962848297214,0.0,0.9535603715170279,0.04643962848297214,0.0,Ruben Diaz Sr. RECAP,0.9535603715170279
79069,79069,100,347,9,11,0,367,356,11,0,0.9455040871934605,0.02452316076294278,0.02997275204359673,0.0,0.9700272479564033,0.02997275204359673,0.0,Ruben Diaz Sr. RECAP,0.9700272479564033
79070,79070,100,321,4,17,0,342,325,17,0,0.9385964912280702,0.011695906432748537,0.049707602339181284,0.0,0.9502923976608187,0.049707602339181284,0.0,Ruben Diaz Sr. RECAP,0.9502923976608187
79071,79071,100,141,4,3,0,148,145,3,0,0.9527027027027027,0.02702702702702703,0.02027027027027027,0.0,0.9797297297297297,0.02027027027027027,0.0,Ruben Diaz Sr. RECAP,0.9797297297297297
79072,79072,100,144,6,6,0,156,150,6,0,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,0.0,Ruben Diaz Sr. RECAP,0.9615384615384616
79073,79073,100,103,3,8,0,114,106,8,0,0.9035087719298246,0.02631578947368421,0.07017543859649122,0.0,0.9298245614035088,0.07017543859649122,0.0,Ruben Diaz Sr. RECAP,0.9298245614035088
79075,79075,100,164,10,4,2,180,174,4,2,0.9111111111111111,0.05555555555555555,0.022222222222222223,0.011111111111111112,0.9666666666666667,0.022222222222222223,0.011111111111111112,Ruben Diaz Sr. RECAP,0.9666666666666667
79076,79076,100,113,11,8,0,132,124,8,0,0.8560606060606061,0.08333333333333333,0.06060606060606061,0.0,0.9393939393939394,0.06060606060606061,0.0,Ruben Diaz Sr. RECAP,0.9393939393939394
79078,79078,100,49,0,0,0,49,49,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
79079,79079,100,189,6,7,0,202,195,7,0,0.9356435643564357,0.0297029702970297,0.034653465346534656,0.0,0.9653465346534653,0.034653465346534656,0.0,Ruben Diaz Sr. RECAP,0.9653465346534653
79081,79081,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
82029,82029,100,20,2,1,0,23,22,1,0,0.8695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.9565217391304348,0.043478260869565216,0.0,Ruben Diaz Sr. RECAP,0.9565217391304348
82030,82030,100,121,26,13,0,160,147,13,0,0.75625,0.1625,0.08125,0.0,0.91875,0.08125,0.0,Ruben Diaz Sr. RECAP,0.91875
84036,84036,100,37,3,1,0,41,40,1,0,0.9024390243902439,0.07317073170731707,0.024390243902439025,0.0,0.975609756097561,0.024390243902439025,0.0,Ruben Diaz Sr. RECAP,0.975609756097561
84037,84037,100,127,3,0,1,131,130,0,1,0.9694656488549618,0.022900763358778626,0.0,0.007633587786259542,0.9923664122137404,0.0,0.007633587786259542,Ruben Diaz Sr. RECAP,0.9923664122137404
84038,84038,100,130,11,6,0,147,141,6,0,0.8843537414965986,0.07482993197278912,0.04081632653061224,0.0,0.9591836734693877,0.04081632653061224,0.0,Ruben Diaz Sr. RECAP,0.9591836734693877
84039,84039,100,162,8,6,1,177,170,6,1,0.9152542372881356,0.04519774011299435,0.03389830508474576,0.005649717514124294,0.96045197740113,0.03389830508474576,0.005649717514124294,Ruben Diaz Sr. RECAP,0.96045197740113
84048,84048,100,121,2,10,0,133,123,10,0,0.9097744360902256,0.015037593984962405,0.07518796992481203,0.0,0.924812030075188,0.07518796992481203,0.0,Ruben Diaz Sr. RECAP,0.924812030075188
84049,84049,100,44,3,4,0,51,47,4,0,0.8627450980392157,0.058823529411764705,0.0784313725490196,0.0,0.9215686274509803,0.0784313725490196,0.0,Ruben Diaz Sr. RECAP,0.9215686274509803
84050,84050,100,76,2,4,0,82,78,4,0,0.926829268292683,0.024390243902439025,0.04878048780487805,0.0,0.9512195121951219,0.04878048780487805,0.0,Ruben Diaz Sr. RECAP,0.9512195121951219
84051,84051,100,169,12,5,0,186,181,5,0,0.9086021505376344,0.06451612903225806,0.026881720430107527,0.0,0.9731182795698925,0.026881720430107527,0.0,Ruben Diaz Sr. RECAP,0.9731182795698925
84052,84052,100,153,7,7,0,167,160,7,0,0.9161676646706587,0.041916167664670656,0.041916167664670656,0.0,0.9580838323353293,0.041916167664670656,0.0,Ruben Diaz Sr. RECAP,0.9580838323353293
84053,84053,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
84074,84074,100,124,17,1,0,142,141,1,0,0.8732394366197183,0.11971830985915492,0.007042253521126761,0.0,0.9929577464788732,0.007042253521126761,0.0,Ruben Diaz Sr. RECAP,0.9929577464788732
84075,84075,100,141,4,2,0,147,145,2,0,0.9591836734693877,0.027210884353741496,0.013605442176870748,0.0,0.9863945578231292,0.013605442176870748,0.0,Ruben Diaz Sr. RECAP,0.9863945578231292
84078,84078,100,24,1,4,0,29,25,4,0,0.8275862068965517,0.034482758620689655,0.13793103448275862,0.0,0.8620689655172413,0.13793103448275862,0.0,Ruben Diaz Sr. RECAP,0.8620689655172413
84079,84079,100,1,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
84081,84053,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85013,85013,100,226,1,12,1,240,227,12,1,0.9416666666666667,0.004166666666666667,0.05,0.004166666666666667,0.9458333333333333,0.05,0.004166666666666667,Ruben Diaz Sr. RECAP,0.9458333333333333
85014,85014,100,78,2,3,0,83,80,3,0,0.9397590361445783,0.024096385542168676,0.03614457831325301,0.0,0.963855421686747,0.03614457831325301,0.0,Ruben Diaz Sr. RECAP,0.963855421686747
85015,85015,100,107,2,3,1,113,109,3,1,0.9469026548672567,0.017699115044247787,0.02654867256637168,0.008849557522123894,0.9646017699115044,0.02654867256637168,0.008849557522123894,Ruben Diaz Sr. RECAP,0.9646017699115044
85016,85016,100,76,0,2,0,78,76,2,0,0.9743589743589743,0.0,0.02564102564102564,0.0,0.9743589743589743,0.02564102564102564,0.0,Ruben Diaz Sr. RECAP,0.9743589743589743
85017,85017,100,131,3,2,0,136,134,2,0,0.9632352941176471,0.022058823529411766,0.014705882352941176,0.0,0.9852941176470589,0.014705882352941176,0.0,Ruben Diaz Sr. RECAP,0.9852941176470589
85018,85018,100,11,2,3,0,16,13,3,0,0.6875,0.125,0.1875,0.0,0.8125,0.1875,0.0,Ruben Diaz Sr. RECAP,0.8125
85019,85019,100,303,1,14,0,318,304,14,0,0.9528301886792453,0.0031446540880503146,0.0440251572327044,0.0,0.9559748427672956,0.0440251572327044,0.0,Ruben Diaz Sr. RECAP,0.9559748427672956
85020,85020,100,232,3,16,0,251,235,16,0,0.9243027888446215,0.01195219123505976,0.06374501992031872,0.0,0.9362549800796812,0.06374501992031872,0.0,Ruben Diaz Sr. RECAP,0.9362549800796812
85021,85021,100,193,3,13,0,209,196,13,0,0.9234449760765551,0.014354066985645933,0.06220095693779904,0.0,0.937799043062201,0.06220095693779904,0.0,Ruben Diaz Sr. RECAP,0.937799043062201
85022,85022,100,93,4,5,0,102,97,5,0,0.9117647058823529,0.0392156862745098,0.049019607843137254,0.0,0.9509803921568627,0.049019607843137254,0.0,Ruben Diaz Sr. RECAP,0.9509803921568627
85023,85023,100,96,1,0,0,97,97,0,0,0.9896907216494846,0.010309278350515464,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
85024,85024,100,213,1,13,0,227,214,13,0,0.9383259911894273,0.004405286343612335,0.05726872246696035,0.0,0.9427312775330396,0.05726872246696035,0.0,Ruben Diaz Sr. RECAP,0.9427312775330396
85025,85025,100,215,1,9,1,226,216,9,1,0.9513274336283186,0.004424778761061947,0.03982300884955752,0.004424778761061947,0.9557522123893806,0.03982300884955752,0.004424778761061947,Ruben Diaz Sr. RECAP,0.9557522123893806
85026,85026,100,147,5,14,1,167,152,14,1,0.8802395209580839,0.029940119760479042,0.08383233532934131,0.005988023952095809,0.9101796407185628,0.08383233532934131,0.005988023952095809,Ruben Diaz Sr. RECAP,0.9101796407185628
85027,85027,100,60,1,1,0,62,61,1,0,0.967741935483871,0.016129032258064516,0.016129032258064516,0.0,0.9838709677419355,0.016129032258064516,0.0,Ruben Diaz Sr. RECAP,0.9838709677419355
85029,85029,100,100,3,0,0,103,103,0,0,0.970873786407767,0.02912621359223301,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
85030,85030,100,134,6,3,0,143,140,3,0,0.9370629370629371,0.04195804195804196,0.02097902097902098,0.0,0.9790209790209791,0.02097902097902098,0.0,Ruben Diaz Sr. RECAP,0.9790209790209791
85031,85031,100,154,4,5,0,163,158,5,0,0.9447852760736196,0.024539877300613498,0.03067484662576687,0.0,0.9693251533742331,0.03067484662576687,0.0,Ruben Diaz Sr. RECAP,0.9693251533742331
85032,85032,100,173,9,10,0,192,182,10,0,0.9010416666666666,0.046875,0.052083333333333336,0.0,0.9479166666666666,0.052083333333333336,0.0,Ruben Diaz Sr. RECAP,0.9479166666666666
85033,85033,100,162,8,14,0,184,170,14,0,0.8804347826086957,0.043478260869565216,0.07608695652173914,0.0,0.9239130434782609,0.07608695652173914,0.0,Ruben Diaz Sr. RECAP,0.9239130434782609
85034,85034,100,148,9,5,0,162,157,5,0,0.9135802469135802,0.05555555555555555,0.030864197530864196,0.0,0.9691358024691358,0.030864197530864196,0.0,Ruben Diaz Sr. RECAP,0.9691358024691358
85036,85036,100,33,1,2,0,36,34,2,0,0.9166666666666666,0.027777777777777776,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.0,Ruben Diaz Sr. RECAP,0.9444444444444444
85039,85039,100,139,6,6,0,151,145,6,0,0.9205298013245033,0.039735099337748346,0.039735099337748346,0.0,0.9602649006622517,0.039735099337748346,0.0,Ruben Diaz Sr. RECAP,0.9602649006622517
85040,85040,100,55,4,6,0,65,59,6,0,0.8461538461538461,0.06153846153846154,0.09230769230769231,0.0,0.9076923076923077,0.09230769230769231,0.0,Ruben Diaz Sr. RECAP,0.9076923076923077
85041,85041,100,163,9,10,0,182,172,10,0,0.8956043956043956,0.04945054945054945,0.054945054945054944,0.0,0.945054945054945,0.054945054945054944,0.0,Ruben Diaz Sr. RECAP,0.945054945054945
85042,85042,100,132,5,5,0,142,137,5,0,0.9295774647887324,0.035211267605633804,0.035211267605633804,0.0,0.9647887323943662,0.035211267605633804,0.0,Ruben Diaz Sr. RECAP,0.9647887323943662
85043,85043,100,90,6,2,0,98,96,2,0,0.9183673469387755,0.061224489795918366,0.02040816326530612,0.0,0.9795918367346939,0.02040816326530612,0.0,Ruben Diaz Sr. RECAP,0.9795918367346939
85044,85044,100,140,3,5,0,148,143,5,0,0.9459459459459459,0.02027027027027027,0.033783783783783786,0.0,0.9662162162162162,0.033783783783783786,0.0,Ruben Diaz Sr. RECAP,0.9662162162162162
85045,85045,100,164,5,3,0,172,169,3,0,0.9534883720930233,0.029069767441860465,0.01744186046511628,0.0,0.9825581395348837,0.01744186046511628,0.0,Ruben Diaz Sr. RECAP,0.9825581395348837
85046,85046,100,205,8,4,0,217,213,4,0,0.9447004608294931,0.03686635944700461,0.018433179723502304,0.0,0.9815668202764977,0.018433179723502304,0.0,Ruben Diaz Sr. RECAP,0.9815668202764977
85047,85047,100,128,2,3,1,134,130,3,1,0.9552238805970149,0.014925373134328358,0.022388059701492536,0.007462686567164179,0.9701492537313433,0.022388059701492536,0.007462686567164179,Ruben Diaz Sr. RECAP,0.9701492537313433
85048,85048,100,128,6,7,0,141,134,7,0,0.9078014184397163,0.0425531914893617,0.04964539007092199,0.0,0.950354609929078,0.04964539007092199,0.0,Ruben Diaz Sr. RECAP,0.950354609929078
85049,85049,100,160,4,8,0,172,164,8,0,0.9302325581395349,0.023255813953488372,0.046511627906976744,0.0,0.9534883720930233,0.046511627906976744,0.0,Ruben Diaz Sr. RECAP,0.9534883720930233
85050,85050,100,173,7,10,1,191,180,10,1,0.9057591623036649,0.03664921465968586,0.05235602094240838,0.005235602094240838,0.9424083769633508,0.05235602094240838,0.005235602094240838,Ruben Diaz Sr. RECAP,0.9424083769633508
85051,85051,100,111,6,1,0,118,117,1,0,0.940677966101695,0.05084745762711865,0.00847457627118644,0.0,0.9915254237288136,0.00847457627118644,0.0,Ruben Diaz Sr. RECAP,0.9915254237288136
85052,85052,100,103,2,1,0,106,105,1,0,0.9716981132075472,0.018867924528301886,0.009433962264150943,0.0,0.9905660377358491,0.009433962264150943,0.0,Ruben Diaz Sr. RECAP,0.9905660377358491
85053,85053,100,128,8,16,0,152,136,16,0,0.8421052631578947,0.05263157894736842,0.10526315789473684,0.0,0.8947368421052632,0.10526315789473684,0.0,Ruben Diaz Sr. RECAP,0.8947368421052632
85054,85054,100,142,14,3,0,159,156,3,0,0.8930817610062893,0.0880503144654088,0.018867924528301886,0.0,0.9811320754716981,0.018867924528301886,0.0,Ruben Diaz Sr. RECAP,0.9811320754716981
85055,85055,100,146,7,3,0,156,153,3,0,0.9358974358974359,0.04487179487179487,0.019230769230769232,0.0,0.9807692307692307,0.019230769230769232,0.0,Ruben Diaz Sr. RECAP,0.9807692307692307
85056,85056,100,64,4,2,0,70,68,2,0,0.9142857142857143,0.05714285714285714,0.02857142857142857,0.0,0.9714285714285714,0.02857142857142857,0.0,Ruben Diaz Sr. RECAP,0.9714285714285714
85057,85057,100,85,6,0,0,91,91,0,0,0.9340659340659341,0.06593406593406594,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
85058,85058,100,142,5,4,0,151,147,4,0,0.9403973509933775,0.033112582781456956,0.026490066225165563,0.0,0.9735099337748344,0.026490066225165563,0.0,Ruben Diaz Sr. RECAP,0.9735099337748344
85059,85059,100,154,12,11,1,178,166,11,1,0.8651685393258427,0.06741573033707865,0.06179775280898876,0.0056179775280898875,0.9325842696629213,0.06179775280898876,0.0056179775280898875,Ruben Diaz Sr. RECAP,0.9325842696629213
85060,85060,100,206,3,11,0,220,209,11,0,0.9363636363636364,0.013636363636363636,0.05,0.0,0.95,0.05,0.0,Ruben Diaz Sr. RECAP,0.95
85061,85061,100,68,3,6,1,78,71,6,1,0.8717948717948718,0.038461538461538464,0.07692307692307693,0.01282051282051282,0.9102564102564102,0.07692307692307693,0.01282051282051282,Ruben Diaz Sr. RECAP,0.9102564102564102
