ED,Reported As,Reporting,Leroy R. Bates Sr. (Republican),Charles Barron (Democratic),Scattered,Leroy R. Bates Sr. (Conservative),Total Votes,Leroy R. Bates Sr. RECAP,Charles Barron RECAP,Scattered RECAP,p_Leroy R. Bates Sr. (Republican),p_Charles Barron (Democratic),p_Scattered,p_Leroy R. Bates Sr. (Conservative),p_Leroy R. Bates Sr. RECAP,p_Charles Barron RECAP,p_Scattered RECAP,winner,winner_p
60039,60039,100,1,143,0,1,145,2,143,0,0.006896551724137931,0.9862068965517241,0.0,0.006896551724137931,0.013793103448275862,0.9862068965517241,0.0,Charles Barron RECAP,0.9862068965517241
60040,60040,100,2,166,0,1,169,3,166,0,0.011834319526627219,0.9822485207100592,0.0,0.005917159763313609,0.01775147928994083,0.9822485207100592,0.0,Charles Barron RECAP,0.9822485207100592
60041,60041,100,6,217,0,1,224,7,217,0,0.026785714285714284,0.96875,0.0,0.004464285714285714,0.03125,0.96875,0.0,Charles Barron RECAP,0.96875
60042,60042,100,3,204,0,0,207,3,204,0,0.014492753623188406,0.9855072463768116,0.0,0.0,0.014492753623188406,0.9855072463768116,0.0,Charles Barron RECAP,0.9855072463768116
60043,60043,100,1,186,0,1,188,2,186,0,0.005319148936170213,0.9893617021276596,0.0,0.005319148936170213,0.010638297872340425,0.9893617021276596,0.0,Charles Barron RECAP,0.9893617021276596
60044,60044,100,2,117,0,3,122,5,117,0,0.01639344262295082,0.9590163934426229,0.0,0.02459016393442623,0.040983606557377046,0.9590163934426229,0.0,Charles Barron RECAP,0.9590163934426229
60045,60045,100,3,260,1,7,271,10,260,1,0.01107011070110701,0.959409594095941,0.0036900369003690036,0.025830258302583026,0.03690036900369004,0.959409594095941,0.0036900369003690036,Charles Barron RECAP,0.959409594095941
60046,60046,100,5,205,0,1,211,6,205,0,0.023696682464454975,0.9715639810426541,0.0,0.004739336492890996,0.02843601895734597,0.9715639810426541,0.0,Charles Barron RECAP,0.9715639810426541
60047,60047,100,3,203,0,1,207,4,203,0,0.014492753623188406,0.9806763285024155,0.0,0.004830917874396135,0.01932367149758454,0.9806763285024155,0.0,Charles Barron RECAP,0.9806763285024155
60048,60048,100,0,73,0,1,74,1,73,0,0.0,0.9864864864864865,0.0,0.013513513513513514,0.013513513513513514,0.9864864864864865,0.0,Charles Barron RECAP,0.9864864864864865
60049,60049,100,2,152,0,2,156,4,152,0,0.01282051282051282,0.9743589743589743,0.0,0.01282051282051282,0.02564102564102564,0.9743589743589743,0.0,Charles Barron RECAP,0.9743589743589743
60050,60050,100,2,60,0,0,62,2,60,0,0.03225806451612903,0.967741935483871,0.0,0.0,0.03225806451612903,0.967741935483871,0.0,Charles Barron RECAP,0.967741935483871
60051,60051,100,5,209,0,1,215,6,209,0,0.023255813953488372,0.9720930232558139,0.0,0.004651162790697674,0.027906976744186046,0.9720930232558139,0.0,Charles Barron RECAP,0.9720930232558139
60052,60052,100,5,105,0,3,113,8,105,0,0.04424778761061947,0.9292035398230089,0.0,0.02654867256637168,0.07079646017699115,0.9292035398230089,0.0,Charles Barron RECAP,0.9292035398230089
60053,60053,100,4,163,1,4,172,8,163,1,0.023255813953488372,0.9476744186046512,0.005813953488372093,0.023255813953488372,0.046511627906976744,0.9476744186046512,0.005813953488372093,Charles Barron RECAP,0.9476744186046512
60054,60054,100,5,190,0,4,199,9,190,0,0.02512562814070352,0.9547738693467337,0.0,0.020100502512562814,0.04522613065326633,0.9547738693467337,0.0,Charles Barron RECAP,0.9547738693467337
60055,60055,100,5,109,4,5,123,10,109,4,0.04065040650406504,0.8861788617886179,0.032520325203252036,0.04065040650406504,0.08130081300813008,0.8861788617886179,0.032520325203252036,Charles Barron RECAP,0.8861788617886179
60056,60056,100,5,173,3,2,183,7,173,3,0.0273224043715847,0.9453551912568307,0.01639344262295082,0.01092896174863388,0.03825136612021858,0.9453551912568307,0.01639344262295082,Charles Barron RECAP,0.9453551912568307
60057,60057,100,3,226,0,2,231,5,226,0,0.012987012987012988,0.9783549783549783,0.0,0.008658008658008658,0.021645021645021644,0.9783549783549783,0.0,Charles Barron RECAP,0.9783549783549783
60058,60058,100,1,133,1,2,137,3,133,1,0.0072992700729927005,0.9708029197080292,0.0072992700729927005,0.014598540145985401,0.021897810218978103,0.9708029197080292,0.0072992700729927005,Charles Barron RECAP,0.9708029197080292
60059,60059,100,1,109,0,2,112,3,109,0,0.008928571428571428,0.9732142857142857,0.0,0.017857142857142856,0.026785714285714284,0.9732142857142857,0.0,Charles Barron RECAP,0.9732142857142857
60060,60060,100,4,106,0,1,111,5,106,0,0.036036036036036036,0.954954954954955,0.0,0.009009009009009009,0.04504504504504504,0.954954954954955,0.0,Charles Barron RECAP,0.954954954954955
60061,60061,100,8,146,0,3,157,11,146,0,0.050955414012738856,0.9299363057324841,0.0,0.01910828025477707,0.07006369426751592,0.9299363057324841,0.0,Charles Barron RECAP,0.9299363057324841
60062,60062,100,16,209,0,7,232,23,209,0,0.06896551724137931,0.9008620689655172,0.0,0.03017241379310345,0.09913793103448276,0.9008620689655172,0.0,Charles Barron RECAP,0.9008620689655172
60063,60063,100,3,212,0,3,218,6,212,0,0.013761467889908258,0.9724770642201835,0.0,0.013761467889908258,0.027522935779816515,0.9724770642201835,0.0,Charles Barron RECAP,0.9724770642201835
60064,60064,100,4,210,1,5,220,9,210,1,0.01818181818181818,0.9545454545454546,0.004545454545454545,0.022727272727272728,0.04090909090909091,0.9545454545454546,0.004545454545454545,Charles Barron RECAP,0.9545454545454546
60065,60065,100,6,196,0,6,208,12,196,0,0.028846153846153848,0.9423076923076923,0.0,0.028846153846153848,0.057692307692307696,0.9423076923076923,0.0,Charles Barron RECAP,0.9423076923076923
60066,60066,100,3,91,1,2,97,5,91,1,0.030927835051546393,0.9381443298969072,0.010309278350515464,0.020618556701030927,0.05154639175257732,0.9381443298969072,0.010309278350515464,Charles Barron RECAP,0.9381443298969072
60067,60067,100,2,112,0,0,114,2,112,0,0.017543859649122806,0.9824561403508771,0.0,0.0,0.017543859649122806,0.9824561403508771,0.0,Charles Barron RECAP,0.9824561403508771
60068,60068,100,2,121,0,2,125,4,121,0,0.016,0.968,0.0,0.016,0.032,0.968,0.0,Charles Barron RECAP,0.968
60069,60069,100,2,39,0,1,42,3,39,0,0.047619047619047616,0.9285714285714286,0.0,0.023809523809523808,0.07142857142857142,0.9285714285714286,0.0,Charles Barron RECAP,0.9285714285714286
60070,60070,100,1,79,0,1,81,2,79,0,0.012345679012345678,0.9753086419753086,0.0,0.012345679012345678,0.024691358024691357,0.9753086419753086,0.0,Charles Barron RECAP,0.9753086419753086
60071,60071,100,2,141,0,2,145,4,141,0,0.013793103448275862,0.9724137931034482,0.0,0.013793103448275862,0.027586206896551724,0.9724137931034482,0.0,Charles Barron RECAP,0.9724137931034482
60072,60072,100,8,160,1,3,172,11,160,1,0.046511627906976744,0.9302325581395349,0.005813953488372093,0.01744186046511628,0.06395348837209303,0.9302325581395349,0.005813953488372093,Charles Barron RECAP,0.9302325581395349
60073,60073,100,0,124,0,2,126,2,124,0,0.0,0.9841269841269841,0.0,0.015873015873015872,0.015873015873015872,0.9841269841269841,0.0,Charles Barron RECAP,0.9841269841269841
60074,60074,100,92,222,0,11,325,103,222,0,0.28307692307692306,0.683076923076923,0.0,0.033846153846153845,0.3169230769230769,0.683076923076923,0.0,Charles Barron RECAP,0.683076923076923
60075,60075,100,19,231,1,5,256,24,231,1,0.07421875,0.90234375,0.00390625,0.01953125,0.09375,0.90234375,0.00390625,Charles Barron RECAP,0.90234375
60076,60076,100,17,144,0,9,170,26,144,0,0.1,0.8470588235294118,0.0,0.052941176470588235,0.15294117647058825,0.8470588235294118,0.0,Charles Barron RECAP,0.8470588235294118
60077,60077,100,15,156,0,5,176,20,156,0,0.08522727272727272,0.8863636363636364,0.0,0.028409090909090908,0.11363636363636363,0.8863636363636364,0.0,Charles Barron RECAP,0.8863636363636364
60078,60078,100,17,192,1,6,216,23,192,1,0.0787037037037037,0.8888888888888888,0.004629629629629629,0.027777777777777776,0.10648148148148148,0.8888888888888888,0.004629629629629629,Charles Barron RECAP,0.8888888888888888
60079,60079,100,6,134,0,2,142,8,134,0,0.04225352112676056,0.9436619718309859,0.0,0.014084507042253521,0.056338028169014086,0.9436619718309859,0.0,Charles Barron RECAP,0.9436619718309859
60080,60080,100,5,192,0,0,197,5,192,0,0.025380710659898477,0.9746192893401016,0.0,0.0,0.025380710659898477,0.9746192893401016,0.0,Charles Barron RECAP,0.9746192893401016
60081,60081,100,8,212,0,3,223,11,212,0,0.03587443946188341,0.9506726457399103,0.0,0.013452914798206279,0.04932735426008968,0.9506726457399103,0.0,Charles Barron RECAP,0.9506726457399103
60082,60082,100,19,323,1,6,349,25,323,1,0.054441260744985676,0.9255014326647565,0.0028653295128939827,0.017191977077363897,0.07163323782234957,0.9255014326647565,0.0028653295128939827,Charles Barron RECAP,0.9255014326647565
60083,60083,100,13,301,0,6,320,19,301,0,0.040625,0.940625,0.0,0.01875,0.059375,0.940625,0.0,Charles Barron RECAP,0.940625
60084,60084,100,3,94,0,2,99,5,94,0,0.030303030303030304,0.9494949494949495,0.0,0.020202020202020204,0.050505050505050504,0.9494949494949495,0.0,Charles Barron RECAP,0.9494949494949495
60085,60085,100,6,174,0,6,186,12,174,0,0.03225806451612903,0.9354838709677419,0.0,0.03225806451612903,0.06451612903225806,0.9354838709677419,0.0,Charles Barron RECAP,0.9354838709677419
60086,60086,100,2,82,0,3,87,5,82,0,0.022988505747126436,0.9425287356321839,0.0,0.034482758620689655,0.05747126436781609,0.9425287356321839,0.0,Charles Barron RECAP,0.9425287356321839
