ED,Reported As,Reporting,Diane J. Savino (Democratic),Diane J. Savino (Independence),Scattered,Total Votes,Diane J. Savino RECAP,Scattered RECAP,p_Diane J. Savino (Democratic),p_Diane J. Savino (Independence),p_Scattered,p_Diane J. Savino RECAP,p_Scattered RECAP,winner,winner_p
61029,61029,100,160,28,3,191,188,3,0.837696335078534,0.14659685863874344,0.015706806282722512,0.9842931937172775,0.015706806282722512,Diane J. Savino RECAP,0.9842931937172775
61030,61030,100,252,23,1,276,275,1,0.9130434782608695,0.08333333333333333,0.0036231884057971015,0.9963768115942029,0.0036231884057971015,Diane J. Savino RECAP,0.9963768115942029
61031,61031,100,201,16,1,218,217,1,0.9220183486238532,0.07339449541284404,0.0045871559633027525,0.9954128440366973,0.0045871559633027525,Diane J. Savino RECAP,0.9954128440366973
61032,61032,100,163,13,0,176,176,0,0.9261363636363636,0.07386363636363637,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61033,61033,100,147,10,0,157,157,0,0.9363057324840764,0.06369426751592357,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61049,61049,100,299,37,1,337,336,1,0.887240356083086,0.10979228486646884,0.002967359050445104,0.9970326409495549,0.002967359050445104,Diane J. Savino RECAP,0.9970326409495549
61050,61050,100,240,28,7,275,268,7,0.8727272727272727,0.10181818181818182,0.025454545454545455,0.9745454545454545,0.025454545454545455,Diane J. Savino RECAP,0.9745454545454545
61051,61051,100,209,34,0,243,243,0,0.8600823045267489,0.13991769547325103,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61052,61052,100,113,24,1,138,137,1,0.8188405797101449,0.17391304347826086,0.007246376811594203,0.9927536231884058,0.007246376811594203,Diane J. Savino RECAP,0.9927536231884058
61053,61053,100,285,11,0,296,296,0,0.9628378378378378,0.037162162162162164,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61054,61054,100,193,9,0,202,202,0,0.9554455445544554,0.04455445544554455,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61055,61055,100,265,17,2,284,282,2,0.9330985915492958,0.05985915492957746,0.007042253521126761,0.9929577464788732,0.007042253521126761,Diane J. Savino RECAP,0.9929577464788732
61056,61056,100,267,12,1,280,279,1,0.9535714285714286,0.04285714285714286,0.0035714285714285713,0.9964285714285714,0.0035714285714285713,Diane J. Savino RECAP,0.9964285714285714
61057,61057,100,251,28,1,280,279,1,0.8964285714285715,0.1,0.0035714285714285713,0.9964285714285714,0.0035714285714285713,Diane J. Savino RECAP,0.9964285714285714
61058,61058,100,346,9,0,355,355,0,0.9746478873239437,0.02535211267605634,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61059,61059,100,308,9,1,318,317,1,0.9685534591194969,0.02830188679245283,0.0031446540880503146,0.9968553459119497,0.0031446540880503146,Diane J. Savino RECAP,0.9968553459119497
61060,61060,100,195,15,1,211,210,1,0.9241706161137441,0.07109004739336493,0.004739336492890996,0.995260663507109,0.004739336492890996,Diane J. Savino RECAP,0.995260663507109
61061,61061,100,344,3,0,347,347,0,0.9913544668587896,0.008645533141210375,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
61063,61063,100,44,8,1,53,52,1,0.8301886792452831,0.1509433962264151,0.018867924528301886,0.9811320754716981,0.018867924528301886,Diane J. Savino RECAP,0.9811320754716981
61064,61064,100,107,11,3,121,118,3,0.8842975206611571,0.09090909090909091,0.024793388429752067,0.9752066115702479,0.024793388429752067,Diane J. Savino RECAP,0.9752066115702479
61065,61065,100,163,24,6,193,187,6,0.844559585492228,0.12435233160621761,0.031088082901554404,0.9689119170984456,0.031088082901554404,Diane J. Savino RECAP,0.9689119170984456
61066,61066,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
61067,61067,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
61068,61068,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
63010,63010,100,97,12,2,111,109,2,0.8738738738738738,0.10810810810810811,0.018018018018018018,0.9819819819819819,0.018018018018018018,Diane J. Savino RECAP,0.9819819819819819
63017,63017,100,59,13,1,73,72,1,0.8082191780821918,0.1780821917808219,0.0136986301369863,0.9863013698630136,0.0136986301369863,Diane J. Savino RECAP,0.9863013698630136
63037,63037,100,211,16,1,228,227,1,0.9254385964912281,0.07017543859649122,0.0043859649122807015,0.9956140350877193,0.0043859649122807015,Diane J. Savino RECAP,0.9956140350877193
63038,63038,100,239,22,5,266,261,5,0.8984962406015038,0.08270676691729323,0.018796992481203006,0.981203007518797,0.018796992481203006,Diane J. Savino RECAP,0.981203007518797
63039,63039,100,185,20,0,205,205,0,0.9024390243902439,0.0975609756097561,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
63040,63040,100,166,12,0,178,178,0,0.9325842696629213,0.06741573033707865,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
63041,63041,100,120,4,0,124,124,0,0.967741935483871,0.03225806451612903,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
63042,63042,100,229,8,0,237,237,0,0.9662447257383966,0.03375527426160337,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
63043,63043,100,232,10,2,244,242,2,0.9508196721311475,0.040983606557377046,0.00819672131147541,0.9918032786885246,0.00819672131147541,Diane J. Savino RECAP,0.9918032786885246
63044,63044,100,175,4,1,180,179,1,0.9722222222222222,0.022222222222222223,0.005555555555555556,0.9944444444444445,0.005555555555555556,Diane J. Savino RECAP,0.9944444444444445
63045,63045,100,180,3,2,185,183,2,0.972972972972973,0.016216216216216217,0.010810810810810811,0.9891891891891892,0.010810810810810811,Diane J. Savino RECAP,0.9891891891891892
63076,63076,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
63079,63079,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
64039,64039,100,128,31,0,159,159,0,0.8050314465408805,0.1949685534591195,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
64040,64040,100,161,20,0,181,181,0,0.8895027624309392,0.11049723756906077,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
64041,64041,100,151,26,4,181,177,4,0.8342541436464088,0.143646408839779,0.022099447513812154,0.9779005524861878,0.022099447513812154,Diane J. Savino RECAP,0.9779005524861878
64042,64042,100,131,30,6,167,161,6,0.7844311377245509,0.17964071856287425,0.03592814371257485,0.9640718562874252,0.03592814371257485,Diane J. Savino RECAP,0.9640718562874252
64043,64043,100,107,28,1,136,135,1,0.7867647058823529,0.20588235294117646,0.007352941176470588,0.9926470588235294,0.007352941176470588,Diane J. Savino RECAP,0.9926470588235294
64044,64044,100,163,32,2,197,195,2,0.8274111675126904,0.16243654822335024,0.01015228426395939,0.9898477157360406,0.01015228426395939,Diane J. Savino RECAP,0.9898477157360406
64045,64045,100,103,18,1,122,121,1,0.8442622950819673,0.14754098360655737,0.00819672131147541,0.9918032786885246,0.00819672131147541,Diane J. Savino RECAP,0.9918032786885246
64046,64046,100,95,21,4,120,116,4,0.7916666666666666,0.175,0.03333333333333333,0.9666666666666667,0.03333333333333333,Diane J. Savino RECAP,0.9666666666666667
64047,64047,100,104,34,3,141,138,3,0.7375886524822695,0.24113475177304963,0.02127659574468085,0.9787234042553191,0.02127659574468085,Diane J. Savino RECAP,0.9787234042553191
64049,64049,100,241,48,3,292,289,3,0.8253424657534246,0.1643835616438356,0.010273972602739725,0.9897260273972602,0.010273972602739725,Diane J. Savino RECAP,0.9897260273972602
64050,64050,100,198,35,6,239,233,6,0.8284518828451883,0.14644351464435146,0.02510460251046025,0.9748953974895398,0.02510460251046025,Diane J. Savino RECAP,0.9748953974895398
64051,64051,100,163,18,3,184,181,3,0.8858695652173914,0.09782608695652174,0.016304347826086956,0.9836956521739131,0.016304347826086956,Diane J. Savino RECAP,0.9836956521739131
64052,64052,100,183,22,3,208,205,3,0.8798076923076923,0.10576923076923077,0.014423076923076924,0.9855769230769231,0.014423076923076924,Diane J. Savino RECAP,0.9855769230769231
64053,64053,100,167,31,3,201,198,3,0.8308457711442786,0.15422885572139303,0.014925373134328358,0.9850746268656716,0.014925373134328358,Diane J. Savino RECAP,0.9850746268656716
64057,64054,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
64059,64059,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
64061,64059,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
