ED,Reported As,Reporting,Scattered,Andrew S. Borrok (Democratic),Total Votes,Scattered RECAP,Andrew S. Borrok RECAP,p_Scattered,p_Andrew S. Borrok (Democratic),p_Scattered RECAP,p_Andrew S. Borrok RECAP,winner,winner_p
45027,45027,100,1,89,90,1,89,0.011111111111111112,0.9888888888888889,0.011111111111111112,0.9888888888888889,Andrew S. Borrok RECAP,0.9888888888888889
45028,45028,100,0,69,69,0,69,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45029,45029,100,0,62,62,0,62,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45030,45030,100,1,131,132,1,131,0.007575757575757576,0.9924242424242424,0.007575757575757576,0.9924242424242424,Andrew S. Borrok RECAP,0.9924242424242424
45031,45031,100,0,73,73,0,73,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45032,45032,100,1,56,57,1,56,0.017543859649122806,0.9824561403508771,0.017543859649122806,0.9824561403508771,Andrew S. Borrok RECAP,0.9824561403508771
45033,45033,100,1,76,77,1,76,0.012987012987012988,0.987012987012987,0.012987012987012988,0.987012987012987,Andrew S. Borrok RECAP,0.987012987012987
45034,45034,100,2,93,95,2,93,0.021052631578947368,0.9789473684210527,0.021052631578947368,0.9789473684210527,Andrew S. Borrok RECAP,0.9789473684210527
45035,45035,100,1,74,75,1,74,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.9866666666666667,Andrew S. Borrok RECAP,0.9866666666666667
45036,45036,100,1,78,79,1,78,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.9873417721518988,Andrew S. Borrok RECAP,0.9873417721518988
45037,45037,100,1,75,76,1,75,0.013157894736842105,0.9868421052631579,0.013157894736842105,0.9868421052631579,Andrew S. Borrok RECAP,0.9868421052631579
45038,45038,100,1,62,63,1,62,0.015873015873015872,0.9841269841269841,0.015873015873015872,0.9841269841269841,Andrew S. Borrok RECAP,0.9841269841269841
45039,45039,100,0,4,4,0,4,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45040,45040,100,1,109,110,1,109,0.00909090909090909,0.990909090909091,0.00909090909090909,0.990909090909091,Andrew S. Borrok RECAP,0.990909090909091
45041,45041,100,1,37,38,1,37,0.02631578947368421,0.9736842105263158,0.02631578947368421,0.9736842105263158,Andrew S. Borrok RECAP,0.9736842105263158
45042,45042,100,1,100,101,1,100,0.009900990099009901,0.9900990099009901,0.009900990099009901,0.9900990099009901,Andrew S. Borrok RECAP,0.9900990099009901
45043,45043,100,2,127,129,2,127,0.015503875968992248,0.9844961240310077,0.015503875968992248,0.9844961240310077,Andrew S. Borrok RECAP,0.9844961240310077
45044,45044,100,0,31,31,0,31,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45045,45045,100,0,164,164,0,164,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45046,45046,100,0,188,188,0,188,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45047,45047,100,0,9,9,0,9,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45048,45048,100,0,189,189,0,189,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45049,45049,100,0,20,20,0,20,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45050,45050,100,0,118,118,0,118,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45051,45051,100,0,57,57,0,57,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45052,45052,100,0,20,20,0,20,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45053,45053,100,2,79,81,2,79,0.024691358024691357,0.9753086419753086,0.024691358024691357,0.9753086419753086,Andrew S. Borrok RECAP,0.9753086419753086
45054,45054,100,1,57,58,1,57,0.017241379310344827,0.9827586206896551,0.017241379310344827,0.9827586206896551,Andrew S. Borrok RECAP,0.9827586206896551
45055,45055,100,0,6,6,0,6,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45056,45056,100,0,64,64,0,64,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45057,45057,100,2,119,121,2,119,0.01652892561983471,0.9834710743801653,0.01652892561983471,0.9834710743801653,Andrew S. Borrok RECAP,0.9834710743801653
45058,45058,100,2,49,51,2,49,0.0392156862745098,0.9607843137254902,0.0392156862745098,0.9607843137254902,Andrew S. Borrok RECAP,0.9607843137254902
45059,45059,100,2,75,77,2,75,0.025974025974025976,0.974025974025974,0.025974025974025976,0.974025974025974,Andrew S. Borrok RECAP,0.974025974025974
45060,45060,100,1,75,76,1,75,0.013157894736842105,0.9868421052631579,0.013157894736842105,0.9868421052631579,Andrew S. Borrok RECAP,0.9868421052631579
45061,45061,100,0,41,41,0,41,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45062,45062,100,1,102,103,1,102,0.009708737864077669,0.9902912621359223,0.009708737864077669,0.9902912621359223,Andrew S. Borrok RECAP,0.9902912621359223
45063,45063,100,1,47,48,1,47,0.020833333333333332,0.9791666666666666,0.020833333333333332,0.9791666666666666,Andrew S. Borrok RECAP,0.9791666666666666
45064,45064,100,1,87,88,1,87,0.011363636363636364,0.9886363636363636,0.011363636363636364,0.9886363636363636,Andrew S. Borrok RECAP,0.9886363636363636
45065,45065,100,0,57,57,0,57,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45066,45066,100,1,87,88,1,87,0.011363636363636364,0.9886363636363636,0.011363636363636364,0.9886363636363636,Andrew S. Borrok RECAP,0.9886363636363636
45067,45067,100,0,50,50,0,50,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45068,45068,100,0,78,78,0,78,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45069,45069,100,3,98,101,3,98,0.0297029702970297,0.9702970297029703,0.0297029702970297,0.9702970297029703,Andrew S. Borrok RECAP,0.9702970297029703
45070,45070,100,2,94,96,2,94,0.020833333333333332,0.9791666666666666,0.020833333333333332,0.9791666666666666,Andrew S. Borrok RECAP,0.9791666666666666
45071,45071,100,2,77,79,2,77,0.02531645569620253,0.9746835443037974,0.02531645569620253,0.9746835443037974,Andrew S. Borrok RECAP,0.9746835443037974
45072,45072,100,1,55,56,1,55,0.017857142857142856,0.9821428571428571,0.017857142857142856,0.9821428571428571,Andrew S. Borrok RECAP,0.9821428571428571
45073,45073,100,0,56,56,0,56,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45074,45074,100,2,108,110,2,108,0.01818181818181818,0.9818181818181818,0.01818181818181818,0.9818181818181818,Andrew S. Borrok RECAP,0.9818181818181818
45075,45075,100,0,112,112,0,112,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46001,46001,100,0,93,93,0,93,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46002,46002,100,0,115,115,0,115,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46003,46003,100,1,40,41,1,40,0.024390243902439025,0.975609756097561,0.024390243902439025,0.975609756097561,Andrew S. Borrok RECAP,0.975609756097561
46004,46004,100,0,158,158,0,158,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46005,46005,100,0,154,154,0,154,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46006,46006,100,0,65,65,0,65,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46007,46007,100,0,160,160,0,160,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46008,46008,100,0,145,145,0,145,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46009,46009,100,0,125,125,0,125,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46010,46010,100,0,131,131,0,131,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46011,46011,100,0,188,188,0,188,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46012,46012,100,0,144,144,0,144,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46013,46013,100,0,109,109,0,109,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46014,46014,100,0,131,131,0,131,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46015,46015,100,0,117,117,0,117,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46016,46016,100,0,94,94,0,94,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46017,46017,100,1,68,69,1,68,0.014492753623188406,0.9855072463768116,0.014492753623188406,0.9855072463768116,Andrew S. Borrok RECAP,0.9855072463768116
46018,46018,100,0,84,84,0,84,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46019,46019,100,2,127,129,2,127,0.015503875968992248,0.9844961240310077,0.015503875968992248,0.9844961240310077,Andrew S. Borrok RECAP,0.9844961240310077
46020,46020,100,1,96,97,1,96,0.010309278350515464,0.9896907216494846,0.010309278350515464,0.9896907216494846,Andrew S. Borrok RECAP,0.9896907216494846
46021,46021,100,1,103,104,1,103,0.009615384615384616,0.9903846153846154,0.009615384615384616,0.9903846153846154,Andrew S. Borrok RECAP,0.9903846153846154
46022,46022,100,1,111,112,1,111,0.008928571428571428,0.9910714285714286,0.008928571428571428,0.9910714285714286,Andrew S. Borrok RECAP,0.9910714285714286
46023,46023,100,1,71,72,1,71,0.013888888888888888,0.9861111111111112,0.013888888888888888,0.9861111111111112,Andrew S. Borrok RECAP,0.9861111111111112
46024,46024,100,0,100,100,0,100,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46025,46025,100,0,114,114,0,114,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46026,46026,100,0,132,132,0,132,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46027,46027,100,0,102,102,0,102,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46028,46028,100,1,104,105,1,104,0.009523809523809525,0.9904761904761905,0.009523809523809525,0.9904761904761905,Andrew S. Borrok RECAP,0.9904761904761905
46029,46029,100,0,107,107,0,107,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46030,46030,100,1,97,98,1,97,0.01020408163265306,0.9897959183673469,0.01020408163265306,0.9897959183673469,Andrew S. Borrok RECAP,0.9897959183673469
46032,46032,100,0,58,58,0,58,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46033,46033,100,1,130,131,1,130,0.007633587786259542,0.9923664122137404,0.007633587786259542,0.9923664122137404,Andrew S. Borrok RECAP,0.9923664122137404
46037,46037,100,0,0,0,0,0,0,0,0,0,n/a,0
46038,46038,100,3,130,133,3,130,0.022556390977443608,0.9774436090225563,0.022556390977443608,0.9774436090225563,Andrew S. Borrok RECAP,0.9774436090225563
46039,46039,100,2,115,117,2,115,0.017094017094017096,0.9829059829059829,0.017094017094017096,0.9829059829059829,Andrew S. Borrok RECAP,0.9829059829059829
46040,46040,100,0,37,37,0,37,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46043,46043,100,0,97,97,0,97,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
46044,46044,100,1,95,96,1,95,0.010416666666666666,0.9895833333333334,0.010416666666666666,0.9895833333333334,Andrew S. Borrok RECAP,0.9895833333333334
46045,46045,100,3,96,99,3,96,0.030303030303030304,0.9696969696969697,0.030303030303030304,0.9696969696969697,Andrew S. Borrok RECAP,0.9696969696969697
46046,46046,100,5,55,60,5,55,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.9166666666666666,Andrew S. Borrok RECAP,0.9166666666666666
46073,46073,100,0,71,71,0,71,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47031,47031,100,0,101,101,0,101,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47032,47032,100,0,36,36,0,36,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47033,47033,100,0,48,48,0,48,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47034,47034,100,0,37,37,0,37,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47035,47035,100,0,1,1,0,1,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47041,47041,100,0,107,107,0,107,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47042,47042,100,1,25,26,1,25,0.038461538461538464,0.9615384615384616,0.038461538461538464,0.9615384615384616,Andrew S. Borrok RECAP,0.9615384615384616
47043,47043,100,0,62,62,0,62,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47044,47044,100,0,113,113,0,113,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
47045,47045,100,0,69,69,0,69,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
