ED,Reported As,Reporting,Margaret M. Markey (Democratic),Scattered,Total Votes,Margaret M. Markey RECAP,Scattered RECAP,p_Margaret M. Markey (Democratic),p_Scattered,p_Margaret M. Markey RECAP,p_Scattered RECAP,winner,winner_p
30045,30045,100,178,4,182,178,4,0.978021978021978,0.02197802197802198,0.978021978021978,0.02197802197802198,Margaret M. Markey RECAP,0.978021978021978
30046,30046,100,198,3,201,198,3,0.9850746268656716,0.014925373134328358,0.9850746268656716,0.014925373134328358,Margaret M. Markey RECAP,0.9850746268656716
30047,30047,100,104,0,104,104,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30048,30048,100,314,1,315,314,1,0.9968253968253968,0.0031746031746031746,0.9968253968253968,0.0031746031746031746,Margaret M. Markey RECAP,0.9968253968253968
30049,30049,100,268,4,272,268,4,0.9852941176470589,0.014705882352941176,0.9852941176470589,0.014705882352941176,Margaret M. Markey RECAP,0.9852941176470589
30050,30050,100,218,3,221,218,3,0.9864253393665159,0.013574660633484163,0.9864253393665159,0.013574660633484163,Margaret M. Markey RECAP,0.9864253393665159
30051,30051,100,199,2,201,199,2,0.9900497512437811,0.009950248756218905,0.9900497512437811,0.009950248756218905,Margaret M. Markey RECAP,0.9900497512437811
30052,30052,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Margaret M. Markey RECAP,0.9930555555555556
30053,30053,100,117,1,118,117,1,0.9915254237288136,0.00847457627118644,0.9915254237288136,0.00847457627118644,Margaret M. Markey RECAP,0.9915254237288136
30054,30054,100,22,0,22,22,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30055,30055,100,100,0,100,100,0,1.0,0.0,1.0,0.0,Margaret M. Markey RECAP,1.0
30056,30056,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Margaret M. Markey RECAP,0.9930555555555556
30057,30057,100,136,2,138,136,2,0.9855072463768116,0.014492753623188406,0.9855072463768116,0.014492753623188406,Margaret M. Markey RECAP,0.9855072463768116
30058,30058,100,145,1,146,145,1,0.9931506849315068,0.00684931506849315,0.9931506849315068,0.00684931506849315,Margaret M. Markey RECAP,0.9931506849315068
30059,30059,100,78,1,79,78,1,0.9873417721518988,0.012658227848101266,0.9873417721518988,0.012658227848101266,Margaret M. Markey RECAP,0.9873417721518988
30060,30060,100,103,3,106,103,3,0.9716981132075472,0.02830188679245283,0.9716981132075472,0.02830188679245283,Margaret M. Markey RECAP,0.9716981132075472
30061,30061,100,336,4,340,336,4,0.9882352941176471,0.011764705882352941,0.9882352941176471,0.011764705882352941,Margaret M. Markey RECAP,0.9882352941176471
30062,30062,100,74,4,78,74,4,0.9487179487179487,0.05128205128205128,0.9487179487179487,0.05128205128205128,Margaret M. Markey RECAP,0.9487179487179487
30064,30064,100,150,1,151,150,1,0.9933774834437086,0.006622516556291391,0.9933774834437086,0.006622516556291391,Margaret M. Markey RECAP,0.9933774834437086
30065,30065,100,269,3,272,269,3,0.9889705882352942,0.011029411764705883,0.9889705882352942,0.011029411764705883,Margaret M. Markey RECAP,0.9889705882352942
30066,30066,100,196,2,198,196,2,0.98989898989899,0.010101010101010102,0.98989898989899,0.010101010101010102,Margaret M. Markey RECAP,0.98989898989899
30067,30067,100,218,1,219,218,1,0.9954337899543378,0.0045662100456621,0.9954337899543378,0.0045662100456621,Margaret M. Markey RECAP,0.9954337899543378
30068,30068,100,107,2,109,107,2,0.981651376146789,0.01834862385321101,0.981651376146789,0.01834862385321101,Margaret M. Markey RECAP,0.981651376146789
30069,30069,100,172,1,173,172,1,0.9942196531791907,0.005780346820809248,0.9942196531791907,0.005780346820809248,Margaret M. Markey RECAP,0.9942196531791907
30070,30070,100,0,0,0,0,0,0,0,0,0,n/a,0
30071,30071,100,0,0,0,0,0,0,0,0,0,n/a,0
30072,30024,100,0,0,0,0,0,0,0,0,0,n/a,0
