ED,Reported As,Reporting,Helene E. Weinstein (Working Families),Scattered,Helene E. Weinstein (Democratic),Sura Yusim (Conservative),Total Votes,Helene E. Weinstein RECAP,Scattered RECAP,Sura Yusim RECAP,p_Helene E. Weinstein (Working Families),p_Scattered,p_Helene E. Weinstein (Democratic),p_Sura Yusim (Conservative),p_Helene E. Weinstein RECAP,p_Scattered RECAP,p_Sura Yusim RECAP,winner,winner_p
41047,41047,100,10,0,271,5,286,281,0,5,0.03496503496503497,0.0,0.9475524475524476,0.017482517482517484,0.9825174825174825,0.0,0.017482517482517484,Helene E. Weinstein RECAP,0.9825174825174825
41048,41048,100,5,0,94,2,101,99,0,2,0.04950495049504951,0.0,0.9306930693069307,0.019801980198019802,0.9801980198019802,0.0,0.019801980198019802,Helene E. Weinstein RECAP,0.9801980198019802
41049,41049,100,9,0,249,2,260,258,0,2,0.03461538461538462,0.0,0.9576923076923077,0.007692307692307693,0.9923076923076923,0.0,0.007692307692307693,Helene E. Weinstein RECAP,0.9923076923076923
41050,41050,100,19,1,196,31,247,215,1,31,0.07692307692307693,0.004048582995951417,0.7935222672064778,0.12550607287449392,0.8704453441295547,0.004048582995951417,0.12550607287449392,Helene E. Weinstein RECAP,0.8704453441295547
41051,41051,100,4,0,49,2,55,53,0,2,0.07272727272727272,0.0,0.8909090909090909,0.03636363636363636,0.9636363636363636,0.0,0.03636363636363636,Helene E. Weinstein RECAP,0.9636363636363636
41052,41052,100,12,1,66,15,94,78,1,15,0.1276595744680851,0.010638297872340425,0.7021276595744681,0.1595744680851064,0.8297872340425532,0.010638297872340425,0.1595744680851064,Helene E. Weinstein RECAP,0.8297872340425532
41053,41053,100,5,0,162,8,175,167,0,8,0.02857142857142857,0.0,0.9257142857142857,0.045714285714285714,0.9542857142857143,0.0,0.045714285714285714,Helene E. Weinstein RECAP,0.9542857142857143
41054,41054,100,10,0,175,5,190,185,0,5,0.05263157894736842,0.0,0.9210526315789473,0.02631578947368421,0.9736842105263158,0.0,0.02631578947368421,Helene E. Weinstein RECAP,0.9736842105263158
41055,41055,100,12,0,215,3,230,227,0,3,0.05217391304347826,0.0,0.9347826086956522,0.013043478260869565,0.9869565217391304,0.0,0.013043478260869565,Helene E. Weinstein RECAP,0.9869565217391304
41056,41056,100,10,0,77,22,109,87,0,22,0.09174311926605505,0.0,0.7064220183486238,0.2018348623853211,0.7981651376146789,0.0,0.2018348623853211,Helene E. Weinstein RECAP,0.7981651376146789
41057,41057,100,8,0,94,26,128,102,0,26,0.0625,0.0,0.734375,0.203125,0.796875,0.0,0.203125,Helene E. Weinstein RECAP,0.796875
41058,41058,100,34,0,192,37,263,226,0,37,0.12927756653992395,0.0,0.7300380228136882,0.14068441064638784,0.8593155893536122,0.0,0.14068441064638784,Helene E. Weinstein RECAP,0.8593155893536122
41059,41059,100,24,0,143,43,210,167,0,43,0.11428571428571428,0.0,0.680952380952381,0.20476190476190476,0.7952380952380952,0.0,0.20476190476190476,Helene E. Weinstein RECAP,0.7952380952380952
41060,41060,100,14,1,107,16,138,121,1,16,0.10144927536231885,0.007246376811594203,0.7753623188405797,0.11594202898550725,0.8768115942028986,0.007246376811594203,0.11594202898550725,Helene E. Weinstein RECAP,0.8768115942028986
41061,41061,100,11,1,68,13,93,79,1,13,0.11827956989247312,0.010752688172043012,0.7311827956989247,0.13978494623655913,0.8494623655913979,0.010752688172043012,0.13978494623655913,Helene E. Weinstein RECAP,0.8494623655913979
41062,41062,100,15,1,75,23,114,90,1,23,0.13157894736842105,0.008771929824561403,0.6578947368421053,0.20175438596491227,0.7894736842105263,0.008771929824561403,0.20175438596491227,Helene E. Weinstein RECAP,0.7894736842105263
41063,41063,100,8,1,129,29,167,137,1,29,0.04790419161676647,0.005988023952095809,0.7724550898203593,0.17365269461077845,0.8203592814371258,0.005988023952095809,0.17365269461077845,Helene E. Weinstein RECAP,0.8203592814371258
41064,41064,100,30,0,258,49,337,288,0,49,0.08902077151335312,0.0,0.7655786350148368,0.14540059347181009,0.8545994065281899,0.0,0.14540059347181009,Helene E. Weinstein RECAP,0.8545994065281899
41065,41065,100,3,0,38,4,45,41,0,4,0.06666666666666667,0.0,0.8444444444444444,0.08888888888888889,0.9111111111111111,0.0,0.08888888888888889,Helene E. Weinstein RECAP,0.9111111111111111
41066,41066,100,4,0,134,4,142,138,0,4,0.028169014084507043,0.0,0.9436619718309859,0.028169014084507043,0.971830985915493,0.0,0.028169014084507043,Helene E. Weinstein RECAP,0.971830985915493
41067,41067,100,2,0,112,4,118,114,0,4,0.01694915254237288,0.0,0.9491525423728814,0.03389830508474576,0.9661016949152542,0.0,0.03389830508474576,Helene E. Weinstein RECAP,0.9661016949152542
41068,41068,100,13,0,120,9,142,133,0,9,0.09154929577464789,0.0,0.8450704225352113,0.06338028169014084,0.9366197183098591,0.0,0.06338028169014084,Helene E. Weinstein RECAP,0.9366197183098591
41069,41069,100,5,0,115,1,121,120,0,1,0.04132231404958678,0.0,0.9504132231404959,0.008264462809917356,0.9917355371900827,0.0,0.008264462809917356,Helene E. Weinstein RECAP,0.9917355371900827
41070,41070,100,17,0,121,38,176,138,0,38,0.09659090909090909,0.0,0.6875,0.2159090909090909,0.7840909090909091,0.0,0.2159090909090909,Helene E. Weinstein RECAP,0.7840909090909091
41071,41071,100,22,1,155,43,221,177,1,43,0.09954751131221719,0.004524886877828055,0.7013574660633484,0.19457013574660634,0.8009049773755657,0.004524886877828055,0.19457013574660634,Helene E. Weinstein RECAP,0.8009049773755657
41072,41072,100,21,0,133,35,189,154,0,35,0.1111111111111111,0.0,0.7037037037037037,0.18518518518518517,0.8148148148148148,0.0,0.18518518518518517,Helene E. Weinstein RECAP,0.8148148148148148
41073,41073,100,19,0,191,28,238,210,0,28,0.07983193277310924,0.0,0.8025210084033614,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,Helene E. Weinstein RECAP,0.8823529411764706
41074,41074,100,13,0,144,23,180,157,0,23,0.07222222222222222,0.0,0.8,0.12777777777777777,0.8722222222222222,0.0,0.12777777777777777,Helene E. Weinstein RECAP,0.8722222222222222
41075,41075,100,9,1,105,27,142,114,1,27,0.06338028169014084,0.007042253521126761,0.7394366197183099,0.19014084507042253,0.8028169014084507,0.007042253521126761,0.19014084507042253,Helene E. Weinstein RECAP,0.8028169014084507
41076,41076,100,16,0,101,25,142,117,0,25,0.11267605633802817,0.0,0.7112676056338029,0.176056338028169,0.823943661971831,0.0,0.176056338028169,Helene E. Weinstein RECAP,0.823943661971831
41077,41077,100,13,0,95,16,124,108,0,16,0.10483870967741936,0.0,0.7661290322580645,0.12903225806451613,0.8709677419354839,0.0,0.12903225806451613,Helene E. Weinstein RECAP,0.8709677419354839
41078,41078,100,10,0,62,25,97,72,0,25,0.10309278350515463,0.0,0.6391752577319587,0.25773195876288657,0.7422680412371134,0.0,0.25773195876288657,Helene E. Weinstein RECAP,0.7422680412371134
41079,41079,100,14,2,101,37,154,115,2,37,0.09090909090909091,0.012987012987012988,0.6558441558441559,0.24025974025974026,0.7467532467532467,0.012987012987012988,0.24025974025974026,Helene E. Weinstein RECAP,0.7467532467532467
41080,41080,100,1,0,11,3,15,12,0,3,0.06666666666666667,0.0,0.7333333333333333,0.2,0.8,0.0,0.2,Helene E. Weinstein RECAP,0.8
41081,41081,100,19,1,131,27,178,150,1,27,0.10674157303370786,0.0056179775280898875,0.7359550561797753,0.15168539325842698,0.8426966292134831,0.0056179775280898875,0.15168539325842698,Helene E. Weinstein RECAP,0.8426966292134831
41082,41082,100,25,4,113,40,182,138,4,40,0.13736263736263737,0.02197802197802198,0.6208791208791209,0.21978021978021978,0.7582417582417582,0.02197802197802198,0.21978021978021978,Helene E. Weinstein RECAP,0.7582417582417582
41083,41083,100,16,0,146,21,183,162,0,21,0.08743169398907104,0.0,0.7978142076502732,0.11475409836065574,0.8852459016393442,0.0,0.11475409836065574,Helene E. Weinstein RECAP,0.8852459016393442
41084,41084,100,17,0,190,65,272,207,0,65,0.0625,0.0,0.6985294117647058,0.23897058823529413,0.7610294117647058,0.0,0.23897058823529413,Helene E. Weinstein RECAP,0.7610294117647058
41085,41085,100,10,0,96,11,117,106,0,11,0.08547008547008547,0.0,0.8205128205128205,0.09401709401709402,0.905982905982906,0.0,0.09401709401709402,Helene E. Weinstein RECAP,0.905982905982906
41086,41086,100,0,0,13,3,16,13,0,3,0.0,0.0,0.8125,0.1875,0.8125,0.0,0.1875,Helene E. Weinstein RECAP,0.8125
41087,41087,100,17,1,86,24,128,103,1,24,0.1328125,0.0078125,0.671875,0.1875,0.8046875,0.0078125,0.1875,Helene E. Weinstein RECAP,0.8046875
41088,41088,100,10,0,76,43,129,86,0,43,0.07751937984496124,0.0,0.5891472868217055,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,Helene E. Weinstein RECAP,0.6666666666666666
41089,41089,100,15,0,69,19,103,84,0,19,0.14563106796116504,0.0,0.6699029126213593,0.18446601941747573,0.8155339805825242,0.0,0.18446601941747573,Helene E. Weinstein RECAP,0.8155339805825242
41090,41090,100,3,0,26,8,37,29,0,8,0.08108108108108109,0.0,0.7027027027027027,0.21621621621621623,0.7837837837837838,0.0,0.21621621621621623,Helene E. Weinstein RECAP,0.7837837837837838
41091,41091,100,9,0,71,7,87,80,0,7,0.10344827586206896,0.0,0.8160919540229885,0.08045977011494253,0.9195402298850575,0.0,0.08045977011494253,Helene E. Weinstein RECAP,0.9195402298850575
41092,41092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41093,41090,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
