ED,Reported As,Reporting,Latrice Monique Walker (Democratic),Lori A. Boozer (Working Families),Berneda Jackson (Republican),Scattered,Total Votes,Latrice Monique Walker RECAP,Lori A. Boozer RECAP,Berneda Jackson RECAP,Scattered RECAP,p_Latrice Monique Walker (Democratic),p_Lori A. Boozer (Working Families),p_Berneda Jackson (Republican),p_Scattered,p_Latrice Monique Walker RECAP,p_Lori A. Boozer RECAP,p_Berneda Jackson RECAP,p_Scattered RECAP,winner,winner_p
55053,55053,100,45,2,0,0,47,45,2,0,0,0.9574468085106383,0.0425531914893617,0.0,0.0,0.9574468085106383,0.0425531914893617,0.0,0.0,Latrice Monique Walker RECAP,0.9574468085106383
55054,55052,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55055,55055,100,144,10,5,0,159,144,10,5,0,0.9056603773584906,0.06289308176100629,0.031446540880503145,0.0,0.9056603773584906,0.06289308176100629,0.031446540880503145,0.0,Latrice Monique Walker RECAP,0.9056603773584906
55056,55056,100,16,1,0,0,17,16,1,0,0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,Latrice Monique Walker RECAP,0.9411764705882353
55057,55057,100,127,7,5,0,139,127,7,5,0,0.9136690647482014,0.050359712230215826,0.03597122302158273,0.0,0.9136690647482014,0.050359712230215826,0.03597122302158273,0.0,Latrice Monique Walker RECAP,0.9136690647482014
55058,55058,100,62,0,2,0,64,62,0,2,0,0.96875,0.0,0.03125,0.0,0.96875,0.0,0.03125,0.0,Latrice Monique Walker RECAP,0.96875
55059,55059,100,120,7,3,0,130,120,7,3,0,0.9230769230769231,0.05384615384615385,0.023076923076923078,0.0,0.9230769230769231,0.05384615384615385,0.023076923076923078,0.0,Latrice Monique Walker RECAP,0.9230769230769231
55060,55060,100,37,1,0,0,38,37,1,0,0,0.9736842105263158,0.02631578947368421,0.0,0.0,0.9736842105263158,0.02631578947368421,0.0,0.0,Latrice Monique Walker RECAP,0.9736842105263158
55061,55061,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55062,55062,100,148,2,1,0,151,148,2,1,0,0.9801324503311258,0.013245033112582781,0.006622516556291391,0.0,0.9801324503311258,0.013245033112582781,0.006622516556291391,0.0,Latrice Monique Walker RECAP,0.9801324503311258
55063,55063,100,60,6,0,0,66,60,6,0,0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,Latrice Monique Walker RECAP,0.9090909090909091
55064,55064,100,157,7,5,0,169,157,7,5,0,0.9289940828402367,0.04142011834319527,0.029585798816568046,0.0,0.9289940828402367,0.04142011834319527,0.029585798816568046,0.0,Latrice Monique Walker RECAP,0.9289940828402367
