ED,Reported As,Reporting,Scattered,Leroy G. Comrie Jr. (Democratic),Leroy G. Comrie Jr. (Working Families),Total Votes,Scattered RECAP,Leroy G. Comrie Jr. RECAP,p_Scattered,p_Leroy G. Comrie Jr. (Democratic),p_Leroy G. Comrie Jr. (Working Families),p_Scattered RECAP,p_Leroy G. Comrie Jr. RECAP,winner,winner_p
24008,24008,100,0,39,4,43,0,43,0.0,0.9069767441860465,0.09302325581395349,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24009,24009,100,0,5,0,5,0,5,0.0,1.0,0.0,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24013,24013,100,1,161,10,172,1,171,0.005813953488372093,0.936046511627907,0.05813953488372093,0.005813953488372093,0.9941860465116279,Leroy G. Comrie Jr. RECAP,0.9941860465116279
24014,24014,100,0,123,14,137,0,137,0.0,0.8978102189781022,0.10218978102189781,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24027,24027,100,5,245,9,259,5,254,0.019305019305019305,0.9459459459459459,0.03474903474903475,0.019305019305019305,0.9806949806949807,Leroy G. Comrie Jr. RECAP,0.9806949806949807
24029,24029,100,1,309,17,327,1,326,0.0030581039755351682,0.944954128440367,0.05198776758409786,0.0030581039755351682,0.9969418960244648,Leroy G. Comrie Jr. RECAP,0.9969418960244648
24030,24030,100,0,273,26,299,0,299,0.0,0.9130434782608695,0.08695652173913043,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24031,24031,100,0,106,6,112,0,112,0.0,0.9464285714285714,0.05357142857142857,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24037,24037,100,2,169,12,183,2,181,0.01092896174863388,0.9234972677595629,0.06557377049180328,0.01092896174863388,0.9890710382513661,Leroy G. Comrie Jr. RECAP,0.9890710382513661
24039,24039,100,0,22,0,22,0,22,0.0,1.0,0.0,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24040,24040,100,1,196,22,219,1,218,0.0045662100456621,0.8949771689497716,0.1004566210045662,0.0045662100456621,0.9954337899543378,Leroy G. Comrie Jr. RECAP,0.9954337899543378
24041,24041,100,1,34,3,38,1,37,0.02631578947368421,0.8947368421052632,0.07894736842105263,0.02631578947368421,0.9736842105263158,Leroy G. Comrie Jr. RECAP,0.9736842105263158
24043,24043,100,0,207,11,218,0,218,0.0,0.9495412844036697,0.05045871559633028,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24044,24044,100,0,96,8,104,0,104,0.0,0.9230769230769231,0.07692307692307693,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24045,24045,100,2,93,20,115,2,113,0.017391304347826087,0.808695652173913,0.17391304347826086,0.017391304347826087,0.9826086956521739,Leroy G. Comrie Jr. RECAP,0.9826086956521739
24046,24046,100,2,105,12,119,2,117,0.01680672268907563,0.8823529411764706,0.10084033613445378,0.01680672268907563,0.9831932773109243,Leroy G. Comrie Jr. RECAP,0.9831932773109243
24047,24047,100,0,113,13,126,0,126,0.0,0.8968253968253969,0.10317460317460317,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24048,24048,100,1,44,0,45,1,44,0.022222222222222223,0.9777777777777777,0.0,0.022222222222222223,0.9777777777777777,Leroy G. Comrie Jr. RECAP,0.9777777777777777
24049,24049,100,4,221,32,257,4,253,0.01556420233463035,0.8599221789883269,0.1245136186770428,0.01556420233463035,0.9844357976653697,Leroy G. Comrie Jr. RECAP,0.9844357976653697
24056,24056,100,0,12,1,13,0,13,0.0,0.9230769230769231,0.07692307692307693,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24058,24058,100,0,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
