ED,Reported As,Reporting,Eliot L. Engel (Working Families),Eliot L. Engel (Democratic),Scattered,Total Votes,Eliot L. Engel RECAP,Scattered RECAP,p_Eliot L. Engel (Working Families),p_Eliot L. Engel (Democratic),p_Scattered,p_Eliot L. Engel RECAP,p_Scattered RECAP,winner,winner_p
83016,83016,100,7,201,0,208,208,0,0.03365384615384615,0.9663461538461539,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83017,83017,100,2,177,0,179,179,0,0.0111731843575419,0.9888268156424581,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83018,83018,100,5,188,0,193,193,0,0.025906735751295335,0.9740932642487047,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83019,83019,100,4,150,0,154,154,0,0.025974025974025976,0.974025974025974,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83020,83020,100,1,127,0,128,128,0,0.0078125,0.9921875,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83021,83021,100,0,186,2,188,186,2,0.0,0.9893617021276596,0.010638297872340425,0.9893617021276596,0.010638297872340425,Eliot L. Engel RECAP,0.9893617021276596
83022,83022,100,1,156,0,157,157,0,0.006369426751592357,0.9936305732484076,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83023,83023,100,2,128,0,130,130,0,0.015384615384615385,0.9846153846153847,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83024,83024,100,1,83,0,84,84,0,0.011904761904761904,0.9880952380952381,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83025,83025,100,8,137,0,145,145,0,0.05517241379310345,0.9448275862068966,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83026,83026,100,2,94,0,96,96,0,0.020833333333333332,0.9791666666666666,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83027,83027,100,8,212,0,220,220,0,0.03636363636363636,0.9636363636363636,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83028,83028,100,16,264,0,280,280,0,0.05714285714285714,0.9428571428571428,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83029,83029,100,2,124,0,126,126,0,0.015873015873015872,0.9841269841269841,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83030,83030,100,6,172,0,178,178,0,0.033707865168539325,0.9662921348314607,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83031,83031,100,9,227,0,236,236,0,0.038135593220338986,0.961864406779661,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83032,83032,100,6,173,0,179,179,0,0.0335195530726257,0.9664804469273743,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83033,83033,100,3,241,0,244,244,0,0.012295081967213115,0.9877049180327869,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83034,83034,100,5,181,2,188,186,2,0.026595744680851064,0.9627659574468085,0.010638297872340425,0.9893617021276596,0.010638297872340425,Eliot L. Engel RECAP,0.9893617021276596
83035,83035,100,5,126,0,131,131,0,0.03816793893129771,0.9618320610687023,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83036,83036,100,3,103,0,106,106,0,0.02830188679245283,0.9716981132075472,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83037,83037,100,3,131,0,134,134,0,0.022388059701492536,0.9776119402985075,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83038,83038,100,7,137,1,145,144,1,0.04827586206896552,0.9448275862068966,0.006896551724137931,0.993103448275862,0.006896551724137931,Eliot L. Engel RECAP,0.993103448275862
83039,83039,100,2,133,0,135,135,0,0.014814814814814815,0.9851851851851852,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83040,83040,100,3,155,0,158,158,0,0.0189873417721519,0.9810126582278481,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83041,83041,100,5,159,1,165,164,1,0.030303030303030304,0.9636363636363636,0.006060606060606061,0.9939393939393939,0.006060606060606061,Eliot L. Engel RECAP,0.9939393939393939
83042,83042,100,4,169,1,174,173,1,0.022988505747126436,0.9712643678160919,0.005747126436781609,0.9942528735632183,0.005747126436781609,Eliot L. Engel RECAP,0.9942528735632183
83043,83043,100,4,159,0,163,163,0,0.024539877300613498,0.9754601226993865,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83044,83044,100,2,167,0,169,169,0,0.011834319526627219,0.9881656804733728,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83045,83045,100,2,176,0,178,178,0,0.011235955056179775,0.9887640449438202,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83046,83046,100,12,179,0,191,191,0,0.06282722513089005,0.93717277486911,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83047,83047,100,8,139,1,148,147,1,0.05405405405405406,0.9391891891891891,0.006756756756756757,0.9932432432432432,0.006756756756756757,Eliot L. Engel RECAP,0.9932432432432432
83048,83048,100,5,151,0,156,156,0,0.03205128205128205,0.967948717948718,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83049,83049,100,1,123,2,126,124,2,0.007936507936507936,0.9761904761904762,0.015873015873015872,0.9841269841269841,0.015873015873015872,Eliot L. Engel RECAP,0.9841269841269841
83050,83050,100,9,169,0,178,178,0,0.05056179775280899,0.949438202247191,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83051,83051,100,5,176,0,181,181,0,0.027624309392265192,0.9723756906077348,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83052,83052,100,10,179,0,189,189,0,0.05291005291005291,0.9470899470899471,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83053,83053,100,1,144,0,145,145,0,0.006896551724137931,0.993103448275862,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83054,83054,100,2,114,0,116,116,0,0.017241379310344827,0.9827586206896551,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83055,83055,100,3,203,1,207,206,1,0.014492753623188406,0.9806763285024155,0.004830917874396135,0.9951690821256038,0.004830917874396135,Eliot L. Engel RECAP,0.9951690821256038
83056,83056,100,3,169,0,172,172,0,0.01744186046511628,0.9825581395348837,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83057,83057,100,4,189,0,193,193,0,0.02072538860103627,0.9792746113989638,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
