ED,Reported As,Reporting,Charles B. Rangel (Democratic),Charles B. Rangel (Working Families),Scattered,Daniel Vila Rivera (Green),Total Votes,Charles B. Rangel RECAP,Scattered RECAP,Daniel Vila Rivera RECAP,p_Charles B. Rangel (Democratic),p_Charles B. Rangel (Working Families),p_Scattered,p_Daniel Vila Rivera (Green),p_Charles B. Rangel RECAP,p_Scattered RECAP,p_Daniel Vila Rivera RECAP,winner,winner_p
68055,68055,100,85,5,0,31,121,90,0,31,0.7024793388429752,0.04132231404958678,0.0,0.256198347107438,0.743801652892562,0.0,0.256198347107438,Charles B. Rangel RECAP,0.743801652892562
68056,68056,100,116,14,0,18,148,130,0,18,0.7837837837837838,0.0945945945945946,0.0,0.12162162162162163,0.8783783783783784,0.0,0.12162162162162163,Charles B. Rangel RECAP,0.8783783783783784
68057,68057,100,181,16,0,24,221,197,0,24,0.8190045248868778,0.07239819004524888,0.0,0.1085972850678733,0.8914027149321267,0.0,0.1085972850678733,Charles B. Rangel RECAP,0.8914027149321267
68058,68058,100,109,5,0,8,122,114,0,8,0.8934426229508197,0.040983606557377046,0.0,0.06557377049180328,0.9344262295081968,0.0,0.06557377049180328,Charles B. Rangel RECAP,0.9344262295081968
68059,68059,100,155,6,0,14,175,161,0,14,0.8857142857142857,0.03428571428571429,0.0,0.08,0.92,0.0,0.08,Charles B. Rangel RECAP,0.92
68060,68060,100,156,11,1,11,179,167,1,11,0.8715083798882681,0.061452513966480445,0.00558659217877095,0.061452513966480445,0.9329608938547486,0.00558659217877095,0.061452513966480445,Charles B. Rangel RECAP,0.9329608938547486
68061,68061,100,148,7,0,7,162,155,0,7,0.9135802469135802,0.043209876543209874,0.0,0.043209876543209874,0.9567901234567902,0.0,0.043209876543209874,Charles B. Rangel RECAP,0.9567901234567902
68062,68062,100,93,6,1,12,112,99,1,12,0.8303571428571429,0.05357142857142857,0.008928571428571428,0.10714285714285714,0.8839285714285714,0.008928571428571428,0.10714285714285714,Charles B. Rangel RECAP,0.8839285714285714
68063,68063,100,168,5,0,8,181,173,0,8,0.9281767955801105,0.027624309392265192,0.0,0.04419889502762431,0.9558011049723757,0.0,0.04419889502762431,Charles B. Rangel RECAP,0.9558011049723757
68064,68064,100,90,2,0,3,95,92,0,3,0.9473684210526315,0.021052631578947368,0.0,0.031578947368421054,0.968421052631579,0.0,0.031578947368421054,Charles B. Rangel RECAP,0.968421052631579
68065,68065,100,83,3,0,4,90,86,0,4,0.9222222222222223,0.03333333333333333,0.0,0.044444444444444446,0.9555555555555556,0.0,0.044444444444444446,Charles B. Rangel RECAP,0.9555555555555556
68066,68066,100,147,8,0,11,166,155,0,11,0.8855421686746988,0.04819277108433735,0.0,0.06626506024096386,0.9337349397590361,0.0,0.06626506024096386,Charles B. Rangel RECAP,0.9337349397590361
68067,68067,100,70,6,0,7,83,76,0,7,0.8433734939759037,0.07228915662650602,0.0,0.08433734939759036,0.9156626506024096,0.0,0.08433734939759036,Charles B. Rangel RECAP,0.9156626506024096
68068,68068,100,90,2,0,4,96,92,0,4,0.9375,0.020833333333333332,0.0,0.041666666666666664,0.9583333333333334,0.0,0.041666666666666664,Charles B. Rangel RECAP,0.9583333333333334
68069,68069,100,117,3,0,5,125,120,0,5,0.936,0.024,0.0,0.04,0.96,0.0,0.04,Charles B. Rangel RECAP,0.96
68070,68070,100,65,5,0,4,74,70,0,4,0.8783783783783784,0.06756756756756757,0.0,0.05405405405405406,0.9459459459459459,0.0,0.05405405405405406,Charles B. Rangel RECAP,0.9459459459459459
68071,68071,100,86,17,0,27,130,103,0,27,0.6615384615384615,0.13076923076923078,0.0,0.2076923076923077,0.7923076923076923,0.0,0.2076923076923077,Charles B. Rangel RECAP,0.7923076923076923
68072,68072,100,46,5,1,12,64,51,1,12,0.71875,0.078125,0.015625,0.1875,0.796875,0.015625,0.1875,Charles B. Rangel RECAP,0.796875
68073,68073,100,91,12,0,22,125,103,0,22,0.728,0.096,0.0,0.176,0.824,0.0,0.176,Charles B. Rangel RECAP,0.824
68074,68074,100,128,13,0,30,171,141,0,30,0.7485380116959064,0.07602339181286549,0.0,0.17543859649122806,0.8245614035087719,0.0,0.17543859649122806,Charles B. Rangel RECAP,0.8245614035087719
68075,68075,100,126,11,3,43,183,137,3,43,0.6885245901639344,0.060109289617486336,0.01639344262295082,0.23497267759562843,0.7486338797814208,0.01639344262295082,0.23497267759562843,Charles B. Rangel RECAP,0.7486338797814208
68076,68076,100,101,11,1,23,136,112,1,23,0.7426470588235294,0.08088235294117647,0.007352941176470588,0.16911764705882354,0.8235294117647058,0.007352941176470588,0.16911764705882354,Charles B. Rangel RECAP,0.8235294117647058
68077,68077,100,63,9,1,17,90,72,1,17,0.7,0.1,0.011111111111111112,0.18888888888888888,0.8,0.011111111111111112,0.18888888888888888,Charles B. Rangel RECAP,0.8
68078,68078,100,173,21,3,42,239,194,3,42,0.7238493723849372,0.08786610878661087,0.012552301255230125,0.17573221757322174,0.8117154811715481,0.012552301255230125,0.17573221757322174,Charles B. Rangel RECAP,0.8117154811715481
68079,68079,100,92,10,0,11,113,102,0,11,0.8141592920353983,0.08849557522123894,0.0,0.09734513274336283,0.9026548672566371,0.0,0.09734513274336283,Charles B. Rangel RECAP,0.9026548672566371
68080,68080,100,172,31,1,65,269,203,1,65,0.6394052044609665,0.11524163568773234,0.0037174721189591076,0.241635687732342,0.7546468401486989,0.0037174721189591076,0.241635687732342,Charles B. Rangel RECAP,0.7546468401486989
68081,68081,100,35,5,0,14,54,40,0,14,0.6481481481481481,0.09259259259259259,0.0,0.25925925925925924,0.7407407407407407,0.0,0.25925925925925924,Charles B. Rangel RECAP,0.7407407407407407
68082,68082,100,212,17,1,29,259,229,1,29,0.8185328185328186,0.06563706563706563,0.003861003861003861,0.11196911196911197,0.8841698841698842,0.003861003861003861,0.11196911196911197,Charles B. Rangel RECAP,0.8841698841698842
68083,68083,100,187,15,1,36,239,202,1,36,0.7824267782426778,0.06276150627615062,0.0041841004184100415,0.1506276150627615,0.8451882845188284,0.0041841004184100415,0.1506276150627615,Charles B. Rangel RECAP,0.8451882845188284
68084,68084,100,164,8,1,12,185,172,1,12,0.8864864864864865,0.043243243243243246,0.005405405405405406,0.06486486486486487,0.9297297297297298,0.005405405405405406,0.06486486486486487,Charles B. Rangel RECAP,0.9297297297297298
68085,68085,100,205,8,0,6,219,213,0,6,0.9360730593607306,0.0365296803652968,0.0,0.0273972602739726,0.9726027397260274,0.0,0.0273972602739726,Charles B. Rangel RECAP,0.9726027397260274
68086,68086,100,35,3,0,3,41,38,0,3,0.8536585365853658,0.07317073170731707,0.0,0.07317073170731707,0.926829268292683,0.0,0.07317073170731707,Charles B. Rangel RECAP,0.926829268292683
68087,68087,100,212,10,0,14,236,222,0,14,0.8983050847457628,0.0423728813559322,0.0,0.059322033898305086,0.940677966101695,0.0,0.059322033898305086,Charles B. Rangel RECAP,0.940677966101695
68088,68088,100,103,6,2,6,117,109,2,6,0.8803418803418803,0.05128205128205128,0.017094017094017096,0.05128205128205128,0.9316239316239316,0.017094017094017096,0.05128205128205128,Charles B. Rangel RECAP,0.9316239316239316
68089,68089,100,207,9,0,14,230,216,0,14,0.9,0.0391304347826087,0.0,0.06086956521739131,0.9391304347826087,0.0,0.06086956521739131,Charles B. Rangel RECAP,0.9391304347826087
68090,68090,100,113,5,0,7,125,118,0,7,0.904,0.04,0.0,0.056,0.944,0.0,0.056,Charles B. Rangel RECAP,0.944
68091,68091,100,71,1,0,6,78,72,0,6,0.9102564102564102,0.01282051282051282,0.0,0.07692307692307693,0.9230769230769231,0.0,0.07692307692307693,Charles B. Rangel RECAP,0.9230769230769231
68092,68092,100,102,4,0,7,113,106,0,7,0.9026548672566371,0.035398230088495575,0.0,0.061946902654867256,0.9380530973451328,0.0,0.061946902654867256,Charles B. Rangel RECAP,0.9380530973451328
68093,68093,100,181,7,0,9,197,188,0,9,0.9187817258883249,0.03553299492385787,0.0,0.04568527918781726,0.9543147208121827,0.0,0.04568527918781726,Charles B. Rangel RECAP,0.9543147208121827
68095,68095,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68096,68096,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68097,68097,100,66,1,0,11,78,67,0,11,0.8461538461538461,0.01282051282051282,0.0,0.14102564102564102,0.8589743589743589,0.0,0.14102564102564102,Charles B. Rangel RECAP,0.8589743589743589
68098,68098,100,88,1,0,11,100,89,0,11,0.88,0.01,0.0,0.11,0.89,0.0,0.11,Charles B. Rangel RECAP,0.89
68099,68099,100,67,4,0,7,78,71,0,7,0.8589743589743589,0.05128205128205128,0.0,0.08974358974358974,0.9102564102564102,0.0,0.08974358974358974,Charles B. Rangel RECAP,0.9102564102564102
68100,68100,100,125,8,0,6,139,133,0,6,0.8992805755395683,0.05755395683453238,0.0,0.04316546762589928,0.9568345323741008,0.0,0.04316546762589928,Charles B. Rangel RECAP,0.9568345323741008
68101,68101,100,83,7,1,13,104,90,1,13,0.7980769230769231,0.0673076923076923,0.009615384615384616,0.125,0.8653846153846154,0.009615384615384616,0.125,Charles B. Rangel RECAP,0.8653846153846154
68200,68200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68202,68202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68203,68203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68204,68204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68206,68206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
68207,68207,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
69053,69053,100,128,4,0,7,139,132,0,7,0.920863309352518,0.02877697841726619,0.0,0.050359712230215826,0.9496402877697842,0.0,0.050359712230215826,Charles B. Rangel RECAP,0.9496402877697842
69054,69054,100,140,13,1,41,195,153,1,41,0.717948717948718,0.06666666666666667,0.005128205128205128,0.21025641025641026,0.7846153846153846,0.005128205128205128,0.21025641025641026,Charles B. Rangel RECAP,0.7846153846153846
69055,69055,100,186,22,0,53,261,208,0,53,0.7126436781609196,0.0842911877394636,0.0,0.20306513409961685,0.7969348659003831,0.0,0.20306513409961685,Charles B. Rangel RECAP,0.7969348659003831
69056,69056,100,117,2,0,8,127,119,0,8,0.9212598425196851,0.015748031496062992,0.0,0.06299212598425197,0.937007874015748,0.0,0.06299212598425197,Charles B. Rangel RECAP,0.937007874015748
69057,69057,100,195,11,1,16,223,206,1,16,0.874439461883408,0.04932735426008968,0.004484304932735426,0.07174887892376682,0.9237668161434978,0.004484304932735426,0.07174887892376682,Charles B. Rangel RECAP,0.9237668161434978
69067,69067,100,86,4,1,18,109,90,1,18,0.7889908256880734,0.03669724770642202,0.009174311926605505,0.1651376146788991,0.8256880733944955,0.009174311926605505,0.1651376146788991,Charles B. Rangel RECAP,0.8256880733944955
69068,69068,100,152,16,0,38,206,168,0,38,0.7378640776699029,0.07766990291262135,0.0,0.18446601941747573,0.8155339805825242,0.0,0.18446601941747573,Charles B. Rangel RECAP,0.8155339805825242
69069,69069,100,178,52,1,93,324,230,1,93,0.5493827160493827,0.16049382716049382,0.0030864197530864196,0.28703703703703703,0.7098765432098766,0.0030864197530864196,0.28703703703703703,Charles B. Rangel RECAP,0.7098765432098766
69070,69070,100,67,17,0,19,103,84,0,19,0.6504854368932039,0.1650485436893204,0.0,0.18446601941747573,0.8155339805825242,0.0,0.18446601941747573,Charles B. Rangel RECAP,0.8155339805825242
69074,69074,100,142,15,0,24,181,157,0,24,0.7845303867403315,0.08287292817679558,0.0,0.13259668508287292,0.8674033149171271,0.0,0.13259668508287292,Charles B. Rangel RECAP,0.8674033149171271
69075,69075,100,148,20,1,42,211,168,1,42,0.7014218009478673,0.0947867298578199,0.004739336492890996,0.1990521327014218,0.7962085308056872,0.004739336492890996,0.1990521327014218,Charles B. Rangel RECAP,0.7962085308056872
69076,69076,100,134,11,0,28,173,145,0,28,0.7745664739884393,0.06358381502890173,0.0,0.16184971098265896,0.838150289017341,0.0,0.16184971098265896,Charles B. Rangel RECAP,0.838150289017341
69080,69080,100,134,9,0,31,174,143,0,31,0.7701149425287356,0.05172413793103448,0.0,0.1781609195402299,0.8218390804597702,0.0,0.1781609195402299,Charles B. Rangel RECAP,0.8218390804597702
69081,69081,100,191,32,1,56,280,223,1,56,0.6821428571428572,0.11428571428571428,0.0035714285714285713,0.2,0.7964285714285714,0.0035714285714285713,0.2,Charles B. Rangel RECAP,0.7964285714285714
69082,69082,100,97,15,0,36,148,112,0,36,0.6554054054054054,0.10135135135135136,0.0,0.24324324324324326,0.7567567567567568,0.0,0.24324324324324326,Charles B. Rangel RECAP,0.7567567567567568
69083,69083,100,268,23,1,32,324,291,1,32,0.8271604938271605,0.07098765432098765,0.0030864197530864196,0.09876543209876543,0.8981481481481481,0.0030864197530864196,0.09876543209876543,Charles B. Rangel RECAP,0.8981481481481481
69098,69098,100,138,38,1,40,217,176,1,40,0.6359447004608295,0.17511520737327188,0.004608294930875576,0.18433179723502305,0.8110599078341014,0.004608294930875576,0.18433179723502305,Charles B. Rangel RECAP,0.8110599078341014
69099,69099,100,229,99,0,108,436,328,0,108,0.5252293577981652,0.22706422018348624,0.0,0.24770642201834864,0.7522935779816514,0.0,0.24770642201834864,Charles B. Rangel RECAP,0.7522935779816514
69100,69100,100,189,26,1,33,249,215,1,33,0.7590361445783133,0.10441767068273092,0.004016064257028112,0.13253012048192772,0.8634538152610441,0.004016064257028112,0.13253012048192772,Charles B. Rangel RECAP,0.8634538152610441
69101,69101,100,212,11,0,12,235,223,0,12,0.902127659574468,0.04680851063829787,0.0,0.05106382978723404,0.948936170212766,0.0,0.05106382978723404,Charles B. Rangel RECAP,0.948936170212766
69102,69102,100,154,6,0,10,170,160,0,10,0.9058823529411765,0.03529411764705882,0.0,0.058823529411764705,0.9411764705882353,0.0,0.058823529411764705,Charles B. Rangel RECAP,0.9411764705882353
69103,69103,100,174,8,2,6,190,182,2,6,0.9157894736842105,0.042105263157894736,0.010526315789473684,0.031578947368421054,0.9578947368421052,0.010526315789473684,0.031578947368421054,Charles B. Rangel RECAP,0.9578947368421052
69200,69200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
70001,70001,100,181,23,1,46,251,204,1,46,0.7211155378486056,0.09163346613545817,0.00398406374501992,0.18326693227091634,0.8127490039840638,0.00398406374501992,0.18326693227091634,Charles B. Rangel RECAP,0.8127490039840638
70002,70002,100,127,15,1,27,170,142,1,27,0.7470588235294118,0.08823529411764706,0.0058823529411764705,0.1588235294117647,0.8352941176470589,0.0058823529411764705,0.1588235294117647,Charles B. Rangel RECAP,0.8352941176470589
70003,70003,100,201,12,2,36,251,213,2,36,0.8007968127490039,0.04780876494023904,0.00796812749003984,0.14342629482071714,0.848605577689243,0.00796812749003984,0.14342629482071714,Charles B. Rangel RECAP,0.848605577689243
70004,70004,100,179,19,1,23,222,198,1,23,0.8063063063063063,0.08558558558558559,0.0045045045045045045,0.1036036036036036,0.8918918918918919,0.0045045045045045045,0.1036036036036036,Charles B. Rangel RECAP,0.8918918918918919
70005,70005,100,220,25,0,68,313,245,0,68,0.7028753993610224,0.07987220447284345,0.0,0.21725239616613418,0.7827476038338658,0.0,0.21725239616613418,Charles B. Rangel RECAP,0.7827476038338658
70006,70006,100,107,19,3,33,162,126,3,33,0.6604938271604939,0.11728395061728394,0.018518518518518517,0.2037037037037037,0.7777777777777778,0.018518518518518517,0.2037037037037037,Charles B. Rangel RECAP,0.7777777777777778
70007,70007,100,145,14,1,43,203,159,1,43,0.7142857142857143,0.06896551724137931,0.0049261083743842365,0.21182266009852216,0.7832512315270936,0.0049261083743842365,0.21182266009852216,Charles B. Rangel RECAP,0.7832512315270936
70008,70008,100,160,17,0,27,204,177,0,27,0.7843137254901961,0.08333333333333333,0.0,0.1323529411764706,0.8676470588235294,0.0,0.1323529411764706,Charles B. Rangel RECAP,0.8676470588235294
70009,70009,100,254,31,0,66,351,285,0,66,0.7236467236467237,0.08831908831908832,0.0,0.18803418803418803,0.811965811965812,0.0,0.18803418803418803,Charles B. Rangel RECAP,0.811965811965812
70010,70010,100,244,21,3,34,302,265,3,34,0.8079470198675497,0.0695364238410596,0.009933774834437087,0.11258278145695365,0.8774834437086093,0.009933774834437087,0.11258278145695365,Charles B. Rangel RECAP,0.8774834437086093
70011,70011,100,203,21,2,38,264,224,2,38,0.7689393939393939,0.07954545454545454,0.007575757575757576,0.14393939393939395,0.8484848484848485,0.007575757575757576,0.14393939393939395,Charles B. Rangel RECAP,0.8484848484848485
70012,70012,100,158,21,2,37,218,179,2,37,0.7247706422018348,0.0963302752293578,0.009174311926605505,0.16972477064220184,0.8211009174311926,0.009174311926605505,0.16972477064220184,Charles B. Rangel RECAP,0.8211009174311926
70013,70013,100,123,8,0,14,145,131,0,14,0.8482758620689655,0.05517241379310345,0.0,0.09655172413793103,0.903448275862069,0.0,0.09655172413793103,Charles B. Rangel RECAP,0.903448275862069
70014,70014,100,135,12,3,38,188,147,3,38,0.7180851063829787,0.06382978723404255,0.015957446808510637,0.20212765957446807,0.7819148936170213,0.015957446808510637,0.20212765957446807,Charles B. Rangel RECAP,0.7819148936170213
70015,70015,100,157,7,0,34,198,164,0,34,0.7929292929292929,0.03535353535353535,0.0,0.1717171717171717,0.8282828282828283,0.0,0.1717171717171717,Charles B. Rangel RECAP,0.8282828282828283
70016,70016,100,217,14,0,37,268,231,0,37,0.8097014925373134,0.05223880597014925,0.0,0.13805970149253732,0.8619402985074627,0.0,0.13805970149253732,Charles B. Rangel RECAP,0.8619402985074627
70017,70017,100,153,12,1,28,194,165,1,28,0.788659793814433,0.061855670103092786,0.005154639175257732,0.14432989690721648,0.8505154639175257,0.005154639175257732,0.14432989690721648,Charles B. Rangel RECAP,0.8505154639175257
70018,70018,100,84,12,1,26,123,96,1,26,0.6829268292682927,0.0975609756097561,0.008130081300813009,0.21138211382113822,0.7804878048780488,0.008130081300813009,0.21138211382113822,Charles B. Rangel RECAP,0.7804878048780488
70019,70019,100,223,30,3,69,325,253,3,69,0.6861538461538461,0.09230769230769231,0.009230769230769232,0.2123076923076923,0.7784615384615384,0.009230769230769232,0.2123076923076923,Charles B. Rangel RECAP,0.7784615384615384
70020,70020,100,237,19,2,41,299,256,2,41,0.7926421404682275,0.06354515050167224,0.006688963210702341,0.13712374581939799,0.8561872909698997,0.006688963210702341,0.13712374581939799,Charles B. Rangel RECAP,0.8561872909698997
70021,70021,100,170,34,0,41,245,204,0,41,0.6938775510204082,0.13877551020408163,0.0,0.1673469387755102,0.8326530612244898,0.0,0.1673469387755102,Charles B. Rangel RECAP,0.8326530612244898
70022,70022,100,168,19,0,50,237,187,0,50,0.7088607594936709,0.08016877637130802,0.0,0.2109704641350211,0.7890295358649789,0.0,0.2109704641350211,Charles B. Rangel RECAP,0.7890295358649789
70023,70023,100,199,16,0,24,239,215,0,24,0.8326359832635983,0.06694560669456066,0.0,0.100418410041841,0.899581589958159,0.0,0.100418410041841,Charles B. Rangel RECAP,0.899581589958159
