ED,Reported As,Reporting,Jeffrion L. Aubry (Democratic),Scattered,Total Votes,Jeffrion L. Aubry RECAP,Scattered RECAP,p_Jeffrion L. Aubry (Democratic),p_Scattered,p_Jeffrion L. Aubry RECAP,p_Scattered RECAP,winner,winner_p
35051,35051,100,190,1,191,190,1,0.9947643979057592,0.005235602094240838,0.9947643979057592,0.005235602094240838,Jeffrion L. Aubry RECAP,0.9947643979057592
35052,35052,100,260,0,260,260,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35053,35053,100,251,0,251,251,0,1.0,0.0,1.0,0.0,Jeffrion L. Aubry RECAP,1.0
35054,35054,100,0,0,0,0,0,0,0,0,0,n/a,0
35055,35055,100,0,0,0,0,0,0,0,0,0,n/a,0
35056,35056,100,0,0,0,0,0,0,0,0,0,n/a,0
35057,35035,100,0,0,0,0,0,0,0,0,0,n/a,0
35058,35035,100,0,0,0,0,0,0,0,0,0,n/a,0
35059,35059,100,0,0,0,0,0,0,0,0,0,n/a,0
35060,35056,100,0,0,0,0,0,0,0,0,0,n/a,0
35061,35061,100,0,0,0,0,0,0,0,0,0,n/a,0
35062,35055,100,0,0,0,0,0,0,0,0,0,n/a,0
