ED,Reported As,Reporting,Barbara Santander (Conservative),Daniel Zuger (Green),Janelle M. King (Republican),Scattered,Marcos A. Crespo (Democratic),Total Votes,Barbara Santander RECAP,Daniel Zuger RECAP,Janelle M. King RECAP,Scattered RECAP,Marcos A. Crespo RECAP,p_Barbara Santander (Conservative),p_Daniel Zuger (Green),p_Janelle M. King (Republican),p_Scattered,p_Marcos A. Crespo (Democratic),p_Barbara Santander RECAP,p_Daniel Zuger RECAP,p_Janelle M. King RECAP,p_Scattered RECAP,p_Marcos A. Crespo RECAP,winner,winner_p
85037,85037,100,1,1,3,11,207,223,1,1,3,11,207,0.004484304932735426,0.004484304932735426,0.013452914798206279,0.04932735426008968,0.9282511210762332,0.004484304932735426,0.004484304932735426,0.013452914798206279,0.04932735426008968,0.9282511210762332,Marcos A. Crespo RECAP,0.9282511210762332
85038,85038,100,0,2,4,0,74,80,0,2,4,0,74,0.0,0.025,0.05,0.0,0.925,0.0,0.025,0.05,0.0,0.925,Marcos A. Crespo RECAP,0.925
85039,85039,100,2,1,5,0,141,149,2,1,5,0,141,0.013422818791946308,0.006711409395973154,0.03355704697986577,0.0,0.9463087248322147,0.013422818791946308,0.006711409395973154,0.03355704697986577,0.0,0.9463087248322147,Marcos A. Crespo RECAP,0.9463087248322147
85040,85040,100,4,1,3,0,59,67,4,1,3,0,59,0.05970149253731343,0.014925373134328358,0.04477611940298507,0.0,0.8805970149253731,0.05970149253731343,0.014925373134328358,0.04477611940298507,0.0,0.8805970149253731,Marcos A. Crespo RECAP,0.8805970149253731
85041,85041,100,6,1,9,0,166,182,6,1,9,0,166,0.03296703296703297,0.005494505494505495,0.04945054945054945,0.0,0.9120879120879121,0.03296703296703297,0.005494505494505495,0.04945054945054945,0.0,0.9120879120879121,Marcos A. Crespo RECAP,0.9120879120879121
85042,85042,100,4,1,3,0,133,141,4,1,3,0,133,0.028368794326241134,0.0070921985815602835,0.02127659574468085,0.0,0.9432624113475178,0.028368794326241134,0.0070921985815602835,0.02127659574468085,0.0,0.9432624113475178,Marcos A. Crespo RECAP,0.9432624113475178
85043,85043,100,8,0,6,0,89,103,8,0,6,0,89,0.07766990291262135,0.0,0.05825242718446602,0.0,0.8640776699029126,0.07766990291262135,0.0,0.05825242718446602,0.0,0.8640776699029126,Marcos A. Crespo RECAP,0.8640776699029126
85044,85044,100,3,0,7,0,136,146,3,0,7,0,136,0.02054794520547945,0.0,0.04794520547945205,0.0,0.9315068493150684,0.02054794520547945,0.0,0.04794520547945205,0.0,0.9315068493150684,Marcos A. Crespo RECAP,0.9315068493150684
85045,85045,100,1,1,5,0,162,169,1,1,5,0,162,0.005917159763313609,0.005917159763313609,0.029585798816568046,0.0,0.9585798816568047,0.005917159763313609,0.005917159763313609,0.029585798816568046,0.0,0.9585798816568047,Marcos A. Crespo RECAP,0.9585798816568047
85046,85046,100,3,2,8,0,194,207,3,2,8,0,194,0.014492753623188406,0.00966183574879227,0.03864734299516908,0.0,0.9371980676328503,0.014492753623188406,0.00966183574879227,0.03864734299516908,0.0,0.9371980676328503,Marcos A. Crespo RECAP,0.9371980676328503
85047,85047,100,0,0,3,0,124,127,0,0,3,0,124,0.0,0.0,0.023622047244094488,0.0,0.9763779527559056,0.0,0.0,0.023622047244094488,0.0,0.9763779527559056,Marcos A. Crespo RECAP,0.9763779527559056
85048,85048,100,5,1,4,0,129,139,5,1,4,0,129,0.03597122302158273,0.007194244604316547,0.02877697841726619,0.0,0.9280575539568345,0.03597122302158273,0.007194244604316547,0.02877697841726619,0.0,0.9280575539568345,Marcos A. Crespo RECAP,0.9280575539568345
85049,85049,100,1,2,6,0,165,174,1,2,6,0,165,0.005747126436781609,0.011494252873563218,0.034482758620689655,0.0,0.9482758620689655,0.005747126436781609,0.011494252873563218,0.034482758620689655,0.0,0.9482758620689655,Marcos A. Crespo RECAP,0.9482758620689655
85050,85050,100,4,4,10,0,163,181,4,4,10,0,163,0.022099447513812154,0.022099447513812154,0.055248618784530384,0.0,0.9005524861878453,0.022099447513812154,0.022099447513812154,0.055248618784530384,0.0,0.9005524861878453,Marcos A. Crespo RECAP,0.9005524861878453
85051,85051,100,2,0,3,1,106,112,2,0,3,1,106,0.017857142857142856,0.0,0.026785714285714284,0.008928571428571428,0.9464285714285714,0.017857142857142856,0.0,0.026785714285714284,0.008928571428571428,0.9464285714285714,Marcos A. Crespo RECAP,0.9464285714285714
85052,85052,100,0,1,3,0,105,109,0,1,3,0,105,0.0,0.009174311926605505,0.027522935779816515,0.0,0.963302752293578,0.0,0.009174311926605505,0.027522935779816515,0.0,0.963302752293578,Marcos A. Crespo RECAP,0.963302752293578
85053,85053,100,2,1,12,0,138,153,2,1,12,0,138,0.013071895424836602,0.006535947712418301,0.0784313725490196,0.0,0.9019607843137255,0.013071895424836602,0.006535947712418301,0.0784313725490196,0.0,0.9019607843137255,Marcos A. Crespo RECAP,0.9019607843137255
85054,85054,100,1,4,9,0,143,157,1,4,9,0,143,0.006369426751592357,0.025477707006369428,0.05732484076433121,0.0,0.910828025477707,0.006369426751592357,0.025477707006369428,0.05732484076433121,0.0,0.910828025477707,Marcos A. Crespo RECAP,0.910828025477707
85055,85055,100,2,2,8,0,140,152,2,2,8,0,140,0.013157894736842105,0.013157894736842105,0.05263157894736842,0.0,0.9210526315789473,0.013157894736842105,0.013157894736842105,0.05263157894736842,0.0,0.9210526315789473,Marcos A. Crespo RECAP,0.9210526315789473
85056,85056,100,1,0,5,1,62,69,1,0,5,1,62,0.014492753623188406,0.0,0.07246376811594203,0.014492753623188406,0.8985507246376812,0.014492753623188406,0.0,0.07246376811594203,0.014492753623188406,0.8985507246376812,Marcos A. Crespo RECAP,0.8985507246376812
85057,85057,100,0,1,1,0,87,89,0,1,1,0,87,0.0,0.011235955056179775,0.011235955056179775,0.0,0.9775280898876404,0.0,0.011235955056179775,0.011235955056179775,0.0,0.9775280898876404,Marcos A. Crespo RECAP,0.9775280898876404
85058,85058,100,2,1,6,0,144,153,2,1,6,0,144,0.013071895424836602,0.006535947712418301,0.0392156862745098,0.0,0.9411764705882353,0.013071895424836602,0.006535947712418301,0.0392156862745098,0.0,0.9411764705882353,Marcos A. Crespo RECAP,0.9411764705882353
85059,85059,100,8,2,13,0,159,182,8,2,13,0,159,0.04395604395604396,0.01098901098901099,0.07142857142857142,0.0,0.8736263736263736,0.04395604395604396,0.01098901098901099,0.07142857142857142,0.0,0.8736263736263736,Marcos A. Crespo RECAP,0.8736263736263736
85060,85060,100,6,1,5,5,203,220,6,1,5,5,203,0.02727272727272727,0.004545454545454545,0.022727272727272728,0.022727272727272728,0.9227272727272727,0.02727272727272727,0.004545454545454545,0.022727272727272728,0.022727272727272728,0.9227272727272727,Marcos A. Crespo RECAP,0.9227272727272727
85061,85061,100,1,1,4,0,74,80,1,1,4,0,74,0.0125,0.0125,0.05,0.0,0.925,0.0125,0.0125,0.05,0.0,0.925,Marcos A. Crespo RECAP,0.925
85062,85062,100,1,1,6,0,130,138,1,1,6,0,130,0.007246376811594203,0.007246376811594203,0.043478260869565216,0.0,0.9420289855072463,0.007246376811594203,0.007246376811594203,0.043478260869565216,0.0,0.9420289855072463,Marcos A. Crespo RECAP,0.9420289855072463
85063,85063,100,0,1,4,0,136,141,0,1,4,0,136,0.0,0.0070921985815602835,0.028368794326241134,0.0,0.9645390070921985,0.0,0.0070921985815602835,0.028368794326241134,0.0,0.9645390070921985,Marcos A. Crespo RECAP,0.9645390070921985
85064,85064,100,3,1,5,0,130,139,3,1,5,0,130,0.02158273381294964,0.007194244604316547,0.03597122302158273,0.0,0.935251798561151,0.02158273381294964,0.007194244604316547,0.03597122302158273,0.0,0.935251798561151,Marcos A. Crespo RECAP,0.935251798561151
85065,85065,100,4,1,3,1,157,166,4,1,3,1,157,0.024096385542168676,0.006024096385542169,0.018072289156626505,0.006024096385542169,0.9457831325301205,0.024096385542168676,0.006024096385542169,0.018072289156626505,0.006024096385542169,0.9457831325301205,Marcos A. Crespo RECAP,0.9457831325301205
85066,85066,100,4,1,8,0,150,163,4,1,8,0,150,0.024539877300613498,0.006134969325153374,0.049079754601226995,0.0,0.9202453987730062,0.024539877300613498,0.006134969325153374,0.049079754601226995,0.0,0.9202453987730062,Marcos A. Crespo RECAP,0.9202453987730062
85067,85067,100,0,6,9,0,108,123,0,6,9,0,108,0.0,0.04878048780487805,0.07317073170731707,0.0,0.8780487804878049,0.0,0.04878048780487805,0.07317073170731707,0.0,0.8780487804878049,Marcos A. Crespo RECAP,0.8780487804878049
85068,85068,100,1,3,14,0,201,219,1,3,14,0,201,0.0045662100456621,0.0136986301369863,0.0639269406392694,0.0,0.9178082191780822,0.0045662100456621,0.0136986301369863,0.0639269406392694,0.0,0.9178082191780822,Marcos A. Crespo RECAP,0.9178082191780822
85069,85069,100,5,0,2,2,138,147,5,0,2,2,138,0.034013605442176874,0.0,0.013605442176870748,0.013605442176870748,0.9387755102040817,0.034013605442176874,0.0,0.013605442176870748,0.013605442176870748,0.9387755102040817,Marcos A. Crespo RECAP,0.9387755102040817
85070,85070,100,1,2,5,1,108,117,1,2,5,1,108,0.008547008547008548,0.017094017094017096,0.042735042735042736,0.008547008547008548,0.9230769230769231,0.008547008547008548,0.017094017094017096,0.042735042735042736,0.008547008547008548,0.9230769230769231,Marcos A. Crespo RECAP,0.9230769230769231
85071,85071,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85072,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85073,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85074,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85075,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85076,85076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85077,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85078,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85079,85072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
