ED,Reported As,Reporting,Sheldon Silver (Democratic),Sheldon Silver (Working Families),Scattered,Maureen Koetz (Republican),Total Votes,Sheldon Silver RECAP,Scattered RECAP,Maureen Koetz RECAP,p_Sheldon Silver (Democratic),p_Sheldon Silver (Working Families),p_Scattered,p_Maureen Koetz (Republican),p_Sheldon Silver RECAP,p_Scattered RECAP,p_Maureen Koetz RECAP,winner,winner_p
65079,65079,100,128,66,1,24,219,194,1,24,0.5844748858447488,0.3013698630136986,0.0045662100456621,0.1095890410958904,0.8858447488584474,0.0045662100456621,0.1095890410958904,Sheldon Silver RECAP,0.8858447488584474
65080,65080,100,111,30,1,16,158,141,1,16,0.7025316455696202,0.189873417721519,0.006329113924050633,0.10126582278481013,0.8924050632911392,0.006329113924050633,0.10126582278481013,Sheldon Silver RECAP,0.8924050632911392
65081,65081,100,111,26,0,21,158,137,0,21,0.7025316455696202,0.16455696202531644,0.0,0.13291139240506328,0.8670886075949367,0.0,0.13291139240506328,Sheldon Silver RECAP,0.8670886075949367
65082,65082,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65083,65083,100,54,3,0,2,59,57,0,2,0.9152542372881356,0.05084745762711865,0.0,0.03389830508474576,0.9661016949152542,0.0,0.03389830508474576,Sheldon Silver RECAP,0.9661016949152542
65084,65082,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65085,65085,100,50,6,1,38,95,56,1,38,0.5263157894736842,0.06315789473684211,0.010526315789473684,0.4,0.5894736842105263,0.010526315789473684,0.4,Sheldon Silver RECAP,0.5894736842105263
65086,65086,100,51,12,0,17,80,63,0,17,0.6375,0.15,0.0,0.2125,0.7875,0.0,0.2125,Sheldon Silver RECAP,0.7875
65087,65087,100,61,7,0,30,98,68,0,30,0.6224489795918368,0.07142857142857142,0.0,0.30612244897959184,0.6938775510204082,0.0,0.30612244897959184,Sheldon Silver RECAP,0.6938775510204082
65088,65088,100,116,20,2,40,178,136,2,40,0.651685393258427,0.11235955056179775,0.011235955056179775,0.2247191011235955,0.7640449438202247,0.011235955056179775,0.2247191011235955,Sheldon Silver RECAP,0.7640449438202247
65089,65089,100,56,9,1,25,91,65,1,25,0.6153846153846154,0.0989010989010989,0.01098901098901099,0.27472527472527475,0.7142857142857143,0.01098901098901099,0.27472527472527475,Sheldon Silver RECAP,0.7142857142857143
65090,65090,100,104,20,1,57,182,124,1,57,0.5714285714285714,0.10989010989010989,0.005494505494505495,0.3131868131868132,0.6813186813186813,0.005494505494505495,0.3131868131868132,Sheldon Silver RECAP,0.6813186813186813
65091,65091,100,41,9,0,14,64,50,0,14,0.640625,0.140625,0.0,0.21875,0.78125,0.0,0.21875,Sheldon Silver RECAP,0.78125
65092,65092,100,44,10,0,28,82,54,0,28,0.5365853658536586,0.12195121951219512,0.0,0.34146341463414637,0.6585365853658537,0.0,0.34146341463414637,Sheldon Silver RECAP,0.6585365853658537
65093,65093,100,67,12,0,21,100,79,0,21,0.67,0.12,0.0,0.21,0.79,0.0,0.21,Sheldon Silver RECAP,0.79
65200,65200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65201,65201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65202,65202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65203,65203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65204,65204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
