ED,Reported As,Reporting,Scattered,N. Nick Perry (Democratic),Total Votes,Scattered RECAP,N. Nick Perry RECAP,p_Scattered,p_N. Nick Perry (Democratic),p_Scattered RECAP,p_N. Nick Perry RECAP,winner,winner_p
58047,58047,100,1,153,154,1,153,0.006493506493506494,0.9935064935064936,0.006493506493506494,0.9935064935064936,N. Nick Perry RECAP,0.9935064935064936
58048,58048,100,0,135,135,0,135,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58049,58049,100,0,192,192,0,192,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58050,58050,100,2,185,187,2,185,0.0106951871657754,0.9893048128342246,0.0106951871657754,0.9893048128342246,N. Nick Perry RECAP,0.9893048128342246
58051,58051,100,0,159,159,0,159,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58052,58052,100,0,197,197,0,197,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58053,58053,100,0,44,44,0,44,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58054,58054,100,0,176,176,0,176,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58055,58055,100,0,206,206,0,206,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58056,58056,100,0,97,97,0,97,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58057,58057,100,0,157,157,0,157,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58058,58058,100,0,85,85,0,85,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58059,58059,100,4,296,300,4,296,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.9866666666666667,N. Nick Perry RECAP,0.9866666666666667
58060,58060,100,0,204,204,0,204,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58061,58061,100,2,250,252,2,250,0.007936507936507936,0.9920634920634921,0.007936507936507936,0.9920634920634921,N. Nick Perry RECAP,0.9920634920634921
58062,58062,100,0,249,249,0,249,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58063,58063,100,0,160,160,0,160,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58064,58064,100,0,144,144,0,144,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58065,58065,100,0,155,155,0,155,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58066,58066,100,0,148,148,0,148,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58067,58067,100,1,282,283,1,282,0.0035335689045936395,0.9964664310954063,0.0035335689045936395,0.9964664310954063,N. Nick Perry RECAP,0.9964664310954063
58068,58068,100,0,246,246,0,246,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58069,58069,100,0,55,55,0,55,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58070,58070,100,0,213,213,0,213,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58071,58071,100,0,157,157,0,157,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58072,58072,100,0,146,146,0,146,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58073,58073,100,0,84,84,0,84,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58074,58074,100,0,262,262,0,262,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58075,58075,100,0,288,288,0,288,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58076,58076,100,1,210,211,1,210,0.004739336492890996,0.995260663507109,0.004739336492890996,0.995260663507109,N. Nick Perry RECAP,0.995260663507109
58077,58077,100,0,243,243,0,243,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58078,58078,100,0,205,205,0,205,0.0,1.0,0.0,1.0,N. Nick Perry RECAP,1.0
58079,58079,100,1,174,175,1,174,0.005714285714285714,0.9942857142857143,0.005714285714285714,0.9942857142857143,N. Nick Perry RECAP,0.9942857142857143
