ED,Reported As,Reporting,Nachman C. Caller (Republican),Dov Hikind (Conservative),Dov Hikind (Democratic),Nachman C. Caller (The Housing & Jobs),Scattered,Total Votes,Nachman C. Caller RECAP,Dov Hikind RECAP,Scattered RECAP,p_Nachman C. Caller (Republican),p_Dov Hikind (Conservative),p_Dov Hikind (Democratic),p_Nachman C. Caller (The Housing & Jobs),p_Scattered,p_Nachman C. Caller RECAP,p_Dov Hikind RECAP,p_Scattered RECAP,winner,winner_p
48026,48026,100,58,74,216,2,1,351,60,290,1,0.16524216524216523,0.21082621082621084,0.6153846153846154,0.005698005698005698,0.002849002849002849,0.17094017094017094,0.8262108262108262,0.002849002849002849,Dov Hikind RECAP,0.8262108262108262
48027,48027,100,74,58,259,1,0,392,75,317,0,0.18877551020408162,0.14795918367346939,0.6607142857142857,0.002551020408163265,0.0,0.1913265306122449,0.8086734693877551,0.0,Dov Hikind RECAP,0.8086734693877551
48028,48028,100,83,87,188,4,0,362,87,275,0,0.2292817679558011,0.24033149171270718,0.5193370165745856,0.011049723756906077,0.0,0.24033149171270718,0.7596685082872928,0.0,Dov Hikind RECAP,0.7596685082872928
48029,48029,100,65,71,203,2,0,341,67,274,0,0.1906158357771261,0.20821114369501467,0.5953079178885631,0.005865102639296188,0.0,0.19648093841642228,0.8035190615835777,0.0,Dov Hikind RECAP,0.8035190615835777
48030,48030,100,62,67,241,3,0,373,65,308,0,0.16621983914209115,0.17962466487935658,0.646112600536193,0.00804289544235925,0.0,0.1742627345844504,0.8257372654155496,0.0,Dov Hikind RECAP,0.8257372654155496
48031,48031,100,26,31,99,2,0,158,28,130,0,0.16455696202531644,0.1962025316455696,0.6265822784810127,0.012658227848101266,0.0,0.17721518987341772,0.8227848101265823,0.0,Dov Hikind RECAP,0.8227848101265823
48032,48032,100,54,56,197,2,1,310,56,253,1,0.17419354838709677,0.18064516129032257,0.635483870967742,0.0064516129032258064,0.0032258064516129032,0.18064516129032257,0.8161290322580645,0.0032258064516129032,Dov Hikind RECAP,0.8161290322580645
48033,48033,100,23,33,74,2,0,132,25,107,0,0.17424242424242425,0.25,0.5606060606060606,0.015151515151515152,0.0,0.1893939393939394,0.8106060606060606,0.0,Dov Hikind RECAP,0.8106060606060606
48034,48034,100,30,9,50,0,1,90,30,59,1,0.3333333333333333,0.1,0.5555555555555556,0.0,0.011111111111111112,0.3333333333333333,0.6555555555555556,0.011111111111111112,Dov Hikind RECAP,0.6555555555555556
48035,48035,100,6,0,13,0,0,19,6,13,0,0.3157894736842105,0.0,0.6842105263157895,0.0,0.0,0.3157894736842105,0.6842105263157895,0.0,Dov Hikind RECAP,0.6842105263157895
48036,48036,100,43,7,69,3,1,123,46,76,1,0.34959349593495936,0.056910569105691054,0.5609756097560976,0.024390243902439025,0.008130081300813009,0.37398373983739835,0.6178861788617886,0.008130081300813009,Dov Hikind RECAP,0.6178861788617886
48037,48037,100,31,9,39,0,1,80,31,48,1,0.3875,0.1125,0.4875,0.0,0.0125,0.3875,0.6,0.0125,Dov Hikind RECAP,0.6
48038,48038,100,21,16,26,0,1,64,21,42,1,0.328125,0.25,0.40625,0.0,0.015625,0.328125,0.65625,0.015625,Dov Hikind RECAP,0.65625
48039,48039,100,20,24,103,0,0,147,20,127,0,0.1360544217687075,0.16326530612244897,0.7006802721088435,0.0,0.0,0.1360544217687075,0.8639455782312925,0.0,Dov Hikind RECAP,0.8639455782312925
48040,48040,100,54,46,128,4,1,233,58,174,1,0.2317596566523605,0.19742489270386265,0.5493562231759657,0.017167381974248927,0.004291845493562232,0.24892703862660945,0.7467811158798283,0.004291845493562232,Dov Hikind RECAP,0.7467811158798283
48041,48041,100,12,25,39,0,0,76,12,64,0,0.15789473684210525,0.32894736842105265,0.5131578947368421,0.0,0.0,0.15789473684210525,0.8421052631578947,0.0,Dov Hikind RECAP,0.8421052631578947
48042,48042,100,31,39,115,1,1,187,32,154,1,0.1657754010695187,0.20855614973262032,0.6149732620320856,0.0053475935828877,0.0053475935828877,0.1711229946524064,0.8235294117647058,0.0053475935828877,Dov Hikind RECAP,0.8235294117647058
48043,48043,100,57,19,93,6,1,176,63,112,1,0.32386363636363635,0.10795454545454546,0.5284090909090909,0.03409090909090909,0.005681818181818182,0.35795454545454547,0.6363636363636364,0.005681818181818182,Dov Hikind RECAP,0.6363636363636364
48044,48044,100,29,3,66,4,1,103,33,69,1,0.2815533980582524,0.02912621359223301,0.6407766990291263,0.038834951456310676,0.009708737864077669,0.32038834951456313,0.6699029126213593,0.009708737864077669,Dov Hikind RECAP,0.6699029126213593
48045,48045,100,22,13,50,1,1,87,23,63,1,0.25287356321839083,0.14942528735632185,0.5747126436781609,0.011494252873563218,0.011494252873563218,0.26436781609195403,0.7241379310344828,0.011494252873563218,Dov Hikind RECAP,0.7241379310344828
48046,48046,100,38,31,110,2,0,181,40,141,0,0.20994475138121546,0.1712707182320442,0.6077348066298343,0.011049723756906077,0.0,0.22099447513812154,0.7790055248618785,0.0,Dov Hikind RECAP,0.7790055248618785
48047,48047,100,47,47,137,0,1,232,47,184,1,0.2025862068965517,0.2025862068965517,0.5905172413793104,0.0,0.004310344827586207,0.2025862068965517,0.7931034482758621,0.004310344827586207,Dov Hikind RECAP,0.7931034482758621
48048,48048,100,39,51,147,0,0,237,39,198,0,0.16455696202531644,0.21518987341772153,0.620253164556962,0.0,0.0,0.16455696202531644,0.8354430379746836,0.0,Dov Hikind RECAP,0.8354430379746836
48049,48049,100,9,7,38,1,0,55,10,45,0,0.16363636363636364,0.12727272727272726,0.6909090909090909,0.01818181818181818,0.0,0.18181818181818182,0.8181818181818182,0.0,Dov Hikind RECAP,0.8181818181818182
48050,48050,100,30,31,107,1,0,169,31,138,0,0.17751479289940827,0.1834319526627219,0.6331360946745562,0.005917159763313609,0.0,0.1834319526627219,0.8165680473372781,0.0,Dov Hikind RECAP,0.8165680473372781
48051,48051,100,19,27,110,4,2,162,23,137,2,0.11728395061728394,0.16666666666666666,0.6790123456790124,0.024691358024691357,0.012345679012345678,0.1419753086419753,0.845679012345679,0.012345679012345678,Dov Hikind RECAP,0.845679012345679
48052,48052,100,44,22,102,1,0,169,45,124,0,0.2603550295857988,0.1301775147928994,0.6035502958579881,0.005917159763313609,0.0,0.26627218934911245,0.7337278106508875,0.0,Dov Hikind RECAP,0.7337278106508875
48053,48049,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
48054,48054,100,42,40,73,3,2,160,45,113,2,0.2625,0.25,0.45625,0.01875,0.0125,0.28125,0.70625,0.0125,Dov Hikind RECAP,0.70625
48055,48055,100,73,50,141,1,1,266,74,191,1,0.2744360902255639,0.18796992481203006,0.5300751879699248,0.0037593984962406013,0.0037593984962406013,0.2781954887218045,0.7180451127819549,0.0037593984962406013,Dov Hikind RECAP,0.7180451127819549
48056,48056,100,67,42,128,2,2,241,69,170,2,0.27800829875518673,0.17427385892116182,0.5311203319502075,0.008298755186721992,0.008298755186721992,0.2863070539419087,0.7053941908713693,0.008298755186721992,Dov Hikind RECAP,0.7053941908713693
48057,48057,100,20,12,48,0,0,80,20,60,0,0.25,0.15,0.6,0.0,0.0,0.25,0.75,0.0,Dov Hikind RECAP,0.75
48058,48058,100,56,54,169,4,1,284,60,223,1,0.19718309859154928,0.19014084507042253,0.5950704225352113,0.014084507042253521,0.0035211267605633804,0.2112676056338028,0.7852112676056338,0.0035211267605633804,Dov Hikind RECAP,0.7852112676056338
48059,48059,100,48,59,176,0,0,283,48,235,0,0.1696113074204947,0.20848056537102475,0.6219081272084805,0.0,0.0,0.1696113074204947,0.8303886925795053,0.0,Dov Hikind RECAP,0.8303886925795053
48060,48060,100,66,82,162,0,2,312,66,244,2,0.21153846153846154,0.26282051282051283,0.5192307692307693,0.0,0.00641025641025641,0.21153846153846154,0.782051282051282,0.00641025641025641,Dov Hikind RECAP,0.782051282051282
48061,48061,100,61,31,117,4,2,215,65,148,2,0.2837209302325581,0.14418604651162792,0.5441860465116279,0.018604651162790697,0.009302325581395349,0.3023255813953488,0.6883720930232559,0.009302325581395349,Dov Hikind RECAP,0.6883720930232559
48062,48062,100,63,32,163,2,2,262,65,195,2,0.24045801526717558,0.12213740458015267,0.6221374045801527,0.007633587786259542,0.007633587786259542,0.2480916030534351,0.7442748091603053,0.007633587786259542,Dov Hikind RECAP,0.7442748091603053
48063,48063,100,35,14,71,5,1,126,40,85,1,0.2777777777777778,0.1111111111111111,0.5634920634920635,0.03968253968253968,0.007936507936507936,0.31746031746031744,0.6746031746031746,0.007936507936507936,Dov Hikind RECAP,0.6746031746031746
48064,48064,100,18,46,79,3,1,147,21,125,1,0.12244897959183673,0.3129251700680272,0.5374149659863946,0.02040816326530612,0.006802721088435374,0.14285714285714285,0.8503401360544217,0.006802721088435374,Dov Hikind RECAP,0.8503401360544217
48065,48065,100,24,17,67,2,2,112,26,84,2,0.21428571428571427,0.15178571428571427,0.5982142857142857,0.017857142857142856,0.017857142857142856,0.23214285714285715,0.75,0.017857142857142856,Dov Hikind RECAP,0.75
48066,48066,100,23,38,70,0,0,131,23,108,0,0.17557251908396945,0.2900763358778626,0.5343511450381679,0.0,0.0,0.17557251908396945,0.8244274809160306,0.0,Dov Hikind RECAP,0.8244274809160306
48067,48067,100,21,22,28,1,0,72,22,50,0,0.2916666666666667,0.3055555555555556,0.3888888888888889,0.013888888888888888,0.0,0.3055555555555556,0.6944444444444444,0.0,Dov Hikind RECAP,0.6944444444444444
48068,48068,100,9,4,15,0,0,28,9,19,0,0.32142857142857145,0.14285714285714285,0.5357142857142857,0.0,0.0,0.32142857142857145,0.6785714285714286,0.0,Dov Hikind RECAP,0.6785714285714286
48069,48069,100,11,1,5,0,0,17,11,6,0,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.0,0.0,0.6470588235294118,0.35294117647058826,0.0,Nachman C. Caller RECAP,0.6470588235294118
48070,48070,100,55,44,122,2,1,224,57,166,1,0.24553571428571427,0.19642857142857142,0.5446428571428571,0.008928571428571428,0.004464285714285714,0.2544642857142857,0.7410714285714286,0.004464285714285714,Dov Hikind RECAP,0.7410714285714286
