ED,Reported As,Reporting,Adriano Espaillat (Democratic),Scattered,Total Votes,Adriano Espaillat RECAP,Scattered RECAP,p_Adriano Espaillat (Democratic),p_Scattered,p_Adriano Espaillat RECAP,p_Scattered RECAP,winner,winner_p
69047,69047,100,282,3,285,282,3,0.9894736842105263,0.010526315789473684,0.9894736842105263,0.010526315789473684,Adriano Espaillat RECAP,0.9894736842105263
69048,69048,100,247,1,248,247,1,0.9959677419354839,0.004032258064516129,0.9959677419354839,0.004032258064516129,Adriano Espaillat RECAP,0.9959677419354839
69049,69049,100,235,5,240,235,5,0.9791666666666666,0.020833333333333332,0.9791666666666666,0.020833333333333332,Adriano Espaillat RECAP,0.9791666666666666
69050,69050,100,238,1,239,238,1,0.99581589958159,0.0041841004184100415,0.99581589958159,0.0041841004184100415,Adriano Espaillat RECAP,0.99581589958159
69051,69051,100,176,4,180,176,4,0.9777777777777777,0.022222222222222223,0.9777777777777777,0.022222222222222223,Adriano Espaillat RECAP,0.9777777777777777
69060,69060,100,229,3,232,229,3,0.9870689655172413,0.01293103448275862,0.9870689655172413,0.01293103448275862,Adriano Espaillat RECAP,0.9870689655172413
69061,69061,100,260,1,261,260,1,0.9961685823754789,0.0038314176245210726,0.9961685823754789,0.0038314176245210726,Adriano Espaillat RECAP,0.9961685823754789
69062,69062,100,256,3,259,256,3,0.9884169884169884,0.011583011583011582,0.9884169884169884,0.011583011583011582,Adriano Espaillat RECAP,0.9884169884169884
69063,69063,100,348,8,356,348,8,0.9775280898876404,0.02247191011235955,0.9775280898876404,0.02247191011235955,Adriano Espaillat RECAP,0.9775280898876404
69064,69064,100,270,2,272,270,2,0.9926470588235294,0.007352941176470588,0.9926470588235294,0.007352941176470588,Adriano Espaillat RECAP,0.9926470588235294
69065,69065,100,252,2,254,252,2,0.9921259842519685,0.007874015748031496,0.9921259842519685,0.007874015748031496,Adriano Espaillat RECAP,0.9921259842519685
69066,69066,100,93,0,93,93,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
69072,69072,100,316,3,319,316,3,0.9905956112852664,0.009404388714733543,0.9905956112852664,0.009404388714733543,Adriano Espaillat RECAP,0.9905956112852664
69073,69073,100,311,1,312,311,1,0.9967948717948718,0.003205128205128205,0.9967948717948718,0.003205128205128205,Adriano Espaillat RECAP,0.9967948717948718
69077,69077,100,247,3,250,247,3,0.988,0.012,0.988,0.012,Adriano Espaillat RECAP,0.988
69078,69078,100,215,2,217,215,2,0.9907834101382489,0.009216589861751152,0.9907834101382489,0.009216589861751152,Adriano Espaillat RECAP,0.9907834101382489
69079,69079,100,163,4,167,163,4,0.9760479041916168,0.023952095808383235,0.9760479041916168,0.023952095808383235,Adriano Espaillat RECAP,0.9760479041916168
69084,69084,100,188,0,188,188,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
69085,69085,100,165,3,168,165,3,0.9821428571428571,0.017857142857142856,0.9821428571428571,0.017857142857142856,Adriano Espaillat RECAP,0.9821428571428571
69086,69086,100,343,3,346,343,3,0.9913294797687862,0.008670520231213872,0.9913294797687862,0.008670520231213872,Adriano Espaillat RECAP,0.9913294797687862
69088,69085,100,0,0,0,0,0,0,0,0,0,n/a,0
69092,69092,100,203,2,205,203,2,0.9902439024390244,0.00975609756097561,0.9902439024390244,0.00975609756097561,Adriano Espaillat RECAP,0.9902439024390244
69096,69096,100,19,0,19,19,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
69201,69201,100,0,0,0,0,0,0,0,0,0,n/a,0
69202,69202,100,0,0,0,0,0,0,0,0,0,n/a,0
69203,69203,100,0,0,0,0,0,0,0,0,0,n/a,0
70068,70068,100,187,1,188,187,1,0.9946808510638298,0.005319148936170213,0.9946808510638298,0.005319148936170213,Adriano Espaillat RECAP,0.9946808510638298
70069,70069,100,51,0,51,51,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
70070,70070,100,91,0,91,91,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
70071,70071,100,204,1,205,204,1,0.9951219512195122,0.004878048780487805,0.9951219512195122,0.004878048780487805,Adriano Espaillat RECAP,0.9951219512195122
70072,70072,100,240,2,242,240,2,0.9917355371900827,0.008264462809917356,0.9917355371900827,0.008264462809917356,Adriano Espaillat RECAP,0.9917355371900827
70077,70077,100,110,1,111,110,1,0.990990990990991,0.009009009009009009,0.990990990990991,0.009009009009009009,Adriano Espaillat RECAP,0.990990990990991
70078,70078,100,69,1,70,69,1,0.9857142857142858,0.014285714285714285,0.9857142857142858,0.014285714285714285,Adriano Espaillat RECAP,0.9857142857142858
70079,70079,100,92,1,93,92,1,0.989247311827957,0.010752688172043012,0.989247311827957,0.010752688172043012,Adriano Espaillat RECAP,0.989247311827957
70080,70080,100,128,4,132,128,4,0.9696969696969697,0.030303030303030304,0.9696969696969697,0.030303030303030304,Adriano Espaillat RECAP,0.9696969696969697
70081,70081,100,112,1,113,112,1,0.9911504424778761,0.008849557522123894,0.9911504424778761,0.008849557522123894,Adriano Espaillat RECAP,0.9911504424778761
70082,70082,100,111,0,111,111,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
70083,70083,100,88,1,89,88,1,0.9887640449438202,0.011235955056179775,0.9887640449438202,0.011235955056179775,Adriano Espaillat RECAP,0.9887640449438202
70084,70084,100,151,7,158,151,7,0.9556962025316456,0.04430379746835443,0.9556962025316456,0.04430379746835443,Adriano Espaillat RECAP,0.9556962025316456
70085,70085,100,230,4,234,230,4,0.9829059829059829,0.017094017094017096,0.9829059829059829,0.017094017094017096,Adriano Espaillat RECAP,0.9829059829059829
70086,70086,100,170,2,172,170,2,0.9883720930232558,0.011627906976744186,0.9883720930232558,0.011627906976744186,Adriano Espaillat RECAP,0.9883720930232558
70087,70087,100,186,3,189,186,3,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.015873015873015872,Adriano Espaillat RECAP,0.9841269841269841
70201,70201,100,0,0,0,0,0,0,0,0,0,n/a,0
71001,71001,100,209,6,215,209,6,0.9720930232558139,0.027906976744186046,0.9720930232558139,0.027906976744186046,Adriano Espaillat RECAP,0.9720930232558139
71002,71002,100,145,3,148,145,3,0.9797297297297297,0.02027027027027027,0.9797297297297297,0.02027027027027027,Adriano Espaillat RECAP,0.9797297297297297
71003,71003,100,110,3,113,110,3,0.9734513274336283,0.02654867256637168,0.9734513274336283,0.02654867256637168,Adriano Espaillat RECAP,0.9734513274336283
71005,71005,100,168,1,169,168,1,0.9940828402366864,0.005917159763313609,0.9940828402366864,0.005917159763313609,Adriano Espaillat RECAP,0.9940828402366864
71006,71006,100,179,5,184,179,5,0.9728260869565217,0.02717391304347826,0.9728260869565217,0.02717391304347826,Adriano Espaillat RECAP,0.9728260869565217
71007,71007,100,114,0,114,114,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71010,71010,100,171,5,176,171,5,0.9715909090909091,0.028409090909090908,0.9715909090909091,0.028409090909090908,Adriano Espaillat RECAP,0.9715909090909091
71029,71029,100,139,0,139,139,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71030,71030,100,132,1,133,132,1,0.9924812030075187,0.007518796992481203,0.9924812030075187,0.007518796992481203,Adriano Espaillat RECAP,0.9924812030075187
71036,71036,100,137,0,137,137,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71037,71037,100,153,2,155,153,2,0.9870967741935484,0.012903225806451613,0.9870967741935484,0.012903225806451613,Adriano Espaillat RECAP,0.9870967741935484
71039,71039,100,171,0,171,171,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71040,71040,100,204,2,206,204,2,0.9902912621359223,0.009708737864077669,0.9902912621359223,0.009708737864077669,Adriano Espaillat RECAP,0.9902912621359223
71041,71041,100,238,6,244,238,6,0.9754098360655737,0.02459016393442623,0.9754098360655737,0.02459016393442623,Adriano Espaillat RECAP,0.9754098360655737
71042,71042,100,153,0,153,153,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71043,71043,100,198,1,199,198,1,0.9949748743718593,0.005025125628140704,0.9949748743718593,0.005025125628140704,Adriano Espaillat RECAP,0.9949748743718593
71045,71045,100,126,0,126,126,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71046,71046,100,195,2,197,195,2,0.9898477157360406,0.01015228426395939,0.9898477157360406,0.01015228426395939,Adriano Espaillat RECAP,0.9898477157360406
71047,71047,100,212,7,219,212,7,0.9680365296803652,0.0319634703196347,0.9680365296803652,0.0319634703196347,Adriano Espaillat RECAP,0.9680365296803652
71048,71048,100,94,0,94,94,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71049,71049,100,168,1,169,168,1,0.9940828402366864,0.005917159763313609,0.9940828402366864,0.005917159763313609,Adriano Espaillat RECAP,0.9940828402366864
71050,71050,100,150,0,150,150,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71051,71051,100,51,0,51,51,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71052,71052,100,139,0,139,139,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71053,71053,100,113,1,114,113,1,0.9912280701754386,0.008771929824561403,0.9912280701754386,0.008771929824561403,Adriano Espaillat RECAP,0.9912280701754386
71054,71054,100,135,0,135,135,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71055,71055,100,103,2,105,103,2,0.9809523809523809,0.01904761904761905,0.9809523809523809,0.01904761904761905,Adriano Espaillat RECAP,0.9809523809523809
71056,71056,100,179,2,181,179,2,0.988950276243094,0.011049723756906077,0.988950276243094,0.011049723756906077,Adriano Espaillat RECAP,0.988950276243094
71057,71057,100,113,1,114,113,1,0.9912280701754386,0.008771929824561403,0.9912280701754386,0.008771929824561403,Adriano Espaillat RECAP,0.9912280701754386
71058,71058,100,125,4,129,125,4,0.9689922480620154,0.031007751937984496,0.9689922480620154,0.031007751937984496,Adriano Espaillat RECAP,0.9689922480620154
71059,71059,100,97,0,97,97,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71060,71060,100,117,1,118,117,1,0.9915254237288136,0.00847457627118644,0.9915254237288136,0.00847457627118644,Adriano Espaillat RECAP,0.9915254237288136
71061,71061,100,104,1,105,104,1,0.9904761904761905,0.009523809523809525,0.9904761904761905,0.009523809523809525,Adriano Espaillat RECAP,0.9904761904761905
71062,71062,100,85,2,87,85,2,0.9770114942528736,0.022988505747126436,0.9770114942528736,0.022988505747126436,Adriano Espaillat RECAP,0.9770114942528736
71063,71063,100,168,1,169,168,1,0.9940828402366864,0.005917159763313609,0.9940828402366864,0.005917159763313609,Adriano Espaillat RECAP,0.9940828402366864
71064,71064,100,164,0,164,164,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71065,71065,100,123,0,123,123,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71066,71066,100,170,1,171,170,1,0.9941520467836257,0.005847953216374269,0.9941520467836257,0.005847953216374269,Adriano Espaillat RECAP,0.9941520467836257
71067,71067,100,143,3,146,143,3,0.9794520547945206,0.02054794520547945,0.9794520547945206,0.02054794520547945,Adriano Espaillat RECAP,0.9794520547945206
