ED,Reported As,Reporting,Aravella Simotas (Working Families),Aravella Simotas (Democratic),Scattered,Total Votes,Aravella Simotas RECAP,Scattered RECAP,p_Aravella Simotas (Working Families),p_Aravella Simotas (Democratic),p_Scattered,p_Aravella Simotas RECAP,p_Scattered RECAP,winner,winner_p
36060,36060,100,27,138,3,168,165,3,0.16071428571428573,0.8214285714285714,0.017857142857142856,0.9821428571428571,0.017857142857142856,Aravella Simotas RECAP,0.9821428571428571
36061,36061,100,24,136,4,164,160,4,0.14634146341463414,0.8292682926829268,0.024390243902439025,0.975609756097561,0.024390243902439025,Aravella Simotas RECAP,0.975609756097561
36062,36062,100,16,117,0,133,133,0,0.12030075187969924,0.8796992481203008,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36063,36063,100,12,132,0,144,144,0,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36064,36064,100,32,138,1,171,170,1,0.1871345029239766,0.8070175438596491,0.005847953216374269,0.9941520467836257,0.005847953216374269,Aravella Simotas RECAP,0.9941520467836257
36065,36065,100,5,44,0,49,49,0,0.10204081632653061,0.8979591836734694,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36066,36066,100,20,93,0,113,113,0,0.17699115044247787,0.8230088495575221,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36067,36067,100,23,118,1,142,141,1,0.1619718309859155,0.8309859154929577,0.007042253521126761,0.9929577464788732,0.007042253521126761,Aravella Simotas RECAP,0.9929577464788732
36068,36068,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36069,36050,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36070,36044,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36071,36071,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
