ED,Reported As,Reporting,Edward C. Braunstein (Working Families),Edward C. Braunstein (Independence),Scattered,Edward C. Braunstein (Democratic),Total Votes,Edward C. Braunstein RECAP,Scattered RECAP,p_Edward C. Braunstein (Working Families),p_Edward C. Braunstein (Independence),p_Scattered,p_Edward C. Braunstein (Democratic),p_Edward C. Braunstein RECAP,p_Scattered RECAP,winner,winner_p
26046,26046,100,18,21,1,233,273,272,1,0.06593406593406594,0.07692307692307693,0.003663003663003663,0.8534798534798534,0.9963369963369964,0.003663003663003663,Edward C. Braunstein RECAP,0.9963369963369964
26047,26047,100,23,25,0,284,332,332,0,0.06927710843373494,0.07530120481927711,0.0,0.8554216867469879,1.0,0.0,Edward C. Braunstein RECAP,1.0
26048,26048,100,11,16,1,105,133,132,1,0.08270676691729323,0.12030075187969924,0.007518796992481203,0.7894736842105263,0.9924812030075187,0.007518796992481203,Edward C. Braunstein RECAP,0.9924812030075187
26049,26049,100,13,18,0,108,139,139,0,0.09352517985611511,0.12949640287769784,0.0,0.7769784172661871,1.0,0.0,Edward C. Braunstein RECAP,1.0
26050,26050,100,15,13,4,147,179,175,4,0.08379888268156424,0.07262569832402235,0.0223463687150838,0.8212290502793296,0.9776536312849162,0.0223463687150838,Edward C. Braunstein RECAP,0.9776536312849162
26051,26051,100,4,11,2,93,110,108,2,0.03636363636363636,0.1,0.01818181818181818,0.8454545454545455,0.9818181818181818,0.01818181818181818,Edward C. Braunstein RECAP,0.9818181818181818
26052,26052,100,14,12,2,115,143,141,2,0.0979020979020979,0.08391608391608392,0.013986013986013986,0.8041958041958042,0.986013986013986,0.013986013986013986,Edward C. Braunstein RECAP,0.986013986013986
26053,26053,100,13,13,0,148,174,174,0,0.07471264367816093,0.07471264367816093,0.0,0.8505747126436781,1.0,0.0,Edward C. Braunstein RECAP,1.0
26054,26054,100,23,15,0,113,151,151,0,0.152317880794702,0.09933774834437085,0.0,0.7483443708609272,1.0,0.0,Edward C. Braunstein RECAP,1.0
26055,26055,100,7,10,1,102,120,119,1,0.058333333333333334,0.08333333333333333,0.008333333333333333,0.85,0.9916666666666667,0.008333333333333333,Edward C. Braunstein RECAP,0.9916666666666667
26056,26056,100,27,27,0,174,228,228,0,0.11842105263157894,0.11842105263157894,0.0,0.7631578947368421,1.0,0.0,Edward C. Braunstein RECAP,1.0
26057,26057,100,29,27,0,200,256,256,0,0.11328125,0.10546875,0.0,0.78125,1.0,0.0,Edward C. Braunstein RECAP,1.0
26058,26058,100,15,29,0,146,190,190,0,0.07894736842105263,0.15263157894736842,0.0,0.7684210526315789,1.0,0.0,Edward C. Braunstein RECAP,1.0
26059,26059,100,19,31,0,192,242,242,0,0.07851239669421488,0.128099173553719,0.0,0.7933884297520661,1.0,0.0,Edward C. Braunstein RECAP,1.0
26060,26060,100,18,31,3,150,202,199,3,0.0891089108910891,0.15346534653465346,0.01485148514851485,0.7425742574257426,0.9851485148514851,0.01485148514851485,Edward C. Braunstein RECAP,0.9851485148514851
26061,26061,100,10,16,2,139,167,165,2,0.059880239520958084,0.09580838323353294,0.011976047904191617,0.8323353293413174,0.9880239520958084,0.011976047904191617,Edward C. Braunstein RECAP,0.9880239520958084
26062,26062,100,16,18,0,156,190,190,0,0.08421052631578947,0.09473684210526316,0.0,0.8210526315789474,1.0,0.0,Edward C. Braunstein RECAP,1.0
26063,26063,100,16,26,1,186,229,228,1,0.06986899563318777,0.11353711790393013,0.004366812227074236,0.8122270742358079,0.9956331877729258,0.004366812227074236,Edward C. Braunstein RECAP,0.9956331877729258
26064,26064,100,16,23,0,138,177,177,0,0.0903954802259887,0.12994350282485875,0.0,0.7796610169491526,1.0,0.0,Edward C. Braunstein RECAP,1.0
26065,26065,100,21,22,3,159,205,202,3,0.1024390243902439,0.1073170731707317,0.014634146341463415,0.775609756097561,0.9853658536585366,0.014634146341463415,Edward C. Braunstein RECAP,0.9853658536585366
26066,26066,100,21,21,1,196,239,238,1,0.08786610878661087,0.08786610878661087,0.0041841004184100415,0.8200836820083682,0.99581589958159,0.0041841004184100415,Edward C. Braunstein RECAP,0.99581589958159
26067,26067,100,6,18,0,150,174,174,0,0.034482758620689655,0.10344827586206896,0.0,0.8620689655172413,1.0,0.0,Edward C. Braunstein RECAP,1.0
26068,26068,100,18,22,3,136,179,176,3,0.1005586592178771,0.12290502793296089,0.01675977653631285,0.7597765363128491,0.9832402234636871,0.01675977653631285,Edward C. Braunstein RECAP,0.9832402234636871
26069,26069,100,26,31,7,204,268,261,7,0.09701492537313433,0.11567164179104478,0.026119402985074626,0.7611940298507462,0.9738805970149254,0.026119402985074626,Edward C. Braunstein RECAP,0.9738805970149254
26070,26070,100,15,13,0,185,213,213,0,0.07042253521126761,0.06103286384976526,0.0,0.8685446009389671,1.0,0.0,Edward C. Braunstein RECAP,1.0
26071,26071,100,7,18,0,293,318,318,0,0.0220125786163522,0.05660377358490566,0.0,0.9213836477987422,1.0,0.0,Edward C. Braunstein RECAP,1.0
26072,26072,100,13,14,4,180,211,207,4,0.061611374407582936,0.06635071090047394,0.018957345971563982,0.8530805687203792,0.981042654028436,0.018957345971563982,Edward C. Braunstein RECAP,0.981042654028436
26073,26073,100,19,40,1,579,639,638,1,0.0297339593114241,0.06259780907668232,0.001564945226917058,0.9061032863849765,0.9984350547730829,0.001564945226917058,Edward C. Braunstein RECAP,0.9984350547730829
26074,26074,100,9,10,0,126,145,145,0,0.06206896551724138,0.06896551724137931,0.0,0.8689655172413793,1.0,0.0,Edward C. Braunstein RECAP,1.0
26075,26075,100,17,11,0,154,182,182,0,0.09340659340659341,0.06043956043956044,0.0,0.8461538461538461,1.0,0.0,Edward C. Braunstein RECAP,1.0
26076,26076,100,16,16,0,143,175,175,0,0.09142857142857143,0.09142857142857143,0.0,0.8171428571428572,1.0,0.0,Edward C. Braunstein RECAP,1.0
26077,26077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
26078,26078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
