ED,Reported As,Reporting,Joseph Crowley (Democratic),Joseph Crowley (Working Families),Elizabeth Perri (Conservative),Scattered,Total Votes,Joseph Crowley RECAP,Elizabeth Perri RECAP,Scattered RECAP,p_Joseph Crowley (Democratic),p_Joseph Crowley (Working Families),p_Elizabeth Perri (Conservative),p_Scattered,p_Joseph Crowley RECAP,p_Elizabeth Perri RECAP,p_Scattered RECAP,winner,winner_p
37027,37027,100,234,119,30,0,383,353,30,0,0.6109660574412533,0.31070496083550914,0.0783289817232376,0.0,0.9216710182767625,0.0783289817232376,0.0,Joseph Crowley RECAP,0.9216710182767625
37028,37028,100,234,50,20,2,306,284,20,2,0.7647058823529411,0.16339869281045752,0.06535947712418301,0.006535947712418301,0.9281045751633987,0.06535947712418301,0.006535947712418301,Joseph Crowley RECAP,0.9281045751633987
37029,37029,100,193,42,36,1,272,235,36,1,0.7095588235294118,0.15441176470588236,0.1323529411764706,0.003676470588235294,0.8639705882352942,0.1323529411764706,0.003676470588235294,Joseph Crowley RECAP,0.8639705882352942
37030,37030,100,193,25,33,0,251,218,33,0,0.7689243027888446,0.099601593625498,0.13147410358565736,0.0,0.8685258964143426,0.13147410358565736,0.0,Joseph Crowley RECAP,0.8685258964143426
37031,37031,100,190,24,23,1,238,214,23,1,0.7983193277310925,0.10084033613445378,0.09663865546218488,0.004201680672268907,0.8991596638655462,0.09663865546218488,0.004201680672268907,Joseph Crowley RECAP,0.8991596638655462
37032,37032,100,154,21,20,2,197,175,20,2,0.7817258883248731,0.1065989847715736,0.10152284263959391,0.01015228426395939,0.8883248730964467,0.10152284263959391,0.01015228426395939,Joseph Crowley RECAP,0.8883248730964467
37033,37033,100,133,12,4,0,149,145,4,0,0.8926174496644296,0.08053691275167785,0.026845637583892617,0.0,0.9731543624161074,0.026845637583892617,0.0,Joseph Crowley RECAP,0.9731543624161074
37034,37034,100,135,14,12,0,161,149,12,0,0.8385093167701864,0.08695652173913043,0.07453416149068323,0.0,0.9254658385093167,0.07453416149068323,0.0,Joseph Crowley RECAP,0.9254658385093167
37035,37035,100,183,17,9,0,209,200,9,0,0.8755980861244019,0.08133971291866028,0.0430622009569378,0.0,0.9569377990430622,0.0430622009569378,0.0,Joseph Crowley RECAP,0.9569377990430622
37036,37036,100,177,45,20,1,243,222,20,1,0.7283950617283951,0.18518518518518517,0.0823045267489712,0.00411522633744856,0.9135802469135802,0.0823045267489712,0.00411522633744856,Joseph Crowley RECAP,0.9135802469135802
37037,37037,100,219,55,27,0,301,274,27,0,0.7275747508305648,0.18272425249169436,0.08970099667774087,0.0,0.9102990033222591,0.08970099667774087,0.0,Joseph Crowley RECAP,0.9102990033222591
37038,37038,100,177,44,27,1,249,221,27,1,0.7108433734939759,0.17670682730923695,0.10843373493975904,0.004016064257028112,0.8875502008032129,0.10843373493975904,0.004016064257028112,Joseph Crowley RECAP,0.8875502008032129
37039,37039,100,162,28,19,1,210,190,19,1,0.7714285714285715,0.13333333333333333,0.09047619047619047,0.004761904761904762,0.9047619047619048,0.09047619047619047,0.004761904761904762,Joseph Crowley RECAP,0.9047619047619048
37063,37063,100,208,28,32,1,269,236,32,1,0.7732342007434945,0.10408921933085502,0.11895910780669144,0.0037174721189591076,0.8773234200743495,0.11895910780669144,0.0037174721189591076,Joseph Crowley RECAP,0.8773234200743495
37064,37064,100,223,52,41,2,318,275,41,2,0.7012578616352201,0.16352201257861634,0.1289308176100629,0.006289308176100629,0.8647798742138365,0.1289308176100629,0.006289308176100629,Joseph Crowley RECAP,0.8647798742138365
37065,37065,100,153,27,27,1,208,180,27,1,0.7355769230769231,0.12980769230769232,0.12980769230769232,0.004807692307692308,0.8653846153846154,0.12980769230769232,0.004807692307692308,Joseph Crowley RECAP,0.8653846153846154
39001,39001,100,138,5,13,0,156,143,13,0,0.8846153846153846,0.03205128205128205,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,Joseph Crowley RECAP,0.9166666666666666
39002,39002,100,134,13,7,0,154,147,7,0,0.8701298701298701,0.08441558441558442,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,0.0,Joseph Crowley RECAP,0.9545454545454546
39003,39003,100,130,8,12,0,150,138,12,0,0.8666666666666667,0.05333333333333334,0.08,0.0,0.92,0.08,0.0,Joseph Crowley RECAP,0.92
39004,39004,100,126,8,9,0,143,134,9,0,0.8811188811188811,0.055944055944055944,0.06293706293706294,0.0,0.9370629370629371,0.06293706293706294,0.0,Joseph Crowley RECAP,0.9370629370629371
39005,39005,100,91,8,8,0,107,99,8,0,0.8504672897196262,0.07476635514018691,0.07476635514018691,0.0,0.9252336448598131,0.07476635514018691,0.0,Joseph Crowley RECAP,0.9252336448598131
39006,39006,100,74,3,0,0,77,77,0,0,0.961038961038961,0.03896103896103896,0.0,0.0,1.0,0.0,0.0,Joseph Crowley RECAP,1.0
39007,39007,100,192,7,13,1,213,199,13,1,0.9014084507042254,0.03286384976525822,0.06103286384976526,0.004694835680751174,0.9342723004694836,0.06103286384976526,0.004694835680751174,Joseph Crowley RECAP,0.9342723004694836
39008,39008,100,103,3,12,0,118,106,12,0,0.8728813559322034,0.025423728813559324,0.1016949152542373,0.0,0.8983050847457628,0.1016949152542373,0.0,Joseph Crowley RECAP,0.8983050847457628
39009,39009,100,124,5,9,0,138,129,9,0,0.8985507246376812,0.036231884057971016,0.06521739130434782,0.0,0.9347826086956522,0.06521739130434782,0.0,Joseph Crowley RECAP,0.9347826086956522
39010,39010,100,128,3,15,0,146,131,15,0,0.8767123287671232,0.02054794520547945,0.10273972602739725,0.0,0.8972602739726028,0.10273972602739725,0.0,Joseph Crowley RECAP,0.8972602739726028
39011,39011,100,81,5,13,0,99,86,13,0,0.8181818181818182,0.050505050505050504,0.13131313131313133,0.0,0.8686868686868687,0.13131313131313133,0.0,Joseph Crowley RECAP,0.8686868686868687
39012,39012,100,124,8,1,0,133,132,1,0,0.9323308270676691,0.06015037593984962,0.007518796992481203,0.0,0.9924812030075187,0.007518796992481203,0.0,Joseph Crowley RECAP,0.9924812030075187
39013,39013,100,79,7,5,1,92,86,5,1,0.8586956521739131,0.07608695652173914,0.05434782608695652,0.010869565217391304,0.9347826086956522,0.05434782608695652,0.010869565217391304,Joseph Crowley RECAP,0.9347826086956522
39014,39014,100,70,4,3,0,77,74,3,0,0.9090909090909091,0.05194805194805195,0.03896103896103896,0.0,0.961038961038961,0.03896103896103896,0.0,Joseph Crowley RECAP,0.961038961038961
39015,39015,100,126,7,11,1,145,133,11,1,0.8689655172413793,0.04827586206896552,0.07586206896551724,0.006896551724137931,0.9172413793103448,0.07586206896551724,0.006896551724137931,Joseph Crowley RECAP,0.9172413793103448
39016,39016,100,128,3,15,0,146,131,15,0,0.8767123287671232,0.02054794520547945,0.10273972602739725,0.0,0.8972602739726028,0.10273972602739725,0.0,Joseph Crowley RECAP,0.8972602739726028
39017,39017,100,109,15,9,1,134,124,9,1,0.8134328358208955,0.11194029850746269,0.06716417910447761,0.007462686567164179,0.9253731343283582,0.06716417910447761,0.007462686567164179,Joseph Crowley RECAP,0.9253731343283582
39018,39018,100,131,41,5,1,178,172,5,1,0.7359550561797753,0.2303370786516854,0.028089887640449437,0.0056179775280898875,0.9662921348314607,0.028089887640449437,0.0056179775280898875,Joseph Crowley RECAP,0.9662921348314607
39019,39019,100,153,20,16,3,192,173,16,3,0.796875,0.10416666666666667,0.08333333333333333,0.015625,0.9010416666666666,0.08333333333333333,0.015625,Joseph Crowley RECAP,0.9010416666666666
39022,39022,100,28,1,4,0,33,29,4,0,0.8484848484848485,0.030303030303030304,0.12121212121212122,0.0,0.8787878787878788,0.12121212121212122,0.0,Joseph Crowley RECAP,0.8787878787878788
39028,39028,100,21,2,2,0,25,23,2,0,0.84,0.08,0.08,0.0,0.92,0.08,0.0,Joseph Crowley RECAP,0.92
39040,39040,100,26,5,3,0,34,31,3,0,0.7647058823529411,0.14705882352941177,0.08823529411764706,0.0,0.9117647058823529,0.08823529411764706,0.0,Joseph Crowley RECAP,0.9117647058823529
39041,39041,100,125,4,9,0,138,129,9,0,0.9057971014492754,0.028985507246376812,0.06521739130434782,0.0,0.9347826086956522,0.06521739130434782,0.0,Joseph Crowley RECAP,0.9347826086956522
39042,39042,100,18,1,0,0,19,19,0,0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.0,0.0,Joseph Crowley RECAP,1.0
39043,39043,100,103,19,9,0,131,122,9,0,0.7862595419847328,0.1450381679389313,0.06870229007633588,0.0,0.9312977099236641,0.06870229007633588,0.0,Joseph Crowley RECAP,0.9312977099236641
39044,39044,100,185,51,23,0,259,236,23,0,0.7142857142857143,0.1969111969111969,0.0888030888030888,0.0,0.9111969111969112,0.0888030888030888,0.0,Joseph Crowley RECAP,0.9111969111969112
39045,39045,100,185,54,17,1,257,239,17,1,0.7198443579766537,0.21011673151750973,0.06614785992217899,0.0038910505836575876,0.9299610894941635,0.06614785992217899,0.0038910505836575876,Joseph Crowley RECAP,0.9299610894941635
39046,39046,100,237,100,35,2,374,337,35,2,0.6336898395721925,0.26737967914438504,0.09358288770053476,0.0053475935828877,0.9010695187165776,0.09358288770053476,0.0053475935828877,Joseph Crowley RECAP,0.9010695187165776
39047,39047,100,217,42,23,0,282,259,23,0,0.7695035460992907,0.14893617021276595,0.08156028368794327,0.0,0.9184397163120568,0.08156028368794327,0.0,Joseph Crowley RECAP,0.9184397163120568
39048,39048,100,99,5,9,1,114,104,9,1,0.868421052631579,0.043859649122807015,0.07894736842105263,0.008771929824561403,0.9122807017543859,0.07894736842105263,0.008771929824561403,Joseph Crowley RECAP,0.9122807017543859
39049,39049,100,147,10,13,1,171,157,13,1,0.8596491228070176,0.05847953216374269,0.07602339181286549,0.005847953216374269,0.9181286549707602,0.07602339181286549,0.005847953216374269,Joseph Crowley RECAP,0.9181286549707602
39050,39050,100,47,1,6,0,54,48,6,0,0.8703703703703703,0.018518518518518517,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.0,Joseph Crowley RECAP,0.8888888888888888
39051,39051,100,115,22,16,0,153,137,16,0,0.7516339869281046,0.1437908496732026,0.10457516339869281,0.0,0.8954248366013072,0.10457516339869281,0.0,Joseph Crowley RECAP,0.8954248366013072
40054,40054,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
40055,40054,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
