ED,Reported As,Reporting,Jeffrey Dinowitz (Democratic),Alan H. Reed (Conservative),Scattered,Jeffrey Dinowitz (Working Families),Total Votes,Jeffrey Dinowitz RECAP,Alan H. Reed RECAP,Scattered RECAP,p_Jeffrey Dinowitz (Democratic),p_Alan H. Reed (Conservative),p_Scattered,p_Jeffrey Dinowitz (Working Families),p_Jeffrey Dinowitz RECAP,p_Alan H. Reed RECAP,p_Scattered RECAP,winner,winner_p
81052,81052,100,79,15,0,8,102,87,15,0,0.7745098039215687,0.14705882352941177,0.0,0.0784313725490196,0.8529411764705882,0.14705882352941177,0.0,Jeffrey Dinowitz RECAP,0.8529411764705882
81053,81053,100,72,14,0,7,93,79,14,0,0.7741935483870968,0.15053763440860216,0.0,0.07526881720430108,0.8494623655913979,0.15053763440860216,0.0,Jeffrey Dinowitz RECAP,0.8494623655913979
81054,81054,100,132,22,2,24,180,156,22,2,0.7333333333333333,0.12222222222222222,0.011111111111111112,0.13333333333333333,0.8666666666666667,0.12222222222222222,0.011111111111111112,Jeffrey Dinowitz RECAP,0.8666666666666667
81055,81055,100,216,33,0,27,276,243,33,0,0.782608695652174,0.11956521739130435,0.0,0.09782608695652174,0.8804347826086957,0.11956521739130435,0.0,Jeffrey Dinowitz RECAP,0.8804347826086957
81056,81056,100,160,27,0,14,201,174,27,0,0.7960199004975125,0.13432835820895522,0.0,0.06965174129353234,0.8656716417910447,0.13432835820895522,0.0,Jeffrey Dinowitz RECAP,0.8656716417910447
81057,81057,100,92,20,0,20,132,112,20,0,0.696969696969697,0.15151515151515152,0.0,0.15151515151515152,0.8484848484848485,0.15151515151515152,0.0,Jeffrey Dinowitz RECAP,0.8484848484848485
81058,81058,100,137,15,1,16,169,153,15,1,0.8106508875739645,0.08875739644970414,0.005917159763313609,0.09467455621301775,0.9053254437869822,0.08875739644970414,0.005917159763313609,Jeffrey Dinowitz RECAP,0.9053254437869822
81059,81059,100,103,29,3,21,156,124,29,3,0.6602564102564102,0.1858974358974359,0.019230769230769232,0.1346153846153846,0.7948717948717948,0.1858974358974359,0.019230769230769232,Jeffrey Dinowitz RECAP,0.7948717948717948
81060,81060,100,119,47,0,19,185,138,47,0,0.6432432432432432,0.25405405405405407,0.0,0.10270270270270271,0.745945945945946,0.25405405405405407,0.0,Jeffrey Dinowitz RECAP,0.745945945945946
81061,81061,100,88,15,1,15,119,103,15,1,0.7394957983193278,0.12605042016806722,0.008403361344537815,0.12605042016806722,0.865546218487395,0.12605042016806722,0.008403361344537815,Jeffrey Dinowitz RECAP,0.865546218487395
