ED,Reported As,Reporting,Jose Rivera (Democratic),Fernando P. Tirado (Independence),Scattered,Fernando P. Tirado (Republican),Total Votes,Jose Rivera RECAP,Fernando P. Tirado RECAP,Scattered RECAP,p_Jose Rivera (Democratic),p_Fernando P. Tirado (Independence),p_Scattered,p_Fernando P. Tirado (Republican),p_Jose Rivera RECAP,p_Fernando P. Tirado RECAP,p_Scattered RECAP,winner,winner_p
78032,78032,100,192,5,2,35,234,192,40,2,0.8205128205128205,0.021367521367521368,0.008547008547008548,0.14957264957264957,0.8205128205128205,0.17094017094017094,0.008547008547008548,Jose Rivera RECAP,0.8205128205128205
78033,78033,100,151,14,0,32,197,151,46,0,0.766497461928934,0.07106598984771574,0.0,0.16243654822335024,0.766497461928934,0.233502538071066,0.0,Jose Rivera RECAP,0.766497461928934
78034,78034,100,93,2,0,17,112,93,19,0,0.8303571428571429,0.017857142857142856,0.0,0.15178571428571427,0.8303571428571429,0.16964285714285715,0.0,Jose Rivera RECAP,0.8303571428571429
78035,78035,100,42,3,0,8,53,42,11,0,0.7924528301886793,0.05660377358490566,0.0,0.1509433962264151,0.7924528301886793,0.20754716981132076,0.0,Jose Rivera RECAP,0.7924528301886793
78036,78036,100,107,6,1,8,122,107,14,1,0.8770491803278688,0.04918032786885246,0.00819672131147541,0.06557377049180328,0.8770491803278688,0.11475409836065574,0.00819672131147541,Jose Rivera RECAP,0.8770491803278688
78037,78037,100,29,1,0,3,33,29,4,0,0.8787878787878788,0.030303030303030304,0.0,0.09090909090909091,0.8787878787878788,0.12121212121212122,0.0,Jose Rivera RECAP,0.8787878787878788
78038,78038,100,136,7,2,16,161,136,23,2,0.84472049689441,0.043478260869565216,0.012422360248447204,0.09937888198757763,0.84472049689441,0.14285714285714285,0.012422360248447204,Jose Rivera RECAP,0.84472049689441
78039,78039,100,49,1,0,12,62,49,13,0,0.7903225806451613,0.016129032258064516,0.0,0.1935483870967742,0.7903225806451613,0.20967741935483872,0.0,Jose Rivera RECAP,0.7903225806451613
78040,78040,100,244,9,0,49,302,244,58,0,0.8079470198675497,0.029801324503311258,0.0,0.16225165562913907,0.8079470198675497,0.19205298013245034,0.0,Jose Rivera RECAP,0.8079470198675497
78041,78041,100,125,9,0,38,172,125,47,0,0.7267441860465116,0.05232558139534884,0.0,0.22093023255813954,0.7267441860465116,0.27325581395348836,0.0,Jose Rivera RECAP,0.7267441860465116
78042,78042,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78043,78043,100,60,4,0,1,65,60,5,0,0.9230769230769231,0.06153846153846154,0.0,0.015384615384615385,0.9230769230769231,0.07692307692307693,0.0,Jose Rivera RECAP,0.9230769230769231
78044,78044,100,178,3,0,20,201,178,23,0,0.8855721393034826,0.014925373134328358,0.0,0.09950248756218906,0.8855721393034826,0.11442786069651742,0.0,Jose Rivera RECAP,0.8855721393034826
78045,78045,100,178,2,0,9,189,178,11,0,0.9417989417989417,0.010582010582010581,0.0,0.047619047619047616,0.9417989417989417,0.0582010582010582,0.0,Jose Rivera RECAP,0.9417989417989417
78046,78046,100,164,2,0,11,177,164,13,0,0.9265536723163842,0.011299435028248588,0.0,0.062146892655367235,0.9265536723163842,0.07344632768361582,0.0,Jose Rivera RECAP,0.9265536723163842
78047,78047,100,104,0,1,11,116,104,11,1,0.896551724137931,0.0,0.008620689655172414,0.09482758620689655,0.896551724137931,0.09482758620689655,0.008620689655172414,Jose Rivera RECAP,0.896551724137931
78048,78048,100,261,14,0,27,302,261,41,0,0.8642384105960265,0.046357615894039736,0.0,0.08940397350993377,0.8642384105960265,0.1357615894039735,0.0,Jose Rivera RECAP,0.8642384105960265
78049,78049,100,185,4,0,10,199,185,14,0,0.9296482412060302,0.020100502512562814,0.0,0.05025125628140704,0.9296482412060302,0.07035175879396985,0.0,Jose Rivera RECAP,0.9296482412060302
78050,78050,100,177,1,1,12,191,177,13,1,0.9267015706806283,0.005235602094240838,0.005235602094240838,0.06282722513089005,0.9267015706806283,0.06806282722513089,0.005235602094240838,Jose Rivera RECAP,0.9267015706806283
78051,78051,100,198,1,0,8,207,198,9,0,0.9565217391304348,0.004830917874396135,0.0,0.03864734299516908,0.9565217391304348,0.043478260869565216,0.0,Jose Rivera RECAP,0.9565217391304348
78052,78052,100,145,2,0,13,160,145,15,0,0.90625,0.0125,0.0,0.08125,0.90625,0.09375,0.0,Jose Rivera RECAP,0.90625
78053,78053,100,101,4,0,8,113,101,12,0,0.8938053097345132,0.035398230088495575,0.0,0.07079646017699115,0.8938053097345132,0.10619469026548672,0.0,Jose Rivera RECAP,0.8938053097345132
78054,78054,100,88,2,0,4,94,88,6,0,0.9361702127659575,0.02127659574468085,0.0,0.0425531914893617,0.9361702127659575,0.06382978723404255,0.0,Jose Rivera RECAP,0.9361702127659575
78055,78055,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78056,78056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78057,78057,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78058,78037,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
