ED,Reported As,Reporting,Hakeem S. Jeffries (Working Families),Alan Bellone (Conservative),Hakeem S. Jeffries (Democratic),Scattered,Total Votes,Hakeem S. Jeffries RECAP,Alan Bellone RECAP,Scattered RECAP,p_Hakeem S. Jeffries (Working Families),p_Alan Bellone (Conservative),p_Hakeem S. Jeffries (Democratic),p_Scattered,p_Hakeem S. Jeffries RECAP,p_Alan Bellone RECAP,p_Scattered RECAP,winner,winner_p
60012,60012,100,8,2,97,0,107,105,2,0,0.07476635514018691,0.018691588785046728,0.9065420560747663,0.0,0.9813084112149533,0.018691588785046728,0.0,Hakeem S. Jeffries RECAP,0.9813084112149533
60013,60013,100,19,4,215,0,238,234,4,0,0.07983193277310924,0.01680672268907563,0.9033613445378151,0.0,0.9831932773109243,0.01680672268907563,0.0,Hakeem S. Jeffries RECAP,0.9831932773109243
60014,60014,100,9,3,214,0,226,223,3,0,0.03982300884955752,0.01327433628318584,0.9469026548672567,0.0,0.9867256637168141,0.01327433628318584,0.0,Hakeem S. Jeffries RECAP,0.9867256637168141
60015,60015,100,6,1,98,0,105,104,1,0,0.05714285714285714,0.009523809523809525,0.9333333333333333,0.0,0.9904761904761905,0.009523809523809525,0.0,Hakeem S. Jeffries RECAP,0.9904761904761905
60016,60016,100,1,0,65,0,66,66,0,0,0.015151515151515152,0.0,0.9848484848484849,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60017,60017,100,12,9,201,0,222,213,9,0,0.05405405405405406,0.04054054054054054,0.9054054054054054,0.0,0.9594594594594594,0.04054054054054054,0.0,Hakeem S. Jeffries RECAP,0.9594594594594594
60018,60018,100,3,3,103,0,109,106,3,0,0.027522935779816515,0.027522935779816515,0.944954128440367,0.0,0.9724770642201835,0.027522935779816515,0.0,Hakeem S. Jeffries RECAP,0.9724770642201835
60019,60019,100,2,0,53,0,55,55,0,0,0.03636363636363636,0.0,0.9636363636363636,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60020,60020,100,2,0,22,0,24,24,0,0,0.08333333333333333,0.0,0.9166666666666666,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60021,60021,100,11,1,147,0,159,158,1,0,0.06918238993710692,0.006289308176100629,0.9245283018867925,0.0,0.9937106918238994,0.006289308176100629,0.0,Hakeem S. Jeffries RECAP,0.9937106918238994
