ED,Reported As,Reporting,Selsia M. Evans (Conservative),Marsha D. Michael (Working Families),Selsia M. Evans (Republican),Scattered,Michael A. Blake (Democratic),Total Votes,Selsia M. Evans RECAP,Marsha D. Michael RECAP,Scattered RECAP,Michael A. Blake RECAP,p_Selsia M. Evans (Conservative),p_Marsha D. Michael (Working Families),p_Selsia M. Evans (Republican),p_Scattered,p_Michael A. Blake (Democratic),p_Selsia M. Evans RECAP,p_Marsha D. Michael RECAP,p_Scattered RECAP,p_Michael A. Blake RECAP,winner,winner_p
79033,79033,100,0,7,2,0,87,96,2,7,0,87,0.0,0.07291666666666667,0.020833333333333332,0.0,0.90625,0.020833333333333332,0.07291666666666667,0.0,0.90625,Michael A. Blake RECAP,0.90625
79034,79034,100,1,14,6,0,247,268,7,14,0,247,0.0037313432835820895,0.05223880597014925,0.022388059701492536,0.0,0.9216417910447762,0.026119402985074626,0.05223880597014925,0.0,0.9216417910447762,Michael A. Blake RECAP,0.9216417910447762
79035,79035,100,2,5,9,0,136,152,11,5,0,136,0.013157894736842105,0.03289473684210526,0.05921052631578947,0.0,0.8947368421052632,0.07236842105263158,0.03289473684210526,0.0,0.8947368421052632,Michael A. Blake RECAP,0.8947368421052632
79036,79036,100,0,7,0,0,145,152,0,7,0,145,0.0,0.046052631578947366,0.0,0.0,0.9539473684210527,0.0,0.046052631578947366,0.0,0.9539473684210527,Michael A. Blake RECAP,0.9539473684210527
79037,79037,100,1,1,7,0,222,231,8,1,0,222,0.004329004329004329,0.004329004329004329,0.030303030303030304,0.0,0.961038961038961,0.03463203463203463,0.004329004329004329,0.0,0.961038961038961,Michael A. Blake RECAP,0.961038961038961
79038,79038,100,1,12,5,0,128,146,6,12,0,128,0.00684931506849315,0.0821917808219178,0.03424657534246575,0.0,0.8767123287671232,0.0410958904109589,0.0821917808219178,0.0,0.8767123287671232,Michael A. Blake RECAP,0.8767123287671232
79039,79039,100,0,11,1,0,143,155,1,11,0,143,0.0,0.07096774193548387,0.0064516129032258064,0.0,0.9225806451612903,0.0064516129032258064,0.07096774193548387,0.0,0.9225806451612903,Michael A. Blake RECAP,0.9225806451612903
79040,79040,100,0,10,0,0,168,178,0,10,0,168,0.0,0.056179775280898875,0.0,0.0,0.9438202247191011,0.0,0.056179775280898875,0.0,0.9438202247191011,Michael A. Blake RECAP,0.9438202247191011
79041,79041,100,1,9,3,0,106,119,4,9,0,106,0.008403361344537815,0.07563025210084033,0.025210084033613446,0.0,0.8907563025210085,0.03361344537815126,0.07563025210084033,0.0,0.8907563025210085,Michael A. Blake RECAP,0.8907563025210085
79042,79042,100,4,9,3,0,128,144,7,9,0,128,0.027777777777777776,0.0625,0.020833333333333332,0.0,0.8888888888888888,0.04861111111111111,0.0625,0.0,0.8888888888888888,Michael A. Blake RECAP,0.8888888888888888
79043,79043,100,2,8,8,0,97,115,10,8,0,97,0.017391304347826087,0.06956521739130435,0.06956521739130435,0.0,0.8434782608695652,0.08695652173913043,0.06956521739130435,0.0,0.8434782608695652,Michael A. Blake RECAP,0.8434782608695652
79044,79044,100,5,2,6,0,113,126,11,2,0,113,0.03968253968253968,0.015873015873015872,0.047619047619047616,0.0,0.8968253968253969,0.0873015873015873,0.015873015873015872,0.0,0.8968253968253969,Michael A. Blake RECAP,0.8968253968253969
79045,79045,100,0,6,1,0,96,103,1,6,0,96,0.0,0.05825242718446602,0.009708737864077669,0.0,0.9320388349514563,0.009708737864077669,0.05825242718446602,0.0,0.9320388349514563,Michael A. Blake RECAP,0.9320388349514563
79046,79046,100,1,3,3,0,152,159,4,3,0,152,0.006289308176100629,0.018867924528301886,0.018867924528301886,0.0,0.9559748427672956,0.025157232704402517,0.018867924528301886,0.0,0.9559748427672956,Michael A. Blake RECAP,0.9559748427672956
79047,79047,100,0,4,2,0,170,176,2,4,0,170,0.0,0.022727272727272728,0.011363636363636364,0.0,0.9659090909090909,0.011363636363636364,0.022727272727272728,0.0,0.9659090909090909,Michael A. Blake RECAP,0.9659090909090909
79048,79048,100,0,4,4,0,131,139,4,4,0,131,0.0,0.02877697841726619,0.02877697841726619,0.0,0.9424460431654677,0.02877697841726619,0.02877697841726619,0.0,0.9424460431654677,Michael A. Blake RECAP,0.9424460431654677
79049,79049,100,0,0,0,1,90,91,0,0,1,90,0.0,0.0,0.0,0.01098901098901099,0.989010989010989,0.0,0.0,0.01098901098901099,0.989010989010989,Michael A. Blake RECAP,0.989010989010989
79050,79050,100,0,5,3,0,102,110,3,5,0,102,0.0,0.045454545454545456,0.02727272727272727,0.0,0.9272727272727272,0.02727272727272727,0.045454545454545456,0.0,0.9272727272727272,Michael A. Blake RECAP,0.9272727272727272
79051,79051,100,1,15,2,0,189,207,3,15,0,189,0.004830917874396135,0.07246376811594203,0.00966183574879227,0.0,0.9130434782608695,0.014492753623188406,0.07246376811594203,0.0,0.9130434782608695,Michael A. Blake RECAP,0.9130434782608695
79052,79052,100,2,9,7,0,174,192,9,9,0,174,0.010416666666666666,0.046875,0.036458333333333336,0.0,0.90625,0.046875,0.046875,0.0,0.90625,Michael A. Blake RECAP,0.90625
79053,79053,100,1,11,3,0,120,135,4,11,0,120,0.007407407407407408,0.08148148148148149,0.022222222222222223,0.0,0.8888888888888888,0.02962962962962963,0.08148148148148149,0.0,0.8888888888888888,Michael A. Blake RECAP,0.8888888888888888
79054,79054,100,0,2,3,1,87,93,3,2,1,87,0.0,0.021505376344086023,0.03225806451612903,0.010752688172043012,0.9354838709677419,0.03225806451612903,0.021505376344086023,0.010752688172043012,0.9354838709677419,Michael A. Blake RECAP,0.9354838709677419
79055,79055,100,0,4,2,0,33,39,2,4,0,33,0.0,0.10256410256410256,0.05128205128205128,0.0,0.8461538461538461,0.05128205128205128,0.10256410256410256,0.0,0.8461538461538461,Michael A. Blake RECAP,0.8461538461538461
79056,79056,100,1,12,6,0,184,203,7,12,0,184,0.0049261083743842365,0.059113300492610835,0.029556650246305417,0.0,0.9064039408866995,0.034482758620689655,0.059113300492610835,0.0,0.9064039408866995,Michael A. Blake RECAP,0.9064039408866995
79057,79057,100,3,17,5,1,216,242,8,17,1,216,0.012396694214876033,0.07024793388429752,0.02066115702479339,0.004132231404958678,0.8925619834710744,0.03305785123966942,0.07024793388429752,0.004132231404958678,0.8925619834710744,Michael A. Blake RECAP,0.8925619834710744
79058,79058,100,0,1,7,0,116,124,7,1,0,116,0.0,0.008064516129032258,0.056451612903225805,0.0,0.9354838709677419,0.056451612903225805,0.008064516129032258,0.0,0.9354838709677419,Michael A. Blake RECAP,0.9354838709677419
79059,79059,100,1,8,6,0,111,126,7,8,0,111,0.007936507936507936,0.06349206349206349,0.047619047619047616,0.0,0.8809523809523809,0.05555555555555555,0.06349206349206349,0.0,0.8809523809523809,Michael A. Blake RECAP,0.8809523809523809
79060,79060,100,0,1,0,0,78,79,0,1,0,78,0.0,0.012658227848101266,0.0,0.0,0.9873417721518988,0.0,0.012658227848101266,0.0,0.9873417721518988,Michael A. Blake RECAP,0.9873417721518988
79061,79061,100,1,3,6,0,179,189,7,3,0,179,0.005291005291005291,0.015873015873015872,0.031746031746031744,0.0,0.9470899470899471,0.037037037037037035,0.015873015873015872,0.0,0.9470899470899471,Michael A. Blake RECAP,0.9470899470899471
79062,79062,100,1,5,6,0,105,117,7,5,0,105,0.008547008547008548,0.042735042735042736,0.05128205128205128,0.0,0.8974358974358975,0.05982905982905983,0.042735042735042736,0.0,0.8974358974358975,Michael A. Blake RECAP,0.8974358974358975
79063,79063,100,2,7,6,0,121,136,8,7,0,121,0.014705882352941176,0.051470588235294115,0.04411764705882353,0.0,0.8897058823529411,0.058823529411764705,0.051470588235294115,0.0,0.8897058823529411,Michael A. Blake RECAP,0.8897058823529411
79064,79064,100,1,1,1,0,68,71,2,1,0,68,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.9577464788732394,0.028169014084507043,0.014084507042253521,0.0,0.9577464788732394,Michael A. Blake RECAP,0.9577464788732394
79065,79065,100,0,8,1,0,115,124,1,8,0,115,0.0,0.06451612903225806,0.008064516129032258,0.0,0.9274193548387096,0.008064516129032258,0.06451612903225806,0.0,0.9274193548387096,Michael A. Blake RECAP,0.9274193548387096
79066,79066,100,0,2,3,0,136,141,3,2,0,136,0.0,0.014184397163120567,0.02127659574468085,0.0,0.9645390070921985,0.02127659574468085,0.014184397163120567,0.0,0.9645390070921985,Michael A. Blake RECAP,0.9645390070921985
79067,79067,100,0,4,4,0,80,88,4,4,0,80,0.0,0.045454545454545456,0.045454545454545456,0.0,0.9090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.9090909090909091,Michael A. Blake RECAP,0.9090909090909091
79068,79068,100,3,29,3,0,306,341,6,29,0,306,0.008797653958944282,0.08504398826979472,0.008797653958944282,0.0,0.8973607038123167,0.017595307917888565,0.08504398826979472,0.0,0.8973607038123167,Michael A. Blake RECAP,0.8973607038123167
79069,79069,100,4,19,5,0,357,385,9,19,0,357,0.01038961038961039,0.04935064935064935,0.012987012987012988,0.0,0.9272727272727272,0.023376623376623377,0.04935064935064935,0.0,0.9272727272727272,Michael A. Blake RECAP,0.9272727272727272
79070,79070,100,3,19,2,0,329,353,5,19,0,329,0.0084985835694051,0.053824362606232294,0.0056657223796034,0.0,0.9320113314447592,0.014164305949008499,0.053824362606232294,0.0,0.9320113314447592,Michael A. Blake RECAP,0.9320113314447592
79071,79071,100,1,8,4,0,130,143,5,8,0,130,0.006993006993006993,0.055944055944055944,0.027972027972027972,0.0,0.9090909090909091,0.03496503496503497,0.055944055944055944,0.0,0.9090909090909091,Michael A. Blake RECAP,0.9090909090909091
79072,79072,100,1,12,9,0,135,157,10,12,0,135,0.006369426751592357,0.07643312101910828,0.05732484076433121,0.0,0.8598726114649682,0.06369426751592357,0.07643312101910828,0.0,0.8598726114649682,Michael A. Blake RECAP,0.8598726114649682
79073,79073,100,0,4,4,0,96,104,4,4,0,96,0.0,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231,Michael A. Blake RECAP,0.9230769230769231
79075,79075,100,1,8,10,0,152,171,11,8,0,152,0.005847953216374269,0.04678362573099415,0.05847953216374269,0.0,0.8888888888888888,0.06432748538011696,0.04678362573099415,0.0,0.8888888888888888,Michael A. Blake RECAP,0.8888888888888888
79076,79076,100,2,11,9,0,107,129,11,11,0,107,0.015503875968992248,0.08527131782945736,0.06976744186046512,0.0,0.8294573643410853,0.08527131782945736,0.08527131782945736,0.0,0.8294573643410853,Michael A. Blake RECAP,0.8294573643410853
79077,79077,100,0,2,4,0,65,71,4,2,0,65,0.0,0.028169014084507043,0.056338028169014086,0.0,0.9154929577464789,0.056338028169014086,0.028169014084507043,0.0,0.9154929577464789,Michael A. Blake RECAP,0.9154929577464789
79078,79078,100,0,5,0,0,42,47,0,5,0,42,0.0,0.10638297872340426,0.0,0.0,0.8936170212765957,0.0,0.10638297872340426,0.0,0.8936170212765957,Michael A. Blake RECAP,0.8936170212765957
79079,79079,100,3,2,3,1,185,194,6,2,1,185,0.015463917525773196,0.010309278350515464,0.015463917525773196,0.005154639175257732,0.9536082474226805,0.030927835051546393,0.010309278350515464,0.005154639175257732,0.9536082474226805,Michael A. Blake RECAP,0.9536082474226805
79080,79080,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
79081,79081,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
