ED,Reported As,Reporting,Andrew J. Lanza (Conservative),Andrew J. Lanza (Republican),Gary W. Carsel (Democratic),Andrew J. Lanza (Independence),Scattered,Gary W. Carsel (Working Families),Total Votes,Andrew J. Lanza RECAP,Gary W. Carsel RECAP,Scattered RECAP,p_Andrew J. Lanza (Conservative),p_Andrew J. Lanza (Republican),p_Gary W. Carsel (Democratic),p_Andrew J. Lanza (Independence),p_Scattered,p_Gary W. Carsel (Working Families),p_Andrew J. Lanza RECAP,p_Gary W. Carsel RECAP,p_Scattered RECAP,winner,winner_p
62008,62008,100,43,236,38,20,0,4,341,299,42,0,0.12609970674486803,0.6920821114369502,0.11143695014662756,0.05865102639296188,0.0,0.011730205278592375,0.8768328445747801,0.12316715542521994,0.0,Andrew J. Lanza RECAP,0.8768328445747801
62009,62009,100,19,139,32,5,0,3,198,163,35,0,0.09595959595959595,0.702020202020202,0.16161616161616163,0.025252525252525252,0.0,0.015151515151515152,0.8232323232323232,0.17676767676767677,0.0,Andrew J. Lanza RECAP,0.8232323232323232
62010,62010,100,14,125,20,11,0,6,176,150,26,0,0.07954545454545454,0.7102272727272727,0.11363636363636363,0.0625,0.0,0.03409090909090909,0.8522727272727273,0.14772727272727273,0.0,Andrew J. Lanza RECAP,0.8522727272727273
62011,62011,100,41,225,30,11,0,5,312,277,35,0,0.13141025641025642,0.7211538461538461,0.09615384615384616,0.035256410256410256,0.0,0.016025641025641024,0.8878205128205128,0.11217948717948718,0.0,Andrew J. Lanza RECAP,0.8878205128205128
62012,62012,100,18,178,48,13,0,2,259,209,50,0,0.0694980694980695,0.6872586872586872,0.18532818532818532,0.05019305019305019,0.0,0.007722007722007722,0.806949806949807,0.19305019305019305,0.0,Andrew J. Lanza RECAP,0.806949806949807
62013,62013,100,18,201,55,13,0,8,295,232,63,0,0.061016949152542375,0.6813559322033899,0.1864406779661017,0.04406779661016949,0.0,0.02711864406779661,0.7864406779661017,0.2135593220338983,0.0,Andrew J. Lanza RECAP,0.7864406779661017
62014,62014,100,15,181,39,11,0,1,247,207,40,0,0.06072874493927125,0.7327935222672065,0.15789473684210525,0.044534412955465584,0.0,0.004048582995951417,0.8380566801619433,0.16194331983805668,0.0,Andrew J. Lanza RECAP,0.8380566801619433
62015,62015,100,29,176,44,13,0,4,266,218,48,0,0.10902255639097744,0.6616541353383458,0.16541353383458646,0.04887218045112782,0.0,0.015037593984962405,0.8195488721804511,0.18045112781954886,0.0,Andrew J. Lanza RECAP,0.8195488721804511
62016,62016,100,21,184,44,22,1,5,277,227,49,1,0.07581227436823104,0.6642599277978339,0.1588447653429603,0.07942238267148015,0.0036101083032490976,0.018050541516245487,0.8194945848375451,0.17689530685920576,0.0036101083032490976,Andrew J. Lanza RECAP,0.8194945848375451
62017,62017,100,18,201,42,6,0,5,272,225,47,0,0.0661764705882353,0.7389705882352942,0.15441176470588236,0.022058823529411766,0.0,0.01838235294117647,0.8272058823529411,0.17279411764705882,0.0,Andrew J. Lanza RECAP,0.8272058823529411
