ED,Reported As,Reporting,William S. Davidson Jr. (Republican),Joseph R. Lentol (Democratic),Scattered,Total Votes,William S. Davidson Jr. RECAP,Joseph R. Lentol RECAP,Scattered RECAP,p_William S. Davidson Jr. (Republican),p_Joseph R. Lentol (Democratic),p_Scattered,p_William S. Davidson Jr. RECAP,p_Joseph R. Lentol RECAP,p_Scattered RECAP,winner,winner_p
50029,50029,100,18,197,2,217,18,197,2,0.08294930875576037,0.9078341013824884,0.009216589861751152,0.08294930875576037,0.9078341013824884,0.009216589861751152,Joseph R. Lentol RECAP,0.9078341013824884
50030,50030,100,41,156,0,197,41,156,0,0.20812182741116753,0.7918781725888325,0.0,0.20812182741116753,0.7918781725888325,0.0,Joseph R. Lentol RECAP,0.7918781725888325
50031,50031,100,24,208,0,232,24,208,0,0.10344827586206896,0.896551724137931,0.0,0.10344827586206896,0.896551724137931,0.0,Joseph R. Lentol RECAP,0.896551724137931
50032,50032,100,37,206,1,244,37,206,1,0.15163934426229508,0.8442622950819673,0.004098360655737705,0.15163934426229508,0.8442622950819673,0.004098360655737705,Joseph R. Lentol RECAP,0.8442622950819673
50033,50033,100,28,210,0,238,28,210,0,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,0.8823529411764706,0.0,Joseph R. Lentol RECAP,0.8823529411764706
50034,50034,100,34,176,1,211,34,176,1,0.16113744075829384,0.8341232227488151,0.004739336492890996,0.16113744075829384,0.8341232227488151,0.004739336492890996,Joseph R. Lentol RECAP,0.8341232227488151
50035,50035,100,34,205,1,240,34,205,1,0.14166666666666666,0.8541666666666666,0.004166666666666667,0.14166666666666666,0.8541666666666666,0.004166666666666667,Joseph R. Lentol RECAP,0.8541666666666666
50036,50036,100,3,13,0,16,3,13,0,0.1875,0.8125,0.0,0.1875,0.8125,0.0,Joseph R. Lentol RECAP,0.8125
50037,50037,100,20,198,0,218,20,198,0,0.09174311926605505,0.908256880733945,0.0,0.09174311926605505,0.908256880733945,0.0,Joseph R. Lentol RECAP,0.908256880733945
50038,50038,100,7,170,1,178,7,170,1,0.03932584269662921,0.9550561797752809,0.0056179775280898875,0.03932584269662921,0.9550561797752809,0.0056179775280898875,Joseph R. Lentol RECAP,0.9550561797752809
50039,50039,100,10,127,0,137,10,127,0,0.072992700729927,0.927007299270073,0.0,0.072992700729927,0.927007299270073,0.0,Joseph R. Lentol RECAP,0.927007299270073
50040,50040,100,24,200,0,224,24,200,0,0.10714285714285714,0.8928571428571429,0.0,0.10714285714285714,0.8928571428571429,0.0,Joseph R. Lentol RECAP,0.8928571428571429
50041,50041,100,24,186,1,211,24,186,1,0.11374407582938388,0.8815165876777251,0.004739336492890996,0.11374407582938388,0.8815165876777251,0.004739336492890996,Joseph R. Lentol RECAP,0.8815165876777251
50042,50042,100,21,210,2,233,21,210,2,0.09012875536480687,0.9012875536480687,0.008583690987124463,0.09012875536480687,0.9012875536480687,0.008583690987124463,Joseph R. Lentol RECAP,0.9012875536480687
50043,50043,100,11,98,0,109,11,98,0,0.10091743119266056,0.8990825688073395,0.0,0.10091743119266056,0.8990825688073395,0.0,Joseph R. Lentol RECAP,0.8990825688073395
50044,50044,100,14,209,1,224,14,209,1,0.0625,0.9330357142857143,0.004464285714285714,0.0625,0.9330357142857143,0.004464285714285714,Joseph R. Lentol RECAP,0.9330357142857143
50045,50045,100,3,30,0,33,3,30,0,0.09090909090909091,0.9090909090909091,0.0,0.09090909090909091,0.9090909090909091,0.0,Joseph R. Lentol RECAP,0.9090909090909091
50046,50046,100,16,124,0,140,16,124,0,0.11428571428571428,0.8857142857142857,0.0,0.11428571428571428,0.8857142857142857,0.0,Joseph R. Lentol RECAP,0.8857142857142857
50047,50047,100,10,85,0,95,10,85,0,0.10526315789473684,0.8947368421052632,0.0,0.10526315789473684,0.8947368421052632,0.0,Joseph R. Lentol RECAP,0.8947368421052632
50048,50048,100,17,115,0,132,17,115,0,0.12878787878787878,0.8712121212121212,0.0,0.12878787878787878,0.8712121212121212,0.0,Joseph R. Lentol RECAP,0.8712121212121212
50049,50049,100,15,186,0,201,15,186,0,0.07462686567164178,0.9253731343283582,0.0,0.07462686567164178,0.9253731343283582,0.0,Joseph R. Lentol RECAP,0.9253731343283582
50050,50050,100,17,127,0,144,17,127,0,0.11805555555555555,0.8819444444444444,0.0,0.11805555555555555,0.8819444444444444,0.0,Joseph R. Lentol RECAP,0.8819444444444444
50051,50051,100,5,93,0,98,5,93,0,0.05102040816326531,0.9489795918367347,0.0,0.05102040816326531,0.9489795918367347,0.0,Joseph R. Lentol RECAP,0.9489795918367347
50052,50052,100,10,138,0,148,10,138,0,0.06756756756756757,0.9324324324324325,0.0,0.06756756756756757,0.9324324324324325,0.0,Joseph R. Lentol RECAP,0.9324324324324325
50053,50053,100,4,63,0,67,4,63,0,0.05970149253731343,0.9402985074626866,0.0,0.05970149253731343,0.9402985074626866,0.0,Joseph R. Lentol RECAP,0.9402985074626866
50054,50054,100,7,54,0,61,7,54,0,0.11475409836065574,0.8852459016393442,0.0,0.11475409836065574,0.8852459016393442,0.0,Joseph R. Lentol RECAP,0.8852459016393442
50055,50055,100,7,31,0,38,7,31,0,0.18421052631578946,0.8157894736842105,0.0,0.18421052631578946,0.8157894736842105,0.0,Joseph R. Lentol RECAP,0.8157894736842105
50057,50057,100,10,103,0,113,10,103,0,0.08849557522123894,0.911504424778761,0.0,0.08849557522123894,0.911504424778761,0.0,Joseph R. Lentol RECAP,0.911504424778761
50058,50058,100,8,97,0,105,8,97,0,0.0761904761904762,0.9238095238095239,0.0,0.0761904761904762,0.9238095238095239,0.0,Joseph R. Lentol RECAP,0.9238095238095239
50059,50059,100,8,109,0,117,8,109,0,0.06837606837606838,0.9316239316239316,0.0,0.06837606837606838,0.9316239316239316,0.0,Joseph R. Lentol RECAP,0.9316239316239316
50060,50060,100,10,131,2,143,10,131,2,0.06993006993006994,0.916083916083916,0.013986013986013986,0.06993006993006994,0.916083916083916,0.013986013986013986,Joseph R. Lentol RECAP,0.916083916083916
50061,50061,100,9,100,1,110,9,100,1,0.08181818181818182,0.9090909090909091,0.00909090909090909,0.08181818181818182,0.9090909090909091,0.00909090909090909,Joseph R. Lentol RECAP,0.9090909090909091
50062,50062,100,5,113,0,118,5,113,0,0.0423728813559322,0.9576271186440678,0.0,0.0423728813559322,0.9576271186440678,0.0,Joseph R. Lentol RECAP,0.9576271186440678
50063,50063,100,3,107,1,111,3,107,1,0.02702702702702703,0.963963963963964,0.009009009009009009,0.02702702702702703,0.963963963963964,0.009009009009009009,Joseph R. Lentol RECAP,0.963963963963964
50064,50064,100,7,29,1,37,7,29,1,0.1891891891891892,0.7837837837837838,0.02702702702702703,0.1891891891891892,0.7837837837837838,0.02702702702702703,Joseph R. Lentol RECAP,0.7837837837837838
50065,50065,100,6,63,0,69,6,63,0,0.08695652173913043,0.9130434782608695,0.0,0.08695652173913043,0.9130434782608695,0.0,Joseph R. Lentol RECAP,0.9130434782608695
50066,50066,100,5,55,0,60,5,55,0,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.0,Joseph R. Lentol RECAP,0.9166666666666666
50067,50067,100,2,35,3,40,2,35,3,0.05,0.875,0.075,0.05,0.875,0.075,Joseph R. Lentol RECAP,0.875
50068,50068,100,4,62,0,66,4,62,0,0.06060606060606061,0.9393939393939394,0.0,0.06060606060606061,0.9393939393939394,0.0,Joseph R. Lentol RECAP,0.9393939393939394
50069,50069,100,11,76,0,87,11,76,0,0.12643678160919541,0.8735632183908046,0.0,0.12643678160919541,0.8735632183908046,0.0,Joseph R. Lentol RECAP,0.8735632183908046
50070,50070,100,7,37,0,44,7,37,0,0.1590909090909091,0.8409090909090909,0.0,0.1590909090909091,0.8409090909090909,0.0,Joseph R. Lentol RECAP,0.8409090909090909
50071,50071,100,3,17,0,20,3,17,0,0.15,0.85,0.0,0.15,0.85,0.0,Joseph R. Lentol RECAP,0.85
50072,50072,100,6,33,0,39,6,33,0,0.15384615384615385,0.8461538461538461,0.0,0.15384615384615385,0.8461538461538461,0.0,Joseph R. Lentol RECAP,0.8461538461538461
50073,50073,100,10,50,0,60,10,50,0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,Joseph R. Lentol RECAP,0.8333333333333334
50074,50074,100,6,50,0,56,6,50,0,0.10714285714285714,0.8928571428571429,0.0,0.10714285714285714,0.8928571428571429,0.0,Joseph R. Lentol RECAP,0.8928571428571429
50075,50075,100,12,68,0,80,12,68,0,0.15,0.85,0.0,0.15,0.85,0.0,Joseph R. Lentol RECAP,0.85
50076,50076,100,10,75,0,85,10,75,0,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,0.8823529411764706,0.0,Joseph R. Lentol RECAP,0.8823529411764706
50077,50077,100,17,56,0,73,17,56,0,0.2328767123287671,0.7671232876712328,0.0,0.2328767123287671,0.7671232876712328,0.0,Joseph R. Lentol RECAP,0.7671232876712328
50078,50078,100,14,54,0,68,14,54,0,0.20588235294117646,0.7941176470588235,0.0,0.20588235294117646,0.7941176470588235,0.0,Joseph R. Lentol RECAP,0.7941176470588235
50079,50079,100,13,43,0,56,13,43,0,0.23214285714285715,0.7678571428571429,0.0,0.23214285714285715,0.7678571428571429,0.0,Joseph R. Lentol RECAP,0.7678571428571429
50080,50080,100,6,48,0,54,6,48,0,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.0,Joseph R. Lentol RECAP,0.8888888888888888
50081,50081,100,1,15,0,16,1,15,0,0.0625,0.9375,0.0,0.0625,0.9375,0.0,Joseph R. Lentol RECAP,0.9375
50082,50082,100,3,20,0,23,3,20,0,0.13043478260869565,0.8695652173913043,0.0,0.13043478260869565,0.8695652173913043,0.0,Joseph R. Lentol RECAP,0.8695652173913043
50083,50083,100,9,63,0,72,9,63,0,0.125,0.875,0.0,0.125,0.875,0.0,Joseph R. Lentol RECAP,0.875
50084,50084,100,2,19,0,21,2,19,0,0.09523809523809523,0.9047619047619048,0.0,0.09523809523809523,0.9047619047619048,0.0,Joseph R. Lentol RECAP,0.9047619047619048
50085,50085,100,2,41,0,43,2,41,0,0.046511627906976744,0.9534883720930233,0.0,0.046511627906976744,0.9534883720930233,0.0,Joseph R. Lentol RECAP,0.9534883720930233
50086,50084,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50087,50087,100,3,29,0,32,3,29,0,0.09375,0.90625,0.0,0.09375,0.90625,0.0,Joseph R. Lentol RECAP,0.90625
50088,50088,100,0,17,0,17,0,17,0,0.0,1.0,0.0,0.0,1.0,0.0,Joseph R. Lentol RECAP,1.0
50089,50089,100,10,175,1,186,10,175,1,0.053763440860215055,0.9408602150537635,0.005376344086021506,0.053763440860215055,0.9408602150537635,0.005376344086021506,Joseph R. Lentol RECAP,0.9408602150537635
50090,50090,100,1,108,0,109,1,108,0,0.009174311926605505,0.9908256880733946,0.0,0.009174311926605505,0.9908256880733946,0.0,Joseph R. Lentol RECAP,0.9908256880733946
50091,50091,100,5,214,2,221,5,214,2,0.02262443438914027,0.9683257918552036,0.00904977375565611,0.02262443438914027,0.9683257918552036,0.00904977375565611,Joseph R. Lentol RECAP,0.9683257918552036
50092,50092,100,6,183,1,190,6,183,1,0.031578947368421054,0.9631578947368421,0.005263157894736842,0.031578947368421054,0.9631578947368421,0.005263157894736842,Joseph R. Lentol RECAP,0.9631578947368421
50093,50093,100,1,34,0,35,1,34,0,0.02857142857142857,0.9714285714285714,0.0,0.02857142857142857,0.9714285714285714,0.0,Joseph R. Lentol RECAP,0.9714285714285714
50094,50094,100,2,14,1,17,2,14,1,0.11764705882352941,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.8235294117647058,0.058823529411764705,Joseph R. Lentol RECAP,0.8235294117647058
50095,50095,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50096,50096,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50097,50097,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50098,50088,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50099,50013,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
