ED,Reported As,Reporting,Jose R. Peralta (Working Families),Scattered,Jose R. Peralta (Democratic),Total Votes,Jose R. Peralta RECAP,Scattered RECAP,p_Jose R. Peralta (Working Families),p_Scattered,p_Jose R. Peralta (Democratic),p_Jose R. Peralta RECAP,p_Scattered RECAP,winner,winner_p
35019,35019,100,10,1,188,199,198,1,0.05025125628140704,0.005025125628140704,0.9447236180904522,0.9949748743718593,0.005025125628140704,Jose R. Peralta RECAP,0.9949748743718593
35020,35020,100,12,0,271,283,283,0,0.04240282685512368,0.0,0.9575971731448764,1.0,0.0,Jose R. Peralta RECAP,1.0
35021,35021,100,22,1,259,282,281,1,0.07801418439716312,0.0035460992907801418,0.9184397163120568,0.9964539007092199,0.0035460992907801418,Jose R. Peralta RECAP,0.9964539007092199
35022,35022,100,3,0,92,95,95,0,0.031578947368421054,0.0,0.968421052631579,1.0,0.0,Jose R. Peralta RECAP,1.0
35025,35025,100,9,0,303,312,312,0,0.028846153846153848,0.0,0.9711538461538461,1.0,0.0,Jose R. Peralta RECAP,1.0
35028,35028,100,6,0,30,36,36,0,0.16666666666666666,0.0,0.8333333333333334,1.0,0.0,Jose R. Peralta RECAP,1.0
35032,35032,100,4,0,103,107,107,0,0.037383177570093455,0.0,0.9626168224299065,1.0,0.0,Jose R. Peralta RECAP,1.0
35035,35035,100,2,0,113,115,115,0,0.017391304347826087,0.0,0.9826086956521739,1.0,0.0,Jose R. Peralta RECAP,1.0
35036,35036,100,0,0,15,15,15,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
35037,35037,100,4,0,86,90,90,0,0.044444444444444446,0.0,0.9555555555555556,1.0,0.0,Jose R. Peralta RECAP,1.0
35038,35038,100,3,0,123,126,126,0,0.023809523809523808,0.0,0.9761904761904762,1.0,0.0,Jose R. Peralta RECAP,1.0
35039,35039,100,7,0,209,216,216,0,0.032407407407407406,0.0,0.9675925925925926,1.0,0.0,Jose R. Peralta RECAP,1.0
35040,35040,100,3,0,137,140,140,0,0.02142857142857143,0.0,0.9785714285714285,1.0,0.0,Jose R. Peralta RECAP,1.0
35041,35041,100,4,1,219,224,223,1,0.017857142857142856,0.004464285714285714,0.9776785714285714,0.9955357142857143,0.004464285714285714,Jose R. Peralta RECAP,0.9955357142857143
35042,35042,100,5,0,128,133,133,0,0.03759398496240601,0.0,0.9624060150375939,1.0,0.0,Jose R. Peralta RECAP,1.0
35043,35043,100,9,0,181,190,190,0,0.04736842105263158,0.0,0.9526315789473684,1.0,0.0,Jose R. Peralta RECAP,1.0
35044,35044,100,4,0,143,147,147,0,0.027210884353741496,0.0,0.9727891156462585,1.0,0.0,Jose R. Peralta RECAP,1.0
35045,35045,100,1,1,242,244,243,1,0.004098360655737705,0.004098360655737705,0.9918032786885246,0.9959016393442623,0.004098360655737705,Jose R. Peralta RECAP,0.9959016393442623
35046,35046,100,7,0,150,157,157,0,0.044585987261146494,0.0,0.9554140127388535,1.0,0.0,Jose R. Peralta RECAP,1.0
35047,35047,100,3,0,154,157,157,0,0.01910828025477707,0.0,0.9808917197452229,1.0,0.0,Jose R. Peralta RECAP,1.0
35048,35048,100,16,0,254,270,270,0,0.05925925925925926,0.0,0.9407407407407408,1.0,0.0,Jose R. Peralta RECAP,1.0
35049,35049,100,8,0,47,55,55,0,0.14545454545454545,0.0,0.8545454545454545,1.0,0.0,Jose R. Peralta RECAP,1.0
35050,35050,100,9,0,125,134,134,0,0.06716417910447761,0.0,0.9328358208955224,1.0,0.0,Jose R. Peralta RECAP,1.0
35051,35051,100,8,1,189,198,197,1,0.04040404040404041,0.005050505050505051,0.9545454545454546,0.9949494949494949,0.005050505050505051,Jose R. Peralta RECAP,0.9949494949494949
35052,35052,100,9,3,245,257,254,3,0.03501945525291829,0.011673151750972763,0.953307392996109,0.9883268482490273,0.011673151750972763,Jose R. Peralta RECAP,0.9883268482490273
35053,35053,100,12,1,230,243,242,1,0.04938271604938271,0.00411522633744856,0.9465020576131687,0.9958847736625515,0.00411522633744856,Jose R. Peralta RECAP,0.9958847736625515
35057,35035,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35058,35035,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35059,35059,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35061,35061,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36044,36044,100,0,0,15,15,15,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
36046,36046,100,14,3,97,114,111,3,0.12280701754385964,0.02631578947368421,0.8508771929824561,0.9736842105263158,0.02631578947368421,Jose R. Peralta RECAP,0.9736842105263158
36047,36047,100,27,1,125,153,152,1,0.17647058823529413,0.006535947712418301,0.8169934640522876,0.9934640522875817,0.006535947712418301,Jose R. Peralta RECAP,0.9934640522875817
36048,36048,100,25,2,107,134,132,2,0.1865671641791045,0.014925373134328358,0.7985074626865671,0.9850746268656716,0.014925373134328358,Jose R. Peralta RECAP,0.9850746268656716
36050,36050,100,3,0,42,45,45,0,0.06666666666666667,0.0,0.9333333333333333,1.0,0.0,Jose R. Peralta RECAP,1.0
36051,36051,100,0,0,15,15,15,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
36053,36053,100,30,3,146,179,176,3,0.16759776536312848,0.01675977653631285,0.8156424581005587,0.9832402234636871,0.01675977653631285,Jose R. Peralta RECAP,0.9832402234636871
36054,36054,100,16,2,88,106,104,2,0.1509433962264151,0.018867924528301886,0.8301886792452831,0.9811320754716981,0.018867924528301886,Jose R. Peralta RECAP,0.9811320754716981
36055,36055,100,38,2,137,177,175,2,0.21468926553672316,0.011299435028248588,0.7740112994350282,0.9887005649717514,0.011299435028248588,Jose R. Peralta RECAP,0.9887005649717514
36056,36056,100,26,5,94,125,120,5,0.208,0.04,0.752,0.96,0.04,Jose R. Peralta RECAP,0.96
36057,36057,100,26,2,128,156,154,2,0.16666666666666666,0.01282051282051282,0.8205128205128205,0.9871794871794872,0.01282051282051282,Jose R. Peralta RECAP,0.9871794871794872
36058,36058,100,22,1,133,156,155,1,0.14102564102564102,0.00641025641025641,0.8525641025641025,0.9935897435897436,0.00641025641025641,Jose R. Peralta RECAP,0.9935897435897436
36059,36059,100,37,4,104,145,141,4,0.25517241379310346,0.027586206896551724,0.7172413793103448,0.9724137931034482,0.027586206896551724,Jose R. Peralta RECAP,0.9724137931034482
36060,36060,100,24,4,142,170,166,4,0.1411764705882353,0.023529411764705882,0.8352941176470589,0.9764705882352941,0.023529411764705882,Jose R. Peralta RECAP,0.9764705882352941
36061,36061,100,22,4,137,163,159,4,0.13496932515337423,0.024539877300613498,0.8404907975460123,0.9754601226993865,0.024539877300613498,Jose R. Peralta RECAP,0.9754601226993865
36062,36062,100,18,0,109,127,127,0,0.14173228346456693,0.0,0.8582677165354331,1.0,0.0,Jose R. Peralta RECAP,1.0
36063,36063,100,11,1,128,140,139,1,0.07857142857142857,0.007142857142857143,0.9142857142857143,0.9928571428571429,0.007142857142857143,Jose R. Peralta RECAP,0.9928571428571429
36067,36067,100,24,0,113,137,137,0,0.17518248175182483,0.0,0.8248175182481752,1.0,0.0,Jose R. Peralta RECAP,1.0
36068,36068,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36069,36050,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36070,36044,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
36071,36071,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
39001,39001,100,12,0,158,170,170,0,0.07058823529411765,0.0,0.9294117647058824,1.0,0.0,Jose R. Peralta RECAP,1.0
39002,39002,100,9,1,154,164,163,1,0.054878048780487805,0.006097560975609756,0.9390243902439024,0.9939024390243902,0.006097560975609756,Jose R. Peralta RECAP,0.9939024390243902
39003,39003,100,10,0,152,162,162,0,0.06172839506172839,0.0,0.9382716049382716,1.0,0.0,Jose R. Peralta RECAP,1.0
39004,39004,100,11,0,151,162,162,0,0.06790123456790123,0.0,0.9320987654320988,1.0,0.0,Jose R. Peralta RECAP,1.0
39005,39005,100,4,0,120,124,124,0,0.03225806451612903,0.0,0.967741935483871,1.0,0.0,Jose R. Peralta RECAP,1.0
39006,39006,100,4,0,82,86,86,0,0.046511627906976744,0.0,0.9534883720930233,1.0,0.0,Jose R. Peralta RECAP,1.0
39007,39007,100,9,1,213,223,222,1,0.04035874439461883,0.004484304932735426,0.9551569506726457,0.9955156950672646,0.004484304932735426,Jose R. Peralta RECAP,0.9955156950672646
39008,39008,100,8,0,117,125,125,0,0.064,0.0,0.936,1.0,0.0,Jose R. Peralta RECAP,1.0
39009,39009,100,6,1,133,140,139,1,0.04285714285714286,0.007142857142857143,0.95,0.9928571428571429,0.007142857142857143,Jose R. Peralta RECAP,0.9928571428571429
39010,39010,100,11,1,145,157,156,1,0.07006369426751592,0.006369426751592357,0.9235668789808917,0.9936305732484076,0.006369426751592357,Jose R. Peralta RECAP,0.9936305732484076
39011,39011,100,11,0,107,118,118,0,0.09322033898305085,0.0,0.9067796610169492,1.0,0.0,Jose R. Peralta RECAP,1.0
39012,39012,100,8,0,143,151,151,0,0.052980132450331126,0.0,0.9470198675496688,1.0,0.0,Jose R. Peralta RECAP,1.0
39013,39013,100,8,2,93,103,101,2,0.07766990291262135,0.019417475728155338,0.9029126213592233,0.9805825242718447,0.019417475728155338,Jose R. Peralta RECAP,0.9805825242718447
39014,39014,100,3,0,86,89,89,0,0.033707865168539325,0.0,0.9662921348314607,1.0,0.0,Jose R. Peralta RECAP,1.0
39015,39015,100,12,0,139,151,151,0,0.07947019867549669,0.0,0.9205298013245033,1.0,0.0,Jose R. Peralta RECAP,1.0
39016,39016,100,9,0,140,149,149,0,0.06040268456375839,0.0,0.9395973154362416,1.0,0.0,Jose R. Peralta RECAP,1.0
39017,39017,100,17,0,126,143,143,0,0.11888111888111888,0.0,0.8811188811188811,1.0,0.0,Jose R. Peralta RECAP,1.0
39018,39018,100,38,1,147,186,185,1,0.20430107526881722,0.005376344086021506,0.7903225806451613,0.9946236559139785,0.005376344086021506,Jose R. Peralta RECAP,0.9946236559139785
39019,39019,100,25,2,162,189,187,2,0.13227513227513227,0.010582010582010581,0.8571428571428571,0.9894179894179894,0.010582010582010581,Jose R. Peralta RECAP,0.9894179894179894
39020,39020,100,0,0,14,14,14,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
39021,39021,100,1,0,26,27,27,0,0.037037037037037035,0.0,0.9629629629629629,1.0,0.0,Jose R. Peralta RECAP,1.0
39025,39025,100,5,1,93,99,98,1,0.050505050505050504,0.010101010101010102,0.9393939393939394,0.98989898989899,0.010101010101010102,Jose R. Peralta RECAP,0.98989898989899
39026,39026,100,14,1,80,95,94,1,0.14736842105263157,0.010526315789473684,0.8421052631578947,0.9894736842105263,0.010526315789473684,Jose R. Peralta RECAP,0.9894736842105263
39028,39028,100,2,0,20,22,22,0,0.09090909090909091,0.0,0.9090909090909091,1.0,0.0,Jose R. Peralta RECAP,1.0
39041,39041,100,7,0,135,142,142,0,0.04929577464788732,0.0,0.9507042253521126,1.0,0.0,Jose R. Peralta RECAP,1.0
39043,39043,100,17,0,105,122,122,0,0.13934426229508196,0.0,0.860655737704918,1.0,0.0,Jose R. Peralta RECAP,1.0
39044,39044,100,46,2,188,236,234,2,0.19491525423728814,0.00847457627118644,0.7966101694915254,0.9915254237288136,0.00847457627118644,Jose R. Peralta RECAP,0.9915254237288136
39045,39045,100,54,5,191,250,245,5,0.216,0.02,0.764,0.98,0.02,Jose R. Peralta RECAP,0.98
39046,39046,100,107,5,231,343,338,5,0.3119533527696793,0.014577259475218658,0.673469387755102,0.9854227405247813,0.014577259475218658,Jose R. Peralta RECAP,0.9854227405247813
39047,39047,100,42,0,215,257,257,0,0.16342412451361868,0.0,0.8365758754863813,1.0,0.0,Jose R. Peralta RECAP,1.0
39050,39050,100,4,0,52,56,56,0,0.07142857142857142,0.0,0.9285714285714286,1.0,0.0,Jose R. Peralta RECAP,1.0
39051,39051,100,22,0,117,139,139,0,0.15827338129496402,0.0,0.841726618705036,1.0,0.0,Jose R. Peralta RECAP,1.0
40054,40054,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
40055,40054,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
