ED,Reported As,Reporting,Elias J. Weir (Conservative),Dell Smitherman (Working Families),Scattered,John L. Sampson (Democratic),Total Votes,Elias J. Weir RECAP,Dell Smitherman RECAP,Scattered RECAP,John L. Sampson RECAP,p_Elias J. Weir (Conservative),p_Dell Smitherman (Working Families),p_Scattered,p_John L. Sampson (Democratic),p_Elias J. Weir RECAP,p_Dell Smitherman RECAP,p_Scattered RECAP,p_John L. Sampson RECAP,winner,winner_p
58057,58057,100,2,5,0,162,169,2,5,0,162,0.011834319526627219,0.029585798816568046,0.0,0.9585798816568047,0.011834319526627219,0.029585798816568046,0.0,0.9585798816568047,John L. Sampson RECAP,0.9585798816568047
58058,58058,100,5,11,0,75,91,5,11,0,75,0.054945054945054944,0.12087912087912088,0.0,0.8241758241758241,0.054945054945054944,0.12087912087912088,0.0,0.8241758241758241,John L. Sampson RECAP,0.8241758241758241
58059,58059,100,31,21,0,266,318,31,21,0,266,0.09748427672955975,0.0660377358490566,0.0,0.8364779874213837,0.09748427672955975,0.0660377358490566,0.0,0.8364779874213837,John L. Sampson RECAP,0.8364779874213837
58060,58060,100,9,17,0,191,217,9,17,0,191,0.041474654377880185,0.07834101382488479,0.0,0.880184331797235,0.041474654377880185,0.07834101382488479,0.0,0.880184331797235,John L. Sampson RECAP,0.880184331797235
58065,58065,100,3,8,0,154,165,3,8,0,154,0.01818181818181818,0.048484848484848485,0.0,0.9333333333333333,0.01818181818181818,0.048484848484848485,0.0,0.9333333333333333,John L. Sampson RECAP,0.9333333333333333
58066,58066,100,1,6,0,147,154,1,6,0,147,0.006493506493506494,0.03896103896103896,0.0,0.9545454545454546,0.006493506493506494,0.03896103896103896,0.0,0.9545454545454546,John L. Sampson RECAP,0.9545454545454546
58067,58067,100,3,24,0,277,304,3,24,0,277,0.009868421052631578,0.07894736842105263,0.0,0.9111842105263158,0.009868421052631578,0.07894736842105263,0.0,0.9111842105263158,John L. Sampson RECAP,0.9111842105263158
58068,58068,100,3,15,0,235,253,3,15,0,235,0.011857707509881422,0.05928853754940711,0.0,0.9288537549407114,0.011857707509881422,0.05928853754940711,0.0,0.9288537549407114,John L. Sampson RECAP,0.9288537549407114
58069,58069,100,2,2,0,54,58,2,2,0,54,0.034482758620689655,0.034482758620689655,0.0,0.9310344827586207,0.034482758620689655,0.034482758620689655,0.0,0.9310344827586207,John L. Sampson RECAP,0.9310344827586207
58070,58070,100,11,8,0,204,223,11,8,0,204,0.04932735426008968,0.03587443946188341,0.0,0.9147982062780269,0.04932735426008968,0.03587443946188341,0.0,0.9147982062780269,John L. Sampson RECAP,0.9147982062780269
58071,58071,100,5,13,0,157,175,5,13,0,157,0.02857142857142857,0.07428571428571429,0.0,0.8971428571428571,0.02857142857142857,0.07428571428571429,0.0,0.8971428571428571,John L. Sampson RECAP,0.8971428571428571
