ED,Reported As,Reporting,Benjamin Holloway (Republican),Benjamin Holloway (Conservative),Scattered,Carl E. Heastie (Democratic),Total Votes,Benjamin Holloway RECAP,Scattered RECAP,Carl E. Heastie RECAP,p_Benjamin Holloway (Republican),p_Benjamin Holloway (Conservative),p_Scattered,p_Carl E. Heastie (Democratic),p_Benjamin Holloway RECAP,p_Scattered RECAP,p_Carl E. Heastie RECAP,winner,winner_p
83032,83032,100,4,0,1,172,177,4,1,172,0.022598870056497175,0.0,0.005649717514124294,0.9717514124293786,0.022598870056497175,0.005649717514124294,0.9717514124293786,Carl E. Heastie RECAP,0.9717514124293786
83033,83033,100,1,1,1,248,251,2,1,248,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.9880478087649402,0.00796812749003984,0.00398406374501992,0.9880478087649402,Carl E. Heastie RECAP,0.9880478087649402
83034,83034,100,2,1,1,183,187,3,1,183,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.9786096256684492,0.016042780748663103,0.0053475935828877,0.9786096256684492,Carl E. Heastie RECAP,0.9786096256684492
83035,83035,100,5,0,0,132,137,5,0,132,0.0364963503649635,0.0,0.0,0.9635036496350365,0.0364963503649635,0.0,0.9635036496350365,Carl E. Heastie RECAP,0.9635036496350365
83036,83036,100,10,1,0,104,115,11,0,104,0.08695652173913043,0.008695652173913044,0.0,0.9043478260869565,0.09565217391304348,0.0,0.9043478260869565,Carl E. Heastie RECAP,0.9043478260869565
83037,83037,100,0,0,0,136,136,0,0,136,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Carl E. Heastie RECAP,1.0
83038,83038,100,6,1,0,142,149,7,0,142,0.040268456375838924,0.006711409395973154,0.0,0.9530201342281879,0.04697986577181208,0.0,0.9530201342281879,Carl E. Heastie RECAP,0.9530201342281879
83039,83039,100,2,0,0,135,137,2,0,135,0.014598540145985401,0.0,0.0,0.9854014598540146,0.014598540145985401,0.0,0.9854014598540146,Carl E. Heastie RECAP,0.9854014598540146
83040,83040,100,1,1,0,157,159,2,0,157,0.006289308176100629,0.006289308176100629,0.0,0.9874213836477987,0.012578616352201259,0.0,0.9874213836477987,Carl E. Heastie RECAP,0.9874213836477987
83041,83041,100,1,1,0,162,164,2,0,162,0.006097560975609756,0.006097560975609756,0.0,0.9878048780487805,0.012195121951219513,0.0,0.9878048780487805,Carl E. Heastie RECAP,0.9878048780487805
83042,83042,100,4,1,0,169,174,5,0,169,0.022988505747126436,0.005747126436781609,0.0,0.9712643678160919,0.028735632183908046,0.0,0.9712643678160919,Carl E. Heastie RECAP,0.9712643678160919
83043,83043,100,1,1,0,163,165,2,0,163,0.006060606060606061,0.006060606060606061,0.0,0.9878787878787879,0.012121212121212121,0.0,0.9878787878787879,Carl E. Heastie RECAP,0.9878787878787879
83044,83044,100,2,0,0,171,173,2,0,171,0.011560693641618497,0.0,0.0,0.9884393063583815,0.011560693641618497,0.0,0.9884393063583815,Carl E. Heastie RECAP,0.9884393063583815
83045,83045,100,3,2,0,177,182,5,0,177,0.016483516483516484,0.01098901098901099,0.0,0.9725274725274725,0.027472527472527472,0.0,0.9725274725274725,Carl E. Heastie RECAP,0.9725274725274725
83046,83046,100,15,2,0,186,203,17,0,186,0.07389162561576355,0.009852216748768473,0.0,0.916256157635468,0.08374384236453201,0.0,0.916256157635468,Carl E. Heastie RECAP,0.916256157635468
83047,83047,100,3,4,0,142,149,7,0,142,0.020134228187919462,0.026845637583892617,0.0,0.9530201342281879,0.04697986577181208,0.0,0.9530201342281879,Carl E. Heastie RECAP,0.9530201342281879
83048,83048,100,4,3,0,147,154,7,0,147,0.025974025974025976,0.01948051948051948,0.0,0.9545454545454546,0.045454545454545456,0.0,0.9545454545454546,Carl E. Heastie RECAP,0.9545454545454546
83049,83049,100,2,2,0,123,127,4,0,123,0.015748031496062992,0.015748031496062992,0.0,0.968503937007874,0.031496062992125984,0.0,0.968503937007874,Carl E. Heastie RECAP,0.968503937007874
83050,83050,100,6,1,1,178,186,7,1,178,0.03225806451612903,0.005376344086021506,0.005376344086021506,0.956989247311828,0.03763440860215054,0.005376344086021506,0.956989247311828,Carl E. Heastie RECAP,0.956989247311828
83051,83051,100,4,1,0,180,185,5,0,180,0.021621621621621623,0.005405405405405406,0.0,0.972972972972973,0.02702702702702703,0.0,0.972972972972973,Carl E. Heastie RECAP,0.972972972972973
83052,83052,100,6,3,0,187,196,9,0,187,0.030612244897959183,0.015306122448979591,0.0,0.9540816326530612,0.04591836734693878,0.0,0.9540816326530612,Carl E. Heastie RECAP,0.9540816326530612
83053,83053,100,4,0,0,147,151,4,0,147,0.026490066225165563,0.0,0.0,0.9735099337748344,0.026490066225165563,0.0,0.9735099337748344,Carl E. Heastie RECAP,0.9735099337748344
83054,83054,100,7,1,0,114,122,8,0,114,0.05737704918032787,0.00819672131147541,0.0,0.9344262295081968,0.06557377049180328,0.0,0.9344262295081968,Carl E. Heastie RECAP,0.9344262295081968
83055,83055,100,4,1,0,206,211,5,0,206,0.018957345971563982,0.004739336492890996,0.0,0.976303317535545,0.023696682464454975,0.0,0.976303317535545,Carl E. Heastie RECAP,0.976303317535545
83056,83056,100,4,1,0,170,175,5,0,170,0.022857142857142857,0.005714285714285714,0.0,0.9714285714285714,0.02857142857142857,0.0,0.9714285714285714,Carl E. Heastie RECAP,0.9714285714285714
83057,83057,100,2,0,0,191,193,2,0,191,0.010362694300518135,0.0,0.0,0.9896373056994818,0.010362694300518135,0.0,0.9896373056994818,Carl E. Heastie RECAP,0.9896373056994818
83058,83058,100,2,2,0,105,109,4,0,105,0.01834862385321101,0.01834862385321101,0.0,0.963302752293578,0.03669724770642202,0.0,0.963302752293578,Carl E. Heastie RECAP,0.963302752293578
83059,83059,100,4,0,0,164,168,4,0,164,0.023809523809523808,0.0,0.0,0.9761904761904762,0.023809523809523808,0.0,0.9761904761904762,Carl E. Heastie RECAP,0.9761904761904762
83060,83060,100,5,1,0,84,90,6,0,84,0.05555555555555555,0.011111111111111112,0.0,0.9333333333333333,0.06666666666666667,0.0,0.9333333333333333,Carl E. Heastie RECAP,0.9333333333333333
83061,83061,100,2,0,0,118,120,2,0,118,0.016666666666666666,0.0,0.0,0.9833333333333333,0.016666666666666666,0.0,0.9833333333333333,Carl E. Heastie RECAP,0.9833333333333333
83062,83062,100,3,0,0,107,110,3,0,107,0.02727272727272727,0.0,0.0,0.9727272727272728,0.02727272727272727,0.0,0.9727272727272728,Carl E. Heastie RECAP,0.9727272727272728
83063,83063,100,2,1,0,94,97,3,0,94,0.020618556701030927,0.010309278350515464,0.0,0.9690721649484536,0.030927835051546393,0.0,0.9690721649484536,Carl E. Heastie RECAP,0.9690721649484536
83064,83064,100,4,4,0,175,183,8,0,175,0.02185792349726776,0.02185792349726776,0.0,0.9562841530054644,0.04371584699453552,0.0,0.9562841530054644,Carl E. Heastie RECAP,0.9562841530054644
83065,83065,100,1,1,0,128,130,2,0,128,0.007692307692307693,0.007692307692307693,0.0,0.9846153846153847,0.015384615384615385,0.0,0.9846153846153847,Carl E. Heastie RECAP,0.9846153846153847
83066,83066,100,7,4,0,216,227,11,0,216,0.030837004405286344,0.01762114537444934,0.0,0.9515418502202643,0.048458149779735685,0.0,0.9515418502202643,Carl E. Heastie RECAP,0.9515418502202643
83067,83067,100,7,3,0,182,192,10,0,182,0.036458333333333336,0.015625,0.0,0.9479166666666666,0.052083333333333336,0.0,0.9479166666666666,Carl E. Heastie RECAP,0.9479166666666666
83068,83068,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
83069,83069,100,12,9,1,295,317,21,1,295,0.03785488958990536,0.028391167192429023,0.0031545741324921135,0.9305993690851735,0.06624605678233439,0.0031545741324921135,0.9305993690851735,Carl E. Heastie RECAP,0.9305993690851735
83070,83070,100,9,3,0,257,269,12,0,257,0.03345724907063197,0.011152416356877323,0.0,0.9553903345724907,0.04460966542750929,0.0,0.9553903345724907,Carl E. Heastie RECAP,0.9553903345724907
83071,83071,100,12,3,0,235,250,15,0,235,0.048,0.012,0.0,0.94,0.06,0.0,0.94,Carl E. Heastie RECAP,0.94
83072,83072,100,2,3,0,166,171,5,0,166,0.011695906432748537,0.017543859649122806,0.0,0.9707602339181286,0.029239766081871343,0.0,0.9707602339181286,Carl E. Heastie RECAP,0.9707602339181286
83073,83073,100,2,1,0,233,236,3,0,233,0.00847457627118644,0.00423728813559322,0.0,0.9872881355932204,0.012711864406779662,0.0,0.9872881355932204,Carl E. Heastie RECAP,0.9872881355932204
83074,83074,100,12,2,0,203,217,14,0,203,0.055299539170506916,0.009216589861751152,0.0,0.9354838709677419,0.06451612903225806,0.0,0.9354838709677419,Carl E. Heastie RECAP,0.9354838709677419
83075,83075,100,4,4,0,237,245,8,0,237,0.0163265306122449,0.0163265306122449,0.0,0.9673469387755103,0.0326530612244898,0.0,0.9673469387755103,Carl E. Heastie RECAP,0.9673469387755103
83076,83076,100,11,9,0,229,249,20,0,229,0.04417670682730924,0.03614457831325301,0.0,0.9196787148594378,0.08032128514056225,0.0,0.9196787148594378,Carl E. Heastie RECAP,0.9196787148594378
83077,83077,100,4,1,0,162,167,5,0,162,0.023952095808383235,0.005988023952095809,0.0,0.9700598802395209,0.029940119760479042,0.0,0.9700598802395209,Carl E. Heastie RECAP,0.9700598802395209
83078,83078,100,7,0,0,141,148,7,0,141,0.0472972972972973,0.0,0.0,0.9527027027027027,0.0472972972972973,0.0,0.9527027027027027,Carl E. Heastie RECAP,0.9527027027027027
83079,83079,100,4,0,0,184,188,4,0,184,0.02127659574468085,0.0,0.0,0.9787234042553191,0.02127659574468085,0.0,0.9787234042553191,Carl E. Heastie RECAP,0.9787234042553191
83080,83080,100,4,3,0,187,194,7,0,187,0.020618556701030927,0.015463917525773196,0.0,0.9639175257731959,0.03608247422680412,0.0,0.9639175257731959,Carl E. Heastie RECAP,0.9639175257731959
83081,83081,100,3,2,0,201,206,5,0,201,0.014563106796116505,0.009708737864077669,0.0,0.9757281553398058,0.024271844660194174,0.0,0.9757281553398058,Carl E. Heastie RECAP,0.9757281553398058
83082,83082,100,7,2,0,206,215,9,0,206,0.03255813953488372,0.009302325581395349,0.0,0.958139534883721,0.04186046511627907,0.0,0.958139534883721,Carl E. Heastie RECAP,0.958139534883721
83083,83083,100,5,0,0,174,179,5,0,174,0.027932960893854747,0.0,0.0,0.9720670391061452,0.027932960893854747,0.0,0.9720670391061452,Carl E. Heastie RECAP,0.9720670391061452
83084,83084,100,1,0,0,25,26,1,0,25,0.038461538461538464,0.0,0.0,0.9615384615384616,0.038461538461538464,0.0,0.9615384615384616,Carl E. Heastie RECAP,0.9615384615384616
83085,83085,100,2,0,0,110,112,2,0,110,0.017857142857142856,0.0,0.0,0.9821428571428571,0.017857142857142856,0.0,0.9821428571428571,Carl E. Heastie RECAP,0.9821428571428571
83086,83086,100,3,2,0,89,94,5,0,89,0.031914893617021274,0.02127659574468085,0.0,0.9468085106382979,0.05319148936170213,0.0,0.9468085106382979,Carl E. Heastie RECAP,0.9468085106382979
83087,83068,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
