ED,Reported As,Reporting,Brad M. Hoylman (Democratic),Frank J. Scala (Republican),Scattered,Brad M. Hoylman (Working Families),Total Votes,Brad M. Hoylman RECAP,Frank J. Scala RECAP,Scattered RECAP,p_Brad M. Hoylman (Democratic),p_Frank J. Scala (Republican),p_Scattered,p_Brad M. Hoylman (Working Families),p_Brad M. Hoylman RECAP,p_Frank J. Scala RECAP,p_Scattered RECAP,winner,winner_p
66083,66083,100,145,27,1,48,221,193,27,1,0.6561085972850679,0.12217194570135746,0.004524886877828055,0.2171945701357466,0.8733031674208145,0.12217194570135746,0.004524886877828055,Brad M. Hoylman RECAP,0.8733031674208145
66084,66084,100,281,38,1,69,389,350,38,1,0.7223650385604113,0.09768637532133675,0.002570694087403599,0.17737789203084833,0.8997429305912596,0.09768637532133675,0.002570694087403599,Brad M. Hoylman RECAP,0.8997429305912596
66085,66085,100,211,39,0,82,332,293,39,0,0.6355421686746988,0.11746987951807229,0.0,0.2469879518072289,0.8825301204819277,0.11746987951807229,0.0,Brad M. Hoylman RECAP,0.8825301204819277
66086,66086,100,176,46,1,71,294,247,46,1,0.5986394557823129,0.1564625850340136,0.003401360544217687,0.24149659863945577,0.8401360544217688,0.1564625850340136,0.003401360544217687,Brad M. Hoylman RECAP,0.8401360544217688
66087,66087,100,226,24,1,59,310,285,24,1,0.7290322580645161,0.07741935483870968,0.0032258064516129032,0.19032258064516128,0.9193548387096774,0.07741935483870968,0.0032258064516129032,Brad M. Hoylman RECAP,0.9193548387096774
66088,66088,100,137,37,0,44,218,181,37,0,0.6284403669724771,0.16972477064220184,0.0,0.2018348623853211,0.8302752293577982,0.16972477064220184,0.0,Brad M. Hoylman RECAP,0.8302752293577982
66089,66089,100,162,25,1,42,230,204,25,1,0.7043478260869566,0.10869565217391304,0.004347826086956522,0.1826086956521739,0.8869565217391304,0.10869565217391304,0.004347826086956522,Brad M. Hoylman RECAP,0.8869565217391304
66090,66090,100,89,19,1,19,128,108,19,1,0.6953125,0.1484375,0.0078125,0.1484375,0.84375,0.1484375,0.0078125,Brad M. Hoylman RECAP,0.84375
66091,66091,100,90,21,0,30,141,120,21,0,0.6382978723404256,0.14893617021276595,0.0,0.2127659574468085,0.851063829787234,0.14893617021276595,0.0,Brad M. Hoylman RECAP,0.851063829787234
66095,66095,100,110,19,0,16,145,126,19,0,0.7586206896551724,0.1310344827586207,0.0,0.1103448275862069,0.8689655172413793,0.1310344827586207,0.0,Brad M. Hoylman RECAP,0.8689655172413793
66202,66202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
67002,67002,100,177,20,1,44,242,221,20,1,0.731404958677686,0.08264462809917356,0.004132231404958678,0.18181818181818182,0.9132231404958677,0.08264462809917356,0.004132231404958678,Brad M. Hoylman RECAP,0.9132231404958677
67004,67004,100,106,9,0,28,143,134,9,0,0.7412587412587412,0.06293706293706294,0.0,0.1958041958041958,0.9370629370629371,0.06293706293706294,0.0,Brad M. Hoylman RECAP,0.9370629370629371
67006,67006,100,182,28,1,45,256,227,28,1,0.7109375,0.109375,0.00390625,0.17578125,0.88671875,0.109375,0.00390625,Brad M. Hoylman RECAP,0.88671875
67008,67008,100,142,16,1,29,188,171,16,1,0.7553191489361702,0.0851063829787234,0.005319148936170213,0.15425531914893617,0.9095744680851063,0.0851063829787234,0.005319148936170213,Brad M. Hoylman RECAP,0.9095744680851063
67009,67009,100,102,41,0,14,157,116,41,0,0.6496815286624203,0.2611464968152866,0.0,0.08917197452229299,0.7388535031847133,0.2611464968152866,0.0,Brad M. Hoylman RECAP,0.7388535031847133
67010,67010,100,229,43,1,38,311,267,43,1,0.7363344051446945,0.1382636655948553,0.003215434083601286,0.12218649517684887,0.8585209003215434,0.1382636655948553,0.003215434083601286,Brad M. Hoylman RECAP,0.8585209003215434
67011,67011,100,76,25,1,10,112,86,25,1,0.6785714285714286,0.22321428571428573,0.008928571428571428,0.08928571428571429,0.7678571428571429,0.22321428571428573,0.008928571428571428,Brad M. Hoylman RECAP,0.7678571428571429
67012,67012,100,56,30,2,7,95,63,30,2,0.5894736842105263,0.3157894736842105,0.021052631578947368,0.07368421052631578,0.6631578947368421,0.3157894736842105,0.021052631578947368,Brad M. Hoylman RECAP,0.6631578947368421
67013,67013,100,229,48,0,29,306,258,48,0,0.7483660130718954,0.1568627450980392,0.0,0.09477124183006536,0.8431372549019608,0.1568627450980392,0.0,Brad M. Hoylman RECAP,0.8431372549019608
67014,67014,100,190,44,1,35,270,225,44,1,0.7037037037037037,0.16296296296296298,0.003703703703703704,0.12962962962962962,0.8333333333333334,0.16296296296296298,0.003703703703703704,Brad M. Hoylman RECAP,0.8333333333333334
67015,67015,100,187,40,1,48,276,235,40,1,0.677536231884058,0.14492753623188406,0.0036231884057971015,0.17391304347826086,0.8514492753623188,0.14492753623188406,0.0036231884057971015,Brad M. Hoylman RECAP,0.8514492753623188
67016,67016,100,140,42,0,20,202,160,42,0,0.693069306930693,0.2079207920792079,0.0,0.09900990099009901,0.7920792079207921,0.2079207920792079,0.0,Brad M. Hoylman RECAP,0.7920792079207921
67017,67017,100,140,46,1,25,212,165,46,1,0.660377358490566,0.2169811320754717,0.0047169811320754715,0.1179245283018868,0.7783018867924528,0.2169811320754717,0.0047169811320754715,Brad M. Hoylman RECAP,0.7783018867924528
67018,67018,100,228,36,1,38,303,266,36,1,0.7524752475247525,0.1188118811881188,0.0033003300330033004,0.1254125412541254,0.8778877887788779,0.1188118811881188,0.0033003300330033004,Brad M. Hoylman RECAP,0.8778877887788779
67019,67019,100,162,25,0,18,205,180,25,0,0.7902439024390244,0.12195121951219512,0.0,0.08780487804878048,0.8780487804878049,0.12195121951219512,0.0,Brad M. Hoylman RECAP,0.8780487804878049
67020,67020,100,63,15,0,8,86,71,15,0,0.7325581395348837,0.1744186046511628,0.0,0.09302325581395349,0.8255813953488372,0.1744186046511628,0.0,Brad M. Hoylman RECAP,0.8255813953488372
67021,67021,100,139,61,0,10,210,149,61,0,0.6619047619047619,0.2904761904761905,0.0,0.047619047619047616,0.7095238095238096,0.2904761904761905,0.0,Brad M. Hoylman RECAP,0.7095238095238096
67022,67022,100,132,61,0,15,208,147,61,0,0.6346153846153846,0.2932692307692308,0.0,0.07211538461538461,0.7067307692307693,0.2932692307692308,0.0,Brad M. Hoylman RECAP,0.7067307692307693
67023,67023,100,244,81,0,32,357,276,81,0,0.6834733893557423,0.226890756302521,0.0,0.0896358543417367,0.773109243697479,0.226890756302521,0.0,Brad M. Hoylman RECAP,0.773109243697479
67024,67024,100,99,39,0,19,157,118,39,0,0.6305732484076433,0.2484076433121019,0.0,0.12101910828025478,0.7515923566878981,0.2484076433121019,0.0,Brad M. Hoylman RECAP,0.7515923566878981
67031,67031,100,289,62,0,47,398,336,62,0,0.7261306532663316,0.15577889447236182,0.0,0.11809045226130653,0.8442211055276382,0.15577889447236182,0.0,Brad M. Hoylman RECAP,0.8442211055276382
67032,67032,100,205,76,0,33,314,238,76,0,0.6528662420382165,0.24203821656050956,0.0,0.10509554140127389,0.7579617834394905,0.24203821656050956,0.0,Brad M. Hoylman RECAP,0.7579617834394905
67033,67033,100,138,50,1,26,215,164,50,1,0.641860465116279,0.23255813953488372,0.004651162790697674,0.12093023255813953,0.7627906976744186,0.23255813953488372,0.004651162790697674,Brad M. Hoylman RECAP,0.7627906976744186
67034,67034,100,66,42,0,5,113,71,42,0,0.584070796460177,0.37168141592920356,0.0,0.04424778761061947,0.6283185840707964,0.37168141592920356,0.0,Brad M. Hoylman RECAP,0.6283185840707964
67035,67035,100,172,47,0,28,247,200,47,0,0.6963562753036437,0.1902834008097166,0.0,0.11336032388663968,0.8097165991902834,0.1902834008097166,0.0,Brad M. Hoylman RECAP,0.8097165991902834
67036,67036,100,103,29,0,15,147,118,29,0,0.7006802721088435,0.19727891156462585,0.0,0.10204081632653061,0.8027210884353742,0.19727891156462585,0.0,Brad M. Hoylman RECAP,0.8027210884353742
67037,67037,100,190,60,0,36,286,226,60,0,0.6643356643356644,0.2097902097902098,0.0,0.1258741258741259,0.7902097902097902,0.2097902097902098,0.0,Brad M. Hoylman RECAP,0.7902097902097902
67038,67038,100,125,45,0,15,185,140,45,0,0.6756756756756757,0.24324324324324326,0.0,0.08108108108108109,0.7567567567567568,0.24324324324324326,0.0,Brad M. Hoylman RECAP,0.7567567567567568
67039,67039,100,149,58,0,20,227,169,58,0,0.6563876651982379,0.2555066079295154,0.0,0.0881057268722467,0.7444933920704846,0.2555066079295154,0.0,Brad M. Hoylman RECAP,0.7444933920704846
67040,67040,100,121,39,0,26,186,147,39,0,0.6505376344086021,0.20967741935483872,0.0,0.13978494623655913,0.7903225806451613,0.20967741935483872,0.0,Brad M. Hoylman RECAP,0.7903225806451613
67041,67041,100,193,43,0,52,288,245,43,0,0.6701388888888888,0.14930555555555555,0.0,0.18055555555555555,0.8506944444444444,0.14930555555555555,0.0,Brad M. Hoylman RECAP,0.8506944444444444
67042,67042,100,401,84,1,72,558,473,84,1,0.7186379928315412,0.15053763440860216,0.0017921146953405018,0.12903225806451613,0.8476702508960573,0.15053763440860216,0.0017921146953405018,Brad M. Hoylman RECAP,0.8476702508960573
67043,67043,100,408,64,0,69,541,477,64,0,0.7541589648798521,0.11829944547134935,0.0,0.12754158964879853,0.8817005545286506,0.11829944547134935,0.0,Brad M. Hoylman RECAP,0.8817005545286506
67044,67044,100,181,47,1,43,272,224,47,1,0.6654411764705882,0.17279411764705882,0.003676470588235294,0.15808823529411764,0.8235294117647058,0.17279411764705882,0.003676470588235294,Brad M. Hoylman RECAP,0.8235294117647058
67045,67045,100,165,86,0,18,269,183,86,0,0.6133828996282528,0.31970260223048325,0.0,0.06691449814126393,0.6802973977695167,0.31970260223048325,0.0,Brad M. Hoylman RECAP,0.6802973977695167
67046,67046,100,324,67,0,80,471,404,67,0,0.6878980891719745,0.14225053078556263,0.0,0.16985138004246284,0.8577494692144374,0.14225053078556263,0.0,Brad M. Hoylman RECAP,0.8577494692144374
67047,67047,100,127,92,0,8,227,135,92,0,0.5594713656387665,0.4052863436123348,0.0,0.03524229074889868,0.5947136563876652,0.4052863436123348,0.0,Brad M. Hoylman RECAP,0.5947136563876652
67048,67048,100,350,72,0,67,489,417,72,0,0.7157464212678937,0.147239263803681,0.0,0.13701431492842536,0.852760736196319,0.147239263803681,0.0,Brad M. Hoylman RECAP,0.852760736196319
67049,67049,100,158,47,0,51,256,209,47,0,0.6171875,0.18359375,0.0,0.19921875,0.81640625,0.18359375,0.0,Brad M. Hoylman RECAP,0.81640625
67050,67050,100,272,63,0,46,381,318,63,0,0.7139107611548556,0.16535433070866143,0.0,0.12073490813648294,0.8346456692913385,0.16535433070866143,0.0,Brad M. Hoylman RECAP,0.8346456692913385
67100,67100,100,1,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Brad M. Hoylman RECAP,1.0
73006,73006,100,152,38,0,16,206,168,38,0,0.7378640776699029,0.18446601941747573,0.0,0.07766990291262135,0.8155339805825242,0.18446601941747573,0.0,Brad M. Hoylman RECAP,0.8155339805825242
73011,73011,100,115,64,0,17,196,132,64,0,0.5867346938775511,0.32653061224489793,0.0,0.08673469387755102,0.673469387755102,0.32653061224489793,0.0,Brad M. Hoylman RECAP,0.673469387755102
73012,73012,100,19,13,0,1,33,20,13,0,0.5757575757575758,0.3939393939393939,0.0,0.030303030303030304,0.6060606060606061,0.3939393939393939,0.0,Brad M. Hoylman RECAP,0.6060606060606061
73015,73015,100,47,13,0,6,66,53,13,0,0.7121212121212122,0.19696969696969696,0.0,0.09090909090909091,0.803030303030303,0.19696969696969696,0.0,Brad M. Hoylman RECAP,0.803030303030303
73020,73020,100,2,3,0,0,5,2,3,0,0.4,0.6,0.0,0.0,0.4,0.6,0.0,Frank J. Scala RECAP,0.6
73043,73043,100,16,16,0,2,34,18,16,0,0.47058823529411764,0.47058823529411764,0.0,0.058823529411764705,0.5294117647058824,0.47058823529411764,0.0,Brad M. Hoylman RECAP,0.5294117647058824
74019,74019,100,219,76,1,86,382,305,76,1,0.5732984293193717,0.19895287958115182,0.002617801047120419,0.225130890052356,0.7984293193717278,0.19895287958115182,0.002617801047120419,Brad M. Hoylman RECAP,0.7984293193717278
74020,74020,100,133,44,0,47,224,180,44,0,0.59375,0.19642857142857142,0.0,0.20982142857142858,0.8035714285714286,0.19642857142857142,0.0,Brad M. Hoylman RECAP,0.8035714285714286
74021,74021,100,159,14,0,64,237,223,14,0,0.6708860759493671,0.05907172995780591,0.0,0.270042194092827,0.9409282700421941,0.05907172995780591,0.0,Brad M. Hoylman RECAP,0.9409282700421941
74022,74022,100,143,19,0,35,197,178,19,0,0.7258883248730964,0.09644670050761421,0.0,0.17766497461928935,0.9035532994923858,0.09644670050761421,0.0,Brad M. Hoylman RECAP,0.9035532994923858
74023,74023,100,126,41,0,63,230,189,41,0,0.5478260869565217,0.1782608695652174,0.0,0.27391304347826084,0.8217391304347826,0.1782608695652174,0.0,Brad M. Hoylman RECAP,0.8217391304347826
74024,74024,100,148,8,1,64,221,212,8,1,0.669683257918552,0.03619909502262444,0.004524886877828055,0.2895927601809955,0.9592760180995475,0.03619909502262444,0.004524886877828055,Brad M. Hoylman RECAP,0.9592760180995475
74025,74025,100,120,15,1,37,173,157,15,1,0.6936416184971098,0.08670520231213873,0.005780346820809248,0.2138728323699422,0.9075144508670521,0.08670520231213873,0.005780346820809248,Brad M. Hoylman RECAP,0.9075144508670521
74026,74026,100,129,5,0,5,139,134,5,0,0.9280575539568345,0.03597122302158273,0.0,0.03597122302158273,0.9640287769784173,0.03597122302158273,0.0,Brad M. Hoylman RECAP,0.9640287769784173
74027,74027,100,74,7,0,5,86,79,7,0,0.8604651162790697,0.08139534883720931,0.0,0.05813953488372093,0.9186046511627907,0.08139534883720931,0.0,Brad M. Hoylman RECAP,0.9186046511627907
74028,74028,100,55,6,0,1,62,56,6,0,0.8870967741935484,0.0967741935483871,0.0,0.016129032258064516,0.9032258064516129,0.0967741935483871,0.0,Brad M. Hoylman RECAP,0.9032258064516129
74029,74029,100,108,5,0,5,118,113,5,0,0.9152542372881356,0.0423728813559322,0.0,0.0423728813559322,0.9576271186440678,0.0423728813559322,0.0,Brad M. Hoylman RECAP,0.9576271186440678
74030,74030,100,80,4,0,7,91,87,4,0,0.8791208791208791,0.04395604395604396,0.0,0.07692307692307693,0.9560439560439561,0.04395604395604396,0.0,Brad M. Hoylman RECAP,0.9560439560439561
74031,74031,100,192,25,1,42,260,234,25,1,0.7384615384615385,0.09615384615384616,0.0038461538461538464,0.16153846153846155,0.9,0.09615384615384616,0.0038461538461538464,Brad M. Hoylman RECAP,0.9
74032,74032,100,130,19,0,46,195,176,19,0,0.6666666666666666,0.09743589743589744,0.0,0.2358974358974359,0.9025641025641026,0.09743589743589744,0.0,Brad M. Hoylman RECAP,0.9025641025641026
74033,74033,100,155,15,0,62,232,217,15,0,0.6681034482758621,0.06465517241379311,0.0,0.2672413793103448,0.9353448275862069,0.06465517241379311,0.0,Brad M. Hoylman RECAP,0.9353448275862069
74034,74034,100,147,15,0,66,228,213,15,0,0.6447368421052632,0.06578947368421052,0.0,0.2894736842105263,0.9342105263157895,0.06578947368421052,0.0,Brad M. Hoylman RECAP,0.9342105263157895
74035,74035,100,86,12,0,3,101,89,12,0,0.8514851485148515,0.1188118811881188,0.0,0.0297029702970297,0.8811881188118812,0.1188118811881188,0.0,Brad M. Hoylman RECAP,0.8811881188118812
74036,74036,100,144,29,0,65,238,209,29,0,0.6050420168067226,0.12184873949579832,0.0,0.27310924369747897,0.8781512605042017,0.12184873949579832,0.0,Brad M. Hoylman RECAP,0.8781512605042017
74037,74037,100,144,8,1,67,220,211,8,1,0.6545454545454545,0.03636363636363636,0.004545454545454545,0.30454545454545456,0.9590909090909091,0.03636363636363636,0.004545454545454545,Brad M. Hoylman RECAP,0.9590909090909091
74038,74038,100,116,10,0,24,150,140,10,0,0.7733333333333333,0.06666666666666667,0.0,0.16,0.9333333333333333,0.06666666666666667,0.0,Brad M. Hoylman RECAP,0.9333333333333333
74039,74039,100,270,55,2,88,415,358,55,2,0.6506024096385542,0.13253012048192772,0.004819277108433735,0.21204819277108433,0.8626506024096385,0.13253012048192772,0.004819277108433735,Brad M. Hoylman RECAP,0.8626506024096385
74040,74040,100,245,56,0,71,372,316,56,0,0.6586021505376344,0.15053763440860216,0.0,0.19086021505376344,0.8494623655913979,0.15053763440860216,0.0,Brad M. Hoylman RECAP,0.8494623655913979
74041,74041,100,237,63,1,69,370,306,63,1,0.6405405405405405,0.17027027027027028,0.002702702702702703,0.1864864864864865,0.827027027027027,0.17027027027027028,0.002702702702702703,Brad M. Hoylman RECAP,0.827027027027027
74042,74042,100,189,50,0,56,295,245,50,0,0.6406779661016949,0.1694915254237288,0.0,0.18983050847457628,0.8305084745762712,0.1694915254237288,0.0,Brad M. Hoylman RECAP,0.8305084745762712
