ED,Reported As,Reporting,James Sanders Jr. (Democratic),Scattered,James Sanders Jr. (Working Families),Total Votes,James Sanders Jr. RECAP,Scattered RECAP,p_James Sanders Jr. (Democratic),p_Scattered,p_James Sanders Jr. (Working Families),p_James Sanders Jr. RECAP,p_Scattered RECAP,winner,winner_p
31038,31038,100,245,2,5,252,250,2,0.9722222222222222,0.007936507936507936,0.01984126984126984,0.9920634920634921,0.007936507936507936,James Sanders Jr. RECAP,0.9920634920634921
31039,31039,100,122,5,13,140,135,5,0.8714285714285714,0.03571428571428571,0.09285714285714286,0.9642857142857143,0.03571428571428571,James Sanders Jr. RECAP,0.9642857142857143
31040,31040,100,247,0,5,252,252,0,0.9801587301587301,0.0,0.01984126984126984,1.0,0.0,James Sanders Jr. RECAP,1.0
31041,31041,100,201,0,3,204,204,0,0.9852941176470589,0.0,0.014705882352941176,1.0,0.0,James Sanders Jr. RECAP,1.0
31042,31042,100,261,0,6,267,267,0,0.9775280898876404,0.0,0.02247191011235955,1.0,0.0,James Sanders Jr. RECAP,1.0
31043,31043,100,305,1,4,310,309,1,0.9838709677419355,0.0032258064516129032,0.012903225806451613,0.9967741935483871,0.0032258064516129032,James Sanders Jr. RECAP,0.9967741935483871
31044,31044,100,292,0,8,300,300,0,0.9733333333333334,0.0,0.02666666666666667,1.0,0.0,James Sanders Jr. RECAP,1.0
31045,31045,100,104,0,5,109,109,0,0.9541284403669725,0.0,0.045871559633027525,1.0,0.0,James Sanders Jr. RECAP,1.0
31046,31046,100,173,0,8,181,181,0,0.9558011049723757,0.0,0.04419889502762431,1.0,0.0,James Sanders Jr. RECAP,1.0
31047,31047,100,201,3,2,206,203,3,0.9757281553398058,0.014563106796116505,0.009708737864077669,0.9854368932038835,0.014563106796116505,James Sanders Jr. RECAP,0.9854368932038835
31048,31048,100,187,0,8,195,195,0,0.958974358974359,0.0,0.041025641025641026,1.0,0.0,James Sanders Jr. RECAP,1.0
31049,31049,100,211,0,5,216,216,0,0.9768518518518519,0.0,0.023148148148148147,1.0,0.0,James Sanders Jr. RECAP,1.0
31050,31050,100,210,0,6,216,216,0,0.9722222222222222,0.0,0.027777777777777776,1.0,0.0,James Sanders Jr. RECAP,1.0
31051,31051,100,249,1,5,255,254,1,0.9764705882352941,0.00392156862745098,0.0196078431372549,0.996078431372549,0.00392156862745098,James Sanders Jr. RECAP,0.996078431372549
31052,31052,100,258,3,4,265,262,3,0.9735849056603774,0.011320754716981131,0.01509433962264151,0.9886792452830189,0.011320754716981131,James Sanders Jr. RECAP,0.9886792452830189
31053,31053,100,261,0,10,271,271,0,0.9630996309963099,0.0,0.03690036900369004,1.0,0.0,James Sanders Jr. RECAP,1.0
31054,31054,100,215,0,15,230,230,0,0.9347826086956522,0.0,0.06521739130434782,1.0,0.0,James Sanders Jr. RECAP,1.0
31055,31055,100,132,0,3,135,135,0,0.9777777777777777,0.0,0.022222222222222223,1.0,0.0,James Sanders Jr. RECAP,1.0
31056,31056,100,99,0,4,103,103,0,0.9611650485436893,0.0,0.038834951456310676,1.0,0.0,James Sanders Jr. RECAP,1.0
31057,31057,100,184,0,6,190,190,0,0.968421052631579,0.0,0.031578947368421054,1.0,0.0,James Sanders Jr. RECAP,1.0
31058,31058,100,177,0,5,182,182,0,0.9725274725274725,0.0,0.027472527472527472,1.0,0.0,James Sanders Jr. RECAP,1.0
31059,31059,100,187,3,15,205,202,3,0.9121951219512195,0.014634146341463415,0.07317073170731707,0.9853658536585366,0.014634146341463415,James Sanders Jr. RECAP,0.9853658536585366
31061,31061,100,173,0,11,184,184,0,0.9402173913043478,0.0,0.059782608695652176,1.0,0.0,James Sanders Jr. RECAP,1.0
31062,31062,100,162,0,4,166,166,0,0.9759036144578314,0.0,0.024096385542168676,1.0,0.0,James Sanders Jr. RECAP,1.0
31063,31063,100,267,0,6,273,273,0,0.978021978021978,0.0,0.02197802197802198,1.0,0.0,James Sanders Jr. RECAP,1.0
31064,31064,100,241,1,7,249,248,1,0.9678714859437751,0.004016064257028112,0.028112449799196786,0.9959839357429718,0.004016064257028112,James Sanders Jr. RECAP,0.9959839357429718
31065,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31066,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31067,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31068,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31069,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31070,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31075,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31076,31020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
32013,32013,100,23,0,0,23,23,0,1.0,0.0,0.0,1.0,0.0,James Sanders Jr. RECAP,1.0
32012,32013,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
32017,32017,100,171,0,10,181,181,0,0.9447513812154696,0.0,0.055248618784530384,1.0,0.0,James Sanders Jr. RECAP,1.0
32018,32018,100,120,0,3,123,123,0,0.975609756097561,0.0,0.024390243902439025,1.0,0.0,James Sanders Jr. RECAP,1.0
32019,32019,100,132,1,4,137,136,1,0.9635036496350365,0.0072992700729927005,0.029197080291970802,0.9927007299270073,0.0072992700729927005,James Sanders Jr. RECAP,0.9927007299270073
32020,32020,100,145,0,8,153,153,0,0.9477124183006536,0.0,0.05228758169934641,1.0,0.0,James Sanders Jr. RECAP,1.0
32021,32021,100,178,0,2,180,180,0,0.9888888888888889,0.0,0.011111111111111112,1.0,0.0,James Sanders Jr. RECAP,1.0
32022,32022,100,157,1,5,163,162,1,0.9631901840490797,0.006134969325153374,0.03067484662576687,0.9938650306748467,0.006134969325153374,James Sanders Jr. RECAP,0.9938650306748467
32025,32025,100,155,1,4,160,159,1,0.96875,0.00625,0.025,0.99375,0.00625,James Sanders Jr. RECAP,0.99375
32026,32026,100,138,0,1,139,139,0,0.9928057553956835,0.0,0.007194244604316547,1.0,0.0,James Sanders Jr. RECAP,1.0
32027,32027,100,157,1,11,169,168,1,0.9289940828402367,0.005917159763313609,0.0650887573964497,0.9940828402366864,0.005917159763313609,James Sanders Jr. RECAP,0.9940828402366864
32028,32028,100,156,0,5,161,161,0,0.968944099378882,0.0,0.031055900621118012,1.0,0.0,James Sanders Jr. RECAP,1.0
32029,32029,100,213,0,5,218,218,0,0.9770642201834863,0.0,0.022935779816513763,1.0,0.0,James Sanders Jr. RECAP,1.0
32030,32030,100,183,2,3,188,186,2,0.973404255319149,0.010638297872340425,0.015957446808510637,0.9893617021276596,0.010638297872340425,James Sanders Jr. RECAP,0.9893617021276596
32031,32031,100,190,0,4,194,194,0,0.979381443298969,0.0,0.020618556701030927,1.0,0.0,James Sanders Jr. RECAP,1.0
32032,32032,100,102,1,2,105,104,1,0.9714285714285714,0.009523809523809525,0.01904761904761905,0.9904761904761905,0.009523809523809525,James Sanders Jr. RECAP,0.9904761904761905
32033,32033,100,276,1,5,282,281,1,0.9787234042553191,0.0035460992907801418,0.01773049645390071,0.9964539007092199,0.0035460992907801418,James Sanders Jr. RECAP,0.9964539007092199
32034,32034,100,253,0,10,263,263,0,0.9619771863117871,0.0,0.03802281368821293,1.0,0.0,James Sanders Jr. RECAP,1.0
32035,32035,100,205,0,7,212,212,0,0.9669811320754716,0.0,0.0330188679245283,1.0,0.0,James Sanders Jr. RECAP,1.0
32036,32036,100,216,0,3,219,219,0,0.9863013698630136,0.0,0.0136986301369863,1.0,0.0,James Sanders Jr. RECAP,1.0
32037,32037,100,100,2,0,102,100,2,0.9803921568627451,0.0196078431372549,0.0,0.9803921568627451,0.0196078431372549,James Sanders Jr. RECAP,0.9803921568627451
32038,32038,100,250,0,2,252,252,0,0.9920634920634921,0.0,0.007936507936507936,1.0,0.0,James Sanders Jr. RECAP,1.0
32039,32039,100,208,0,16,224,224,0,0.9285714285714286,0.0,0.07142857142857142,1.0,0.0,James Sanders Jr. RECAP,1.0
32046,32046,100,162,0,7,169,169,0,0.9585798816568047,0.0,0.04142011834319527,1.0,0.0,James Sanders Jr. RECAP,1.0
32047,32047,100,160,0,2,162,162,0,0.9876543209876543,0.0,0.012345679012345678,1.0,0.0,James Sanders Jr. RECAP,1.0
32048,32048,100,146,0,0,146,146,0,1.0,0.0,0.0,1.0,0.0,James Sanders Jr. RECAP,1.0
32049,32049,100,205,1,7,213,212,1,0.9624413145539906,0.004694835680751174,0.03286384976525822,0.9953051643192489,0.004694835680751174,James Sanders Jr. RECAP,0.9953051643192489
32050,32050,100,234,0,9,243,243,0,0.9629629629629629,0.0,0.037037037037037035,1.0,0.0,James Sanders Jr. RECAP,1.0
32051,32051,100,240,0,8,248,248,0,0.967741935483871,0.0,0.03225806451612903,1.0,0.0,James Sanders Jr. RECAP,1.0
32052,32052,100,132,1,8,141,140,1,0.9361702127659575,0.0070921985815602835,0.05673758865248227,0.9929078014184397,0.0070921985815602835,James Sanders Jr. RECAP,0.9929078014184397
32053,32053,100,204,0,7,211,211,0,0.966824644549763,0.0,0.03317535545023697,1.0,0.0,James Sanders Jr. RECAP,1.0
32054,32054,100,157,0,4,161,161,0,0.9751552795031055,0.0,0.024844720496894408,1.0,0.0,James Sanders Jr. RECAP,1.0
32055,32055,100,187,0,6,193,193,0,0.9689119170984456,0.0,0.031088082901554404,1.0,0.0,James Sanders Jr. RECAP,1.0
32056,32056,100,74,0,1,75,75,0,0.9866666666666667,0.0,0.013333333333333334,1.0,0.0,James Sanders Jr. RECAP,1.0
32057,32057,100,309,1,9,319,318,1,0.9686520376175548,0.003134796238244514,0.02821316614420063,0.9968652037617555,0.003134796238244514,James Sanders Jr. RECAP,0.9968652037617555
32058,32058,100,278,2,8,288,286,2,0.9652777777777778,0.006944444444444444,0.027777777777777776,0.9930555555555556,0.006944444444444444,James Sanders Jr. RECAP,0.9930555555555556
32059,32059,100,239,0,9,248,248,0,0.9637096774193549,0.0,0.036290322580645164,1.0,0.0,James Sanders Jr. RECAP,1.0
32060,32060,100,317,0,15,332,332,0,0.9548192771084337,0.0,0.045180722891566265,1.0,0.0,James Sanders Jr. RECAP,1.0
32061,32061,100,270,0,9,279,279,0,0.967741935483871,0.0,0.03225806451612903,1.0,0.0,James Sanders Jr. RECAP,1.0
32062,32062,100,321,0,16,337,337,0,0.9525222551928784,0.0,0.04747774480712166,1.0,0.0,James Sanders Jr. RECAP,1.0
32063,32063,100,287,1,12,300,299,1,0.9566666666666667,0.0033333333333333335,0.04,0.9966666666666667,0.0033333333333333335,James Sanders Jr. RECAP,0.9966666666666667
32064,32064,100,296,0,10,306,306,0,0.9673202614379085,0.0,0.032679738562091505,1.0,0.0,James Sanders Jr. RECAP,1.0
32065,32065,100,289,1,11,301,300,1,0.9601328903654485,0.0033222591362126247,0.036544850498338874,0.9966777408637874,0.0033222591362126247,James Sanders Jr. RECAP,0.9966777408637874
32066,32066,100,299,0,8,307,307,0,0.9739413680781759,0.0,0.026058631921824105,1.0,0.0,James Sanders Jr. RECAP,1.0
32067,32067,100,281,2,12,295,293,2,0.9525423728813559,0.006779661016949152,0.04067796610169491,0.9932203389830508,0.006779661016949152,James Sanders Jr. RECAP,0.9932203389830508
32068,32068,100,285,0,10,295,295,0,0.9661016949152542,0.0,0.03389830508474576,1.0,0.0,James Sanders Jr. RECAP,1.0
32069,32069,100,306,0,12,318,318,0,0.9622641509433962,0.0,0.03773584905660377,1.0,0.0,James Sanders Jr. RECAP,1.0
32070,32070,100,296,0,12,308,308,0,0.961038961038961,0.0,0.03896103896103896,1.0,0.0,James Sanders Jr. RECAP,1.0
32071,32071,100,256,0,7,263,263,0,0.973384030418251,0.0,0.026615969581749048,1.0,0.0,James Sanders Jr. RECAP,1.0
32072,32072,100,225,1,5,231,230,1,0.974025974025974,0.004329004329004329,0.021645021645021644,0.9956709956709957,0.004329004329004329,James Sanders Jr. RECAP,0.9956709956709957
32073,32073,100,190,0,4,194,194,0,0.979381443298969,0.0,0.020618556701030927,1.0,0.0,James Sanders Jr. RECAP,1.0
32074,32074,100,164,0,7,171,171,0,0.9590643274853801,0.0,0.04093567251461988,1.0,0.0,James Sanders Jr. RECAP,1.0
32075,32075,100,155,0,3,158,158,0,0.9810126582278481,0.0,0.0189873417721519,1.0,0.0,James Sanders Jr. RECAP,1.0
32076,32056,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
32077,32077,100,161,0,8,169,169,0,0.9526627218934911,0.0,0.047337278106508875,1.0,0.0,James Sanders Jr. RECAP,1.0
32078,32078,100,180,1,4,185,184,1,0.972972972972973,0.005405405405405406,0.021621621621621623,0.9945945945945946,0.005405405405405406,James Sanders Jr. RECAP,0.9945945945945946
38034,38034,100,36,0,4,40,40,0,0.9,0.0,0.1,1.0,0.0,James Sanders Jr. RECAP,1.0
38036,38036,100,20,0,2,22,22,0,0.9090909090909091,0.0,0.09090909090909091,1.0,0.0,James Sanders Jr. RECAP,1.0
38038,38038,100,103,0,4,107,107,0,0.9626168224299065,0.0,0.037383177570093455,1.0,0.0,James Sanders Jr. RECAP,1.0
38039,38039,100,102,2,14,118,116,2,0.864406779661017,0.01694915254237288,0.11864406779661017,0.9830508474576272,0.01694915254237288,James Sanders Jr. RECAP,0.9830508474576272
38040,38040,100,106,1,6,113,112,1,0.9380530973451328,0.008849557522123894,0.05309734513274336,0.9911504424778761,0.008849557522123894,James Sanders Jr. RECAP,0.9911504424778761
38041,38041,100,137,2,5,144,142,2,0.9513888888888888,0.013888888888888888,0.034722222222222224,0.9861111111111112,0.013888888888888888,James Sanders Jr. RECAP,0.9861111111111112
38042,38042,100,89,0,10,99,99,0,0.898989898989899,0.0,0.10101010101010101,1.0,0.0,James Sanders Jr. RECAP,1.0
38043,38043,100,81,3,7,91,88,3,0.8901098901098901,0.03296703296703297,0.07692307692307693,0.967032967032967,0.03296703296703297,James Sanders Jr. RECAP,0.967032967032967
38044,38044,100,104,1,16,121,120,1,0.859504132231405,0.008264462809917356,0.1322314049586777,0.9917355371900827,0.008264462809917356,James Sanders Jr. RECAP,0.9917355371900827
38046,38046,100,65,0,10,75,75,0,0.8666666666666667,0.0,0.13333333333333333,1.0,0.0,James Sanders Jr. RECAP,1.0
38047,38047,100,85,2,12,99,97,2,0.8585858585858586,0.020202020202020204,0.12121212121212122,0.9797979797979798,0.020202020202020204,James Sanders Jr. RECAP,0.9797979797979798
38048,38048,100,146,0,19,165,165,0,0.8848484848484849,0.0,0.11515151515151516,1.0,0.0,James Sanders Jr. RECAP,1.0
38049,38049,100,114,0,14,128,128,0,0.890625,0.0,0.109375,1.0,0.0,James Sanders Jr. RECAP,1.0
