ED,Reported As,Reporting,Andrew D. Hevesi (Working Families),Andrew D. Hevesi (Democratic),Scattered,Total Votes,Andrew D. Hevesi RECAP,Scattered RECAP,p_Andrew D. Hevesi (Working Families),p_Andrew D. Hevesi (Democratic),p_Scattered,p_Andrew D. Hevesi RECAP,p_Scattered RECAP,winner,winner_p
28046,28046,100,26,180,3,209,206,3,0.12440191387559808,0.861244019138756,0.014354066985645933,0.9856459330143541,0.014354066985645933,Andrew D. Hevesi RECAP,0.9856459330143541
28047,28047,100,37,268,1,306,305,1,0.12091503267973856,0.8758169934640523,0.0032679738562091504,0.9967320261437909,0.0032679738562091504,Andrew D. Hevesi RECAP,0.9967320261437909
28048,28048,100,31,223,5,259,254,5,0.11969111969111969,0.861003861003861,0.019305019305019305,0.9806949806949807,0.019305019305019305,Andrew D. Hevesi RECAP,0.9806949806949807
28049,28049,100,13,117,1,131,130,1,0.09923664122137404,0.8931297709923665,0.007633587786259542,0.9923664122137404,0.007633587786259542,Andrew D. Hevesi RECAP,0.9923664122137404
28050,28050,100,18,149,2,169,167,2,0.10650887573964497,0.8816568047337278,0.011834319526627219,0.9881656804733728,0.011834319526627219,Andrew D. Hevesi RECAP,0.9881656804733728
28051,28051,100,13,136,0,149,149,0,0.087248322147651,0.912751677852349,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28052,28052,100,5,58,1,64,63,1,0.078125,0.90625,0.015625,0.984375,0.015625,Andrew D. Hevesi RECAP,0.984375
28053,28053,100,13,118,2,133,131,2,0.09774436090225563,0.8872180451127819,0.015037593984962405,0.9849624060150376,0.015037593984962405,Andrew D. Hevesi RECAP,0.9849624060150376
28054,28054,100,4,36,0,40,40,0,0.1,0.9,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28055,28055,100,5,33,0,38,38,0,0.13157894736842105,0.868421052631579,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28056,28056,100,14,114,2,130,128,2,0.1076923076923077,0.8769230769230769,0.015384615384615385,0.9846153846153847,0.015384615384615385,Andrew D. Hevesi RECAP,0.9846153846153847
28057,28057,100,12,87,3,102,99,3,0.11764705882352941,0.8529411764705882,0.029411764705882353,0.9705882352941176,0.029411764705882353,Andrew D. Hevesi RECAP,0.9705882352941176
28058,28058,100,16,111,1,128,127,1,0.125,0.8671875,0.0078125,0.9921875,0.0078125,Andrew D. Hevesi RECAP,0.9921875
28059,28059,100,2,9,0,11,11,0,0.18181818181818182,0.8181818181818182,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28060,28060,100,16,165,1,182,181,1,0.08791208791208792,0.9065934065934066,0.005494505494505495,0.9945054945054945,0.005494505494505495,Andrew D. Hevesi RECAP,0.9945054945054945
28061,28061,100,18,112,2,132,130,2,0.13636363636363635,0.8484848484848485,0.015151515151515152,0.9848484848484849,0.015151515151515152,Andrew D. Hevesi RECAP,0.9848484848484849
28062,28062,100,28,139,1,168,167,1,0.16666666666666666,0.8273809523809523,0.005952380952380952,0.9940476190476191,0.005952380952380952,Andrew D. Hevesi RECAP,0.9940476190476191
28063,28063,100,32,149,4,185,181,4,0.17297297297297298,0.8054054054054054,0.021621621621621623,0.9783783783783784,0.021621621621621623,Andrew D. Hevesi RECAP,0.9783783783783784
28064,28064,100,35,128,0,163,163,0,0.2147239263803681,0.7852760736196319,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28065,28065,100,34,183,3,220,217,3,0.15454545454545454,0.8318181818181818,0.013636363636363636,0.9863636363636363,0.013636363636363636,Andrew D. Hevesi RECAP,0.9863636363636363
28066,28066,100,33,209,6,248,242,6,0.13306451612903225,0.842741935483871,0.024193548387096774,0.9758064516129032,0.024193548387096774,Andrew D. Hevesi RECAP,0.9758064516129032
28067,28067,100,21,162,4,187,183,4,0.11229946524064172,0.8663101604278075,0.0213903743315508,0.9786096256684492,0.0213903743315508,Andrew D. Hevesi RECAP,0.9786096256684492
28068,28068,100,28,176,2,206,204,2,0.13592233009708737,0.8543689320388349,0.009708737864077669,0.9902912621359223,0.009708737864077669,Andrew D. Hevesi RECAP,0.9902912621359223
28069,28069,100,15,102,0,117,117,0,0.1282051282051282,0.8717948717948718,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28070,28070,100,50,129,2,181,179,2,0.27624309392265195,0.712707182320442,0.011049723756906077,0.988950276243094,0.011049723756906077,Andrew D. Hevesi RECAP,0.988950276243094
28071,28071,100,40,156,2,198,196,2,0.20202020202020202,0.7878787878787878,0.010101010101010102,0.98989898989899,0.010101010101010102,Andrew D. Hevesi RECAP,0.98989898989899
28072,28072,100,20,98,1,119,118,1,0.16806722689075632,0.8235294117647058,0.008403361344537815,0.9915966386554622,0.008403361344537815,Andrew D. Hevesi RECAP,0.9915966386554622
28073,28073,100,35,137,0,172,172,0,0.20348837209302326,0.7965116279069767,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28074,28074,100,30,133,3,166,163,3,0.18072289156626506,0.8012048192771084,0.018072289156626505,0.9819277108433735,0.018072289156626505,Andrew D. Hevesi RECAP,0.9819277108433735
28075,28075,100,44,164,1,209,208,1,0.21052631578947367,0.784688995215311,0.004784688995215311,0.9952153110047847,0.004784688995215311,Andrew D. Hevesi RECAP,0.9952153110047847
28076,28076,100,25,139,4,168,164,4,0.1488095238095238,0.8273809523809523,0.023809523809523808,0.9761904761904762,0.023809523809523808,Andrew D. Hevesi RECAP,0.9761904761904762
28077,28077,100,31,152,1,184,183,1,0.16847826086956522,0.8260869565217391,0.005434782608695652,0.9945652173913043,0.005434782608695652,Andrew D. Hevesi RECAP,0.9945652173913043
28078,28078,100,15,103,3,121,118,3,0.12396694214876033,0.8512396694214877,0.024793388429752067,0.9752066115702479,0.024793388429752067,Andrew D. Hevesi RECAP,0.9752066115702479
28079,28079,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
