ED,Reported As,Reporting,Scattered,Velmanette Montgomery (Democratic),Velmanette Montgomery (Working Families),Total Votes,Scattered RECAP,Velmanette Montgomery RECAP,p_Scattered,p_Velmanette Montgomery (Democratic),p_Velmanette Montgomery (Working Families),p_Scattered RECAP,p_Velmanette Montgomery RECAP,winner,winner_p
51071,51071,100,0,156,15,171,0,171,0.0,0.9122807017543859,0.08771929824561403,0.0,1.0,Velmanette Montgomery RECAP,1.0
51072,51072,100,0,61,33,94,0,94,0.0,0.648936170212766,0.35106382978723405,0.0,1.0,Velmanette Montgomery RECAP,1.0
51073,51073,100,0,114,30,144,0,144,0.0,0.7916666666666666,0.20833333333333334,0.0,1.0,Velmanette Montgomery RECAP,1.0
51074,51074,100,0,117,2,119,0,119,0.0,0.9831932773109243,0.01680672268907563,0.0,1.0,Velmanette Montgomery RECAP,1.0
51075,51072,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
51077,51048,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
51078,51044,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
52003,52003,100,1,41,16,58,1,57,0.017241379310344827,0.7068965517241379,0.27586206896551724,0.017241379310344827,0.9827586206896551,Velmanette Montgomery RECAP,0.9827586206896551
52022,52022,100,0,102,41,143,0,143,0.0,0.7132867132867133,0.2867132867132867,0.0,1.0,Velmanette Montgomery RECAP,1.0
52023,52023,100,4,401,134,539,4,535,0.0074211502782931356,0.7439703153988868,0.24860853432282004,0.0074211502782931356,0.9925788497217068,Velmanette Montgomery RECAP,0.9925788497217068
52024,52024,100,0,30,15,45,0,45,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,Velmanette Montgomery RECAP,1.0
52025,52025,100,4,105,23,132,4,128,0.030303030303030304,0.7954545454545454,0.17424242424242425,0.030303030303030304,0.9696969696969697,Velmanette Montgomery RECAP,0.9696969696969697
52027,52027,100,1,69,22,92,1,91,0.010869565217391304,0.75,0.2391304347826087,0.010869565217391304,0.9891304347826086,Velmanette Montgomery RECAP,0.9891304347826086
52028,52028,100,2,222,52,276,2,274,0.007246376811594203,0.8043478260869565,0.18840579710144928,0.007246376811594203,0.9927536231884058,Velmanette Montgomery RECAP,0.9927536231884058
52029,52029,100,2,201,61,264,2,262,0.007575757575757576,0.7613636363636364,0.23106060606060605,0.007575757575757576,0.9924242424242424,Velmanette Montgomery RECAP,0.9924242424242424
52030,52030,100,1,206,52,259,1,258,0.003861003861003861,0.7953667953667953,0.20077220077220076,0.003861003861003861,0.9961389961389961,Velmanette Montgomery RECAP,0.9961389961389961
52031,52031,100,1,218,87,306,1,305,0.0032679738562091504,0.7124183006535948,0.28431372549019607,0.0032679738562091504,0.9967320261437909,Velmanette Montgomery RECAP,0.9967320261437909
52032,52032,100,2,188,64,254,2,252,0.007874015748031496,0.7401574803149606,0.25196850393700787,0.007874015748031496,0.9921259842519685,Velmanette Montgomery RECAP,0.9921259842519685
52033,52033,100,0,193,103,296,0,296,0.0,0.652027027027027,0.34797297297297297,0.0,1.0,Velmanette Montgomery RECAP,1.0
52048,52048,100,2,181,101,284,2,282,0.007042253521126761,0.6373239436619719,0.35563380281690143,0.007042253521126761,0.9929577464788732,Velmanette Montgomery RECAP,0.9929577464788732
52049,52049,100,1,190,72,263,1,262,0.0038022813688212928,0.7224334600760456,0.2737642585551331,0.0038022813688212928,0.9961977186311787,Velmanette Montgomery RECAP,0.9961977186311787
52050,52050,100,1,72,20,93,1,92,0.010752688172043012,0.7741935483870968,0.21505376344086022,0.010752688172043012,0.989247311827957,Velmanette Montgomery RECAP,0.989247311827957
52051,52051,100,1,154,13,168,1,167,0.005952380952380952,0.9166666666666666,0.07738095238095238,0.005952380952380952,0.9940476190476191,Velmanette Montgomery RECAP,0.9940476190476191
52052,52052,100,0,117,4,121,0,121,0.0,0.9669421487603306,0.03305785123966942,0.0,1.0,Velmanette Montgomery RECAP,1.0
