ED,Reported As,Reporting,Kevin R. Bryant Sr. (Working Families),Matthew A. Doheny (Conservative),Kenneth Schaeffer (Working Families),Evelyn J. Laporte (Democratic),Dennis W. Houdek (Conservative),Kathy J. King (Democratic),Wavny Toussaint (Democratic),Anthony R. Caccamo (Conservative),Philip J. Smallman (Conservative),Lara J. Genovesi (Democratic),Scattered,Total Votes,Kevin R. Bryant Sr. RECAP,Matthew A. Doheny RECAP,Kenneth Schaeffer RECAP,Evelyn J. Laporte RECAP,Dennis W. Houdek RECAP,Kathy J. King RECAP,Wavny Toussaint RECAP,Anthony R. Caccamo RECAP,Philip J. Smallman RECAP,Lara J. Genovesi RECAP,Scattered RECAP,p_Kevin R. Bryant Sr. (Working Families),p_Matthew A. Doheny (Conservative),p_Kenneth Schaeffer (Working Families),p_Evelyn J. Laporte (Democratic),p_Dennis W. Houdek (Conservative),p_Kathy J. King (Democratic),p_Wavny Toussaint (Democratic),p_Anthony R. Caccamo (Conservative),p_Philip J. Smallman (Conservative),p_Lara J. Genovesi (Democratic),p_Scattered,p_Kevin R. Bryant Sr. RECAP,p_Matthew A. Doheny RECAP,p_Kenneth Schaeffer RECAP,p_Evelyn J. Laporte RECAP,p_Dennis W. Houdek RECAP,p_Kathy J. King RECAP,p_Wavny Toussaint RECAP,p_Anthony R. Caccamo RECAP,p_Philip J. Smallman RECAP,p_Lara J. Genovesi RECAP,p_Scattered RECAP,winner,winner_p
41011,41011,100,6,27,5,19,25,20,19,27,28,17,0,193,6,27,5,19,25,20,19,27,28,17,0,0.031088082901554404,0.13989637305699482,0.025906735751295335,0.09844559585492228,0.12953367875647667,0.10362694300518134,0.09844559585492228,0.13989637305699482,0.14507772020725387,0.08808290155440414,0.0,0.031088082901554404,0.13989637305699482,0.025906735751295335,0.09844559585492228,0.12953367875647667,0.10362694300518134,0.09844559585492228,0.13989637305699482,0.14507772020725387,0.08808290155440414,0.0,Philip J. Smallman RECAP,0.14507772020725387
41012,41012,100,6,32,6,35,30,33,29,35,35,33,0,274,6,32,6,35,30,33,29,35,35,33,0,0.021897810218978103,0.11678832116788321,0.021897810218978103,0.12773722627737227,0.10948905109489052,0.12043795620437957,0.10583941605839416,0.12773722627737227,0.12773722627737227,0.12043795620437957,0.0,0.021897810218978103,0.11678832116788321,0.021897810218978103,0.12773722627737227,0.10948905109489052,0.12043795620437957,0.10583941605839416,0.12773722627737227,0.12773722627737227,0.12043795620437957,0.0,Tie,0.12773722627737227
41015,41015,100,5,22,8,19,26,22,15,28,25,20,0,190,5,22,8,19,26,22,15,28,25,20,0,0.02631578947368421,0.11578947368421053,0.042105263157894736,0.1,0.1368421052631579,0.11578947368421053,0.07894736842105263,0.14736842105263157,0.13157894736842105,0.10526315789473684,0.0,0.02631578947368421,0.11578947368421053,0.042105263157894736,0.1,0.1368421052631579,0.11578947368421053,0.07894736842105263,0.14736842105263157,0.13157894736842105,0.10526315789473684,0.0,Anthony R. Caccamo RECAP,0.14736842105263157
41013,41015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,1,8,5,12,8,10,9,10,7,9,1,80,1,8,5,12,8,10,9,10,7,9,1,0.0125,0.1,0.0625,0.15,0.1,0.125,0.1125,0.125,0.0875,0.1125,0.0125,0.0125,0.1,0.0625,0.15,0.1,0.125,0.1125,0.125,0.0875,0.1125,0.0125,Evelyn J. Laporte RECAP,0.15
41016,41016,100,18,93,33,109,80,104,78,97,93,101,1,807,18,93,33,109,80,104,78,97,93,101,1,0.022304832713754646,0.11524163568773234,0.040892193308550186,0.13506815365551425,0.09913258983890955,0.1288723667905824,0.09665427509293681,0.12019826517967781,0.11524163568773234,0.1251548946716233,0.0012391573729863693,0.022304832713754646,0.11524163568773234,0.040892193308550186,0.13506815365551425,0.09913258983890955,0.1288723667905824,0.09665427509293681,0.12019826517967781,0.11524163568773234,0.1251548946716233,0.0012391573729863693,Evelyn J. Laporte RECAP,0.13506815365551425
41017,41017,100,20,77,25,82,68,75,58,77,65,78,12,637,20,77,25,82,68,75,58,77,65,78,12,0.03139717425431711,0.12087912087912088,0.03924646781789639,0.12872841444270017,0.10675039246467818,0.11773940345368916,0.09105180533751962,0.12087912087912088,0.10204081632653061,0.12244897959183673,0.018838304552590265,0.03139717425431711,0.12087912087912088,0.03924646781789639,0.12872841444270017,0.10675039246467818,0.11773940345368916,0.09105180533751962,0.12087912087912088,0.10204081632653061,0.12244897959183673,0.018838304552590265,Evelyn J. Laporte RECAP,0.12872841444270017
41018,41018,100,8,64,21,57,55,58,47,68,63,63,1,505,8,64,21,57,55,58,47,68,63,63,1,0.015841584158415842,0.12673267326732673,0.041584158415841586,0.11287128712871287,0.10891089108910891,0.11485148514851486,0.09306930693069307,0.13465346534653466,0.12475247524752475,0.12475247524752475,0.0019801980198019802,0.015841584158415842,0.12673267326732673,0.041584158415841586,0.11287128712871287,0.10891089108910891,0.11485148514851486,0.09306930693069307,0.13465346534653466,0.12475247524752475,0.12475247524752475,0.0019801980198019802,Anthony R. Caccamo RECAP,0.13465346534653466
41019,41019,100,4,14,5,8,13,10,7,15,14,12,0,102,4,14,5,8,13,10,7,15,14,12,0,0.0392156862745098,0.13725490196078433,0.049019607843137254,0.0784313725490196,0.12745098039215685,0.09803921568627451,0.06862745098039216,0.14705882352941177,0.13725490196078433,0.11764705882352941,0.0,0.0392156862745098,0.13725490196078433,0.049019607843137254,0.0784313725490196,0.12745098039215685,0.09803921568627451,0.06862745098039216,0.14705882352941177,0.13725490196078433,0.11764705882352941,0.0,Anthony R. Caccamo RECAP,0.14705882352941177
41020,41020,100,11,21,16,63,18,73,66,27,25,62,14,396,11,21,16,63,18,73,66,27,25,62,14,0.027777777777777776,0.05303030303030303,0.04040404040404041,0.1590909090909091,0.045454545454545456,0.18434343434343434,0.16666666666666666,0.06818181818181818,0.06313131313131314,0.15656565656565657,0.03535353535353535,0.027777777777777776,0.05303030303030303,0.04040404040404041,0.1590909090909091,0.045454545454545456,0.18434343434343434,0.16666666666666666,0.06818181818181818,0.06313131313131314,0.15656565656565657,0.03535353535353535,Kathy J. King RECAP,0.18434343434343434
41021,41021,100,13,40,24,100,30,114,101,41,36,106,0,605,13,40,24,100,30,114,101,41,36,106,0,0.021487603305785124,0.06611570247933884,0.03966942148760331,0.1652892561983471,0.049586776859504134,0.1884297520661157,0.1669421487603306,0.06776859504132231,0.05950413223140496,0.17520661157024794,0.0,0.021487603305785124,0.06611570247933884,0.03966942148760331,0.1652892561983471,0.049586776859504134,0.1884297520661157,0.1669421487603306,0.06776859504132231,0.05950413223140496,0.17520661157024794,0.0,Kathy J. King RECAP,0.1884297520661157
41022,41022,100,3,19,5,27,14,29,25,21,21,31,0,195,3,19,5,27,14,29,25,21,21,31,0,0.015384615384615385,0.09743589743589744,0.02564102564102564,0.13846153846153847,0.07179487179487179,0.14871794871794872,0.1282051282051282,0.1076923076923077,0.1076923076923077,0.15897435897435896,0.0,0.015384615384615385,0.09743589743589744,0.02564102564102564,0.13846153846153847,0.07179487179487179,0.14871794871794872,0.1282051282051282,0.1076923076923077,0.1076923076923077,0.15897435897435896,0.0,Lara J. Genovesi RECAP,0.15897435897435896
41023,41023,100,2,6,2,24,2,19,19,2,3,19,0,98,2,6,2,24,2,19,19,2,3,19,0,0.02040816326530612,0.061224489795918366,0.02040816326530612,0.24489795918367346,0.02040816326530612,0.19387755102040816,0.19387755102040816,0.02040816326530612,0.030612244897959183,0.19387755102040816,0.0,0.02040816326530612,0.061224489795918366,0.02040816326530612,0.24489795918367346,0.02040816326530612,0.19387755102040816,0.19387755102040816,0.02040816326530612,0.030612244897959183,0.19387755102040816,0.0,Evelyn J. Laporte RECAP,0.24489795918367346
